detection_id,B,G,R,nB,nG,nR,Compactness
432548074,3.8265,3.802,5.0586,0.025,0.025,0.0299,0.2463008640414398
432548082,22.0478,22.6219,27.7829,0.6961,0.7142,0.7533,0.06904388481989716
432548083,21.3668,21.9441,27.6987,0.8078,0.8304,0.9216,0.07756719641593564
432548084,23.3616,23.9902,29.9562,0.8301,0.8591,0.947,0.07804894248762141
432548085,26.9506,27.6389,34.2294,0.7212,0.7432,0.8315,0.07756719641593564
432548086,28.0847,28.9609,36.0664,0.9852,1.0191,1.1294,0.07180546030797123
432548087,32.3216,33.1544,41.1151,0.4916,0.5041,0.5705,0.07221810771057427
432548088,26.7707,27.4458,31.7496,0.1137,0.1122,0.141,0.07853670966610296
432548089,39.968,40.9041,49.39,0.3679,0.3746,0.4319,0.07479714303071543
432548094,22.6961,23.1241,29.7138,0.3,0.3057,0.3607,0.08055030487456037
432548096,6.8335,6.9137,9.377,0.0355,0.0357,0.0467,0.17695501477362918
432548099,9.4772,9.5679,12.3433,0.0635,0.0652,0.0758,0.15511613727099602
432548100,5.5834,5.6901,7.5041,0.0574,0.058,0.0664,0.1963000700655754
432548102,5.294,5.4768,7.3431,0.0,0.0,0.0075,0.16317136358672749
432548103,8.0088,8.3573,10.7647,0.0,0.0,0.0092,0.1336693370934263
432548104,9.9299,10.2697,13.6066,0.0001,0.0,0.0117,0.10559216905199818
