detection_id,B,G,R,nB,nG,nR,Compactness
432431214,1.0325,1.1445,3.0042,0.0349,0.0375,0.0415,0.15511613727099602
432431215,1.0252,1.156,3.0248,0.0234,0.0264,0.0314,0.15511613727099602
432431216,0.9493,1.1065,3.0303,0.0221,0.0256,0.0311,0.15322506464696445
432431229,28.5334,29.8428,33.5617,0.7314,0.7611,0.6955,0.04348172702451151
432431265,2.5654,3.2906,4.029,0.0,0.007,0.0069,0.17695501477362918
432431280,2.8824,3.3128,3.9319,0.0,0.0008,0.0059,0.2059488517353309
432431284,2.8801,3.1236,4.3344,0.0122,0.0174,0.0129,0.1963000700655754
432431286,3.4442,3.6986,5.0023,0.2374,0.2549,0.2412,0.18751471302418415
432431299,6.5637,7.6377,9.9171,0.0057,0.0538,0.031,0.09740778003073822
432431301,48.8605,54.4092,49.7119,1.5904,1.7703,1.3974,0.04424723137071616
432431315,13.3446,14.7742,20.711,0.022,0.0391,0.0533,0.041887433508339206
432431328,59.821,60.3445,57.6668,0.273,0.276,0.2986,0.03621402203509902
432431333,3.7891,4.0563,5.2183,0.0443,0.0467,0.0456,0.16752101074657041
432431342,15.0244,15.4258,22.9199,0.3726,0.3718,0.4173,0.056098740702361524
432431347,8.4205,8.8623,14.0628,0.0941,0.099,0.1295,0.08106994029334431
432431360,3.28,3.4138,5.7405,0.0259,0.027,0.0399,0.16317136358672749
432431366,7.8266,8.2906,12.8751,0.1921,0.205,0.2441,0.08377203058083679
432431370,12.2656,12.8312,19.9173,0.2245,0.2293,0.2808,0.058176383157876974
432431372,13.9629,15.0623,23.3582,0.2757,0.2986,0.398,0.06100034753906654
432431374,16.9248,17.023,17.4813,0.067,0.067,0.0787,0.10559216905199818
432431414,0.9195,1.0526,2.6496,0.0,0.0,0.0079,0.15511613727099602
432431423,6.7195,6.4337,10.3184,0.0986,0.0907,0.1178,0.09665858053229819
432431431,2.0166,1.841,2.8923,0.0,0.0,0.0073,0.16752101074657041
432431433,2.9189,2.8037,4.6258,0.0464,0.0461,0.0547,0.19328157927359077
432431434,3.6219,3.2937,4.6524,0.0344,0.031,0.0356,0.12691981982432735
432431437,3.1333,2.9617,4.7675,0.0763,0.0741,0.0812,0.17695501477362918
432431438,2.7171,2.6182,4.2929,0.0381,0.037,0.0446,0.1963000700655754
432431444,11.8946,11.9089,13.8663,0.2507,0.2547,0.2264,0.06904388481989716
432431449,5.1556,5.0349,6.2984,0.0441,0.043,0.0471,0.1903544897796419
432431450,5.5533,5.4341,6.7582,0.0495,0.048,0.0512,0.17695501477362918
432431451,5.0083,4.8992,6.3366,0.0342,0.0337,0.0384,0.17695501477362918
432431453,5.1031,5.0085,6.2001,0.0435,0.042,0.0455,0.19328157927359077
432431455,5.2179,5.1635,6.5016,0.064,0.0639,0.0663,0.16978395275546265
432431457,5.6199,5.5552,6.6961,0.046,0.0453,0.0476,0.18475840065665078
432431480,7.1335,7.0572,9.0753,0.0856,0.0847,0.0962,0.1411769425941694
432431481,6.9769,6.9009,8.8644,0.0741,0.074,0.0849,0.14781870195462177
432431488,11.5962,11.4196,13.6996,0.0728,0.0729,0.0823,0.12199187159268324
432431489,9.039,8.898,11.2697,0.062,0.0621,0.0711,0.11966865507387159
432431497,4.1195,4.029,5.3354,0.0205,0.0205,0.0259,0.21659487670178934
432431499,4.4865,4.414,5.6695,0.0229,0.0229,0.0285,0.2129260181386661
432431500,4.4325,4.362,5.6114,0.0214,0.0213,0.0273,0.2093793437612272
432431501,6.2637,6.1464,8.1978,0.0448,0.0446,0.0544,0.13657449043501094
432431502,8.5457,8.3542,10.5049,0.0579,0.0572,0.0667,0.12691981982432735
432431503,6.4949,6.3278,8.2442,0.0549,0.0539,0.0631,0.1495779344429456
432431509,4.2864,4.1773,5.8766,0.082,0.0802,0.0872,0.1721088567938853
432431510,5.4684,6.0047,7.7933,0.0717,0.0792,0.0806,0.09972671719555438
432431516,1.8436,1.868,3.0381,0.0701,0.069,0.0618,0.19941430995731257
432431518,23.0811,25.2995,28.8632,0.3719,0.4191,0.421,0.077091360650504
432431523,8.2846,7.8688,9.2286,0.0177,0.018,0.0298,0.08377203058083679
432431559,18.741,19.3425,24.5365,0.2274,0.2522,0.2828,0.03785016842433463
432431574,4.2591,4.6178,6.1962,0.0221,0.0252,0.0341,0.10739689511380088
432431575,2.9862,3.232,4.7827,0.0347,0.0386,0.045,0.15322506464696445
432431578,16.862,17.9403,20.0137,0.1195,0.1357,0.1479,0.0541643755046309
432431584,4.9432,5.3914,7.4227,0.0596,0.067,0.0729,0.1021587506273488
432431586,5.3392,5.2911,6.8656,0.3329,0.3185,0.2593,0.11423011752805243
432431587,1.9796,2.1222,3.3923,0.0711,0.0744,0.0646,0.19941430995731257
432431593,4.5397,5.1928,7.4403,0.0219,0.0224,0.0313,0.15511613727099602
432431598,9.9197,9.4144,11.0088,0.0389,0.0387,0.0493,0.06829345312829196
