detection_id,B,G,R,nB,nG,nR,Compactness
398525923,16.7614,16.669,25.9414,0.274,0.2681,0.3318,0.048331474165630606
398525947,15.2569,15.8687,24.0046,0.2513,0.2577,0.3161,0.047241322067509035
398526107,34.3955,33.1211,42.523,0.9168,0.8896,1.0352,0.05737948033237819
398526247,22.2514,20.9135,27.9374,0.1303,0.117,0.1446,0.06579069379816853
398526251,16.8107,18.4765,27.715,0.0962,0.1034,0.1396,0.04471960971181389
398526703,22.285,23.8816,34.1924,0.2427,0.2443,0.3093,0.04348172702451151
398526704,42.9266,42.1819,54.8594,0.3293,0.3227,0.4315,0.043784728166320654
398526710,42.9393,41.5733,54.9797,0.3499,0.3394,0.4759,0.0427422593087034
398526714,11.0236,11.3573,18.53,0.0,0.0,0.0203,0.06129789587454133
398526715,6.3903,6.6472,12.4552,0.0,0.0,0.0165,0.0752449975094086
398526716,4.7491,4.9491,10.0292,0.0,0.0,0.0152,0.0815963233535219
398526822,9.717,8.8753,14.0934,0.0217,0.0194,0.0368,0.06283026644890574
398526975,13.3575,11.9011,17.0051,0.3373,0.3077,0.3276,0.06444121395927624
398526976,7.0539,6.2166,10.3043,0.0445,0.0393,0.0543,0.07953076456813789
398526978,11.7133,12.0528,19.6062,0.1055,0.1031,0.139,0.05370144932732833
398526979,7.6438,7.5372,12.6881,0.0492,0.0479,0.0707,0.07615699026400004
398526986,15.676,16.0928,23.2207,0.5013,0.506,0.5762,0.05790830079919458
398526989,16.5906,17.9833,26.8947,0.1409,0.1428,0.192,0.04106612917780369
398526991,15.07,13.4882,18.6313,0.2309,0.2013,0.2196,0.06444121395927624
398526993,7.1769,6.3642,10.2759,0.0069,0.006,0.0201,0.08606693785815557
398526994,9.4214,8.4706,13.731,0.0038,0.0033,0.0228,0.06314598028335774
398527005,40.7055,36.9475,43.953,0.4369,0.3832,0.4319,0.06129789587454133
398527006,35.4976,32.6173,40.1508,0.2232,0.2097,0.2413,0.06866661880204716
398527007,29.3852,27.035,33.9032,0.1606,0.1528,0.18,0.07479714303071543
398527008,4.9407,4.8833,8.8145,0.0,0.0,0.0136,0.09105580497377844
398527019,20.522,20.8365,28.9996,1.0698,1.0984,1.2284,0.05279893651282317
398527121,40.8854,41.8829,53.4144,0.7511,0.7691,0.8864,0.05347294092237722
398527124,45.0863,46.598,58.7388,1.2545,1.2769,1.4465,0.05192625725187585
398527125,29.039,30.2578,39.6423,0.2397,0.2469,0.3139,0.05347294092237722
398527139,8.8126,7.9995,11.698,0.5836,0.5276,0.5089,0.07391723900466864
398527141,21.1827,18.9574,24.3411,0.5917,0.5209,0.5348,0.05660411406725943
398527280,21.9431,22.4299,30.1727,0.6245,0.6389,0.7194,0.05046653131091824
398527281,15.2236,15.8911,21.9211,0.9473,0.9902,1.0921,0.06684048540909966
398527285,7.3107,7.5783,13.2185,0.1976,0.2054,0.2484,0.06477336728387235
398527286,9.1457,9.6166,15.6565,0.1337,0.143,0.1719,0.06684048540909966
398527287,8.1868,8.6228,13.9307,0.1218,0.131,0.157,0.07615699026400004
398527308,27.4753,23.9624,30.7223,0.6293,0.5628,0.5896,0.046199262889625364
398527443,32.8957,32.3701,44.8343,0.336,0.3382,0.4444,0.037288603279215585
398527444,11.3245,9.5865,15.8907,0.0298,0.0246,0.0472,0.04688878485347726
398527445,8.1816,8.7207,15.8946,0.0,0.0,0.0235,0.05302170881884524
398527448,10.6745,11.8621,19.2265,0.0,0.0,0.0251,0.049668666921834095
398527459,10.2166,9.6628,14.9329,0.054,0.0468,0.0654,0.06719790044098876
398527726,11.5511,12.0216,19.1289,0.0779,0.0777,0.1075,0.05535737701133239
398527728,6.3006,6.5718,11.4602,0.0,0.0,0.0163,0.07615699026400004
398527730,8.1863,8.4288,13.5797,0.0,0.0,0.0172,0.07221810771057427
398527732,7.2409,7.5489,12.614,0.0,0.0,0.0178,0.06981099120988524
398527734,13.3112,12.706,17.9949,0.0,0.0,0.0195,0.07853670966610296
398527746,41.4137,36.4662,41.0399,0.6886,0.5929,0.6082,0.057118675464029094
398528055,18.1092,17.5595,23.2277,0.0851,0.0851,0.0976,0.09894156757337469
398528060,18.5913,17.1924,23.9521,0.7659,0.6813,0.7573,0.06981099120988524
