detection_id,B,G,R,nB,nG,nR,Compactness
430214875,49.7678,48.4187,44.6826,0.3217,0.3102,0.2627,0.0541643755046309
430214886,23.5559,22.0825,21.7414,0.518,0.4781,0.3833,0.056098740702361524
430214904,10.501,11.4237,19.3036,0.0532,0.0589,0.0988,0.06444121395927624
430214905,11.4083,12.0095,20.5575,0.0505,0.0537,0.0899,0.051712576293637055
430214906,11.083,11.5091,20.2521,0.0747,0.0769,0.1167,0.048331474165630606
430214913,5.4314,5.7153,10.4357,0.0572,0.0589,0.0857,0.08606693785815557
430214919,11.0839,12.5531,19.2686,0.264,0.3018,0.3753,0.06510896233025722
430214922,10.5885,11.5171,17.6591,0.572,0.6159,0.7407,0.07348500463068167
430214923,10.9584,12.0655,17.9957,0.6147,0.6785,0.7972,0.07615699026400004
430214924,10.8109,12.0312,18.3542,0.504,0.5569,0.6805,0.07348500463068167
430214925,10.8403,11.9227,17.8438,0.4923,0.5439,0.6602,0.08003728818317192
430214926,9.9271,10.7954,16.0289,0.4489,0.4906,0.5916,0.09040079679516942
430214927,9.7028,10.6059,15.8164,0.4269,0.4646,0.5623,0.08975514439115811
430214928,9.5758,10.4054,16.0451,0.4511,0.4878,0.5806,0.07953076456813789
430214929,9.3822,9.772,15.1295,0.4237,0.4402,0.5304,0.08433420746488306
430214932,8.241,8.1721,13.4634,0.2409,0.2361,0.2979,0.0815963233535219
430214935,7.3901,7.3424,12.5949,0.1719,0.1798,0.2209,0.07569824722699373
430214937,6.0122,5.9639,11.1467,0.0756,0.0787,0.1063,0.07020097205976435
430214940,59.4481,57.1546,65.835,1.3249,1.2798,1.2511,0.026234479364197604
430214949,20.9007,19.5999,20.1843,0.5729,0.5379,0.4358,0.06829345312829196
430214951,15.637,14.8757,15.8409,0.3579,0.3386,0.2685,0.059274001684944774
430214986,15.6798,13.79,15.4423,0.4276,0.3673,0.325,0.08321729873508964
430214987,16.8614,15.2867,15.8181,0.2017,0.1765,0.1482,0.08377203058083679
430214988,25.8881,23.8009,26.1679,0.3324,0.2994,0.2709,0.05584942297118333
430214989,27.9105,25.8846,28.4748,0.4069,0.3751,0.3378,0.05439884443645084
430214994,46.1371,44.9133,49.7973,0.6552,0.6266,0.4675,0.02097885721852224
430214995,16.9144,16.4208,21.8283,0.1706,0.1606,0.151,0.04363270157106099
430214997,2.8905,2.7738,7.6705,0.0,0.0005,0.0199,0.06283026644890574
430215002,7.198,7.2645,13.8711,0.0113,0.0118,0.0376,0.051500646728563054
430215006,12.1729,11.7807,20.2735,0.0025,0.0025,0.0319,0.04288813389916635
430215007,12.595,12.3687,21.1087,0.0065,0.0062,0.036,0.04288813389916635
430215008,13.1616,12.565,22.0387,0.0062,0.0061,0.0396,0.038784722731202766
430215009,11.5803,10.4667,19.0762,0.0039,0.0037,0.0339,0.041887433508339206
430215010,7.989,7.2075,13.1614,0.0037,0.0038,0.0255,0.0607056738604871
430215011,5.8264,5.1255,10.3161,0.0114,0.0107,0.0298,0.06904388481989716
430215012,17.9493,18.6338,26.6643,0.2856,0.3076,0.3786,0.05764267775279962
430215013,18.7992,19.6868,27.5066,0.2483,0.2653,0.3328,0.05844695914181379
430215015,17.3766,17.7286,25.0077,0.1497,0.1556,0.2011,0.05560231145909046
430215019,13.7245,13.9882,20.7305,0.2322,0.2329,0.2986,0.0541643755046309
430215021,13.097,12.7428,18.7287,0.2524,0.2431,0.2908,0.06100034753906654
430215022,12.084,11.7865,17.3886,0.1657,0.1614,0.1966,0.06444121395927624
430215023,12.6834,12.2381,18.3371,0.1557,0.1515,0.1948,0.06041383338136221
430215024,13.6283,13.3707,19.4147,0.1066,0.1067,0.1464,0.06314598028335774
430215025,14.8667,14.5976,21.101,0.2179,0.2183,0.279,0.06190178642991358
430215026,9.6337,9.2419,13.9066,0.0648,0.0607,0.0827,0.07139750161301212
430215027,7.1476,7.0613,11.7031,0.0693,0.065,0.0863,0.07139750161301212
430215029,7.9934,7.9545,12.674,0.1329,0.1324,0.1591,0.07479714303071543
430215032,6.8548,6.5173,11.4759,0.1184,0.1078,0.1209,0.05535737701133239
430215033,8.4719,8.5755,14.3868,0.2428,0.2375,0.2849,0.06220821570931003
430215047,4.1308,4.3008,9.3228,0.0144,0.0142,0.0366,0.07348500463068167
430215056,9.9937,9.5356,12.5534,0.603,0.563,0.58,0.10832258979485408
430215058,10.439,9.9058,12.9906,0.7977,0.7338,0.7516,0.10832258979485408
430215059,10.516,9.6322,9.1677,0.1476,0.1331,0.0951,0.10832258979485408
430215061,6.4802,5.872,9.0689,0.069,0.067,0.0884,0.11119795425652645
430215062,11.4694,10.9329,14.1363,0.4013,0.3746,0.3746,0.10133499999681532
430215063,10.3538,9.9388,14.5591,0.1142,0.1135,0.1528,0.09040079679516942
430215067,13.0634,12.7835,16.4356,0.46,0.4477,0.4442,0.09105580497377844
430215068,8.0591,7.6919,11.7839,0.0791,0.0772,0.1063,0.09040079679516942
430215071,11.3525,10.9819,14.0832,0.426,0.4135,0.385,0.09105580497377844
430215072,10.5075,10.2174,12.6006,0.6056,0.5878,0.5247,0.09447856694680049
430215073,10.5509,10.1735,12.3531,0.556,0.5355,0.4787,0.09592081711552267
430215074,10.3532,9.9034,12.1305,0.6668,0.6351,0.5734,0.09816868357674101
430215075,9.9519,9.4715,13.6984,0.1245,0.1217,0.1525,0.08433420746488306
430215076,13.7189,13.1799,16.9049,0.5292,0.5057,0.499,0.07756719641593564
430215078,14.5408,13.9381,17.9347,0.5126,0.4877,0.4913,0.08003728818317192
430215081,12.9184,12.366,15.1774,0.636,0.6035,0.5728,0.08975514439115811
430215083,14.2023,13.964,17.1962,0.5548,0.5434,0.5179,0.08849111644335216
430215084,11.6175,11.2314,16.1122,0.1305,0.1286,0.1649,0.08106994029334431
430215085,13.506,13.0863,16.2938,1.1868,1.1047,0.9946,0.08548150399146558
430215086,8.886,8.7241,12.4646,0.0615,0.0624,0.0873,0.08726219508235135
430215087,12.9138,12.3458,15.4981,1.044,0.9658,0.8823,0.08911864874469005
430215088,7.0257,6.6075,9.7271,0.0696,0.065,0.0821,0.09665858053229819
430215089,10.4016,9.8002,12.5212,0.8658,0.7959,0.7196,0.09816868357674101
430215090,6.7612,6.5059,9.553,0.0691,0.0682,0.0817,0.10052442674077641
430215091,9.7175,9.1827,11.8352,0.6663,0.6214,0.5758,0.10052442674077641
430215092,6.6458,6.3572,9.5491,0.0498,0.0475,0.0624,0.09592081711552267
430215093,10.8341,10.2472,13.4054,0.5342,0.5019,0.4871,0.0937735836449438
430215095,10.2445,9.8039,13.0831,0.5095,0.4906,0.4741,0.08849111644335216
430215096,6.8296,6.5002,10.0503,0.0408,0.0407,0.0611,0.09239471398211957
430215098,8.8466,8.4855,12.5803,0.0685,0.0698,0.0918,0.08433420746488306
430215099,13.2552,12.586,16.2542,0.4526,0.4348,0.4286,0.08266986501266944
430215100,8.616,8.1856,12.5451,0.0811,0.0833,0.1087,0.08266986501266944
430215101,12.3525,12.0301,15.4555,0.4778,0.4685,0.4636,0.08212958633865283
430215102,8.0447,7.5686,12.3649,0.0622,0.0622,0.0894,0.0815963233535219
430215103,11.0294,10.5442,13.2776,0.3919,0.3736,0.364,0.09519422993221213
430215104,6.6074,5.918,9.6929,0.0311,0.0309,0.0465,0.09665858053229819
430215105,10.9309,10.4547,13.2662,0.3995,0.3816,0.3746,0.09239471398211957
430215108,6.4465,5.9318,9.8419,0.0414,0.0423,0.0618,0.09894156757337469
430215109,11.4932,10.9409,13.3979,0.3093,0.293,0.2847,0.1038470904936626
430215113,46.0616,44.6535,56.0802,1.2485,1.1969,1.1812,0.027082568952758745
430215114,9.9231,9.3242,12.1213,0.2298,0.2047,0.2018,0.08975514439115811
430215116,11.3629,10.4757,13.0399,0.2612,0.2299,0.2192,0.0937735836449438
430215118,9.1972,8.3016,10.6889,0.2597,0.2256,0.2096,0.09105580497377844
430215122,9.0472,8.1117,10.5019,0.4848,0.4285,0.3536,0.08266986501266944
430215123,10.2413,9.18,11.0057,0.7209,0.6385,0.5185,0.08975514439115811
430215125,9.9754,8.8451,11.0325,0.5176,0.4582,0.3853,0.08212958633865283
430215126,13.0848,11.564,12.7206,0.4805,0.4178,0.3389,0.08606693785815557
430215127,14.6803,13.0252,14.0658,0.5153,0.4493,0.3632,0.07853670966610296
430215128,13.8403,12.1751,13.7516,0.4074,0.3514,0.2893,0.07180546030797123
430215132,12.0611,10.5802,12.4151,0.2533,0.2154,0.1784,0.077091360650504
430215133,11.2769,10.0153,12.0435,0.2191,0.1865,0.1551,0.0752449975094086
430215134,12.8332,11.4648,13.2064,0.1986,0.17,0.1367,0.07479714303071543
430215135,12.1933,10.8839,12.7807,0.1869,0.1574,0.1334,0.0752449975094086
430215136,4.7669,5.1597,9.8963,0.0435,0.0469,0.0776,0.09172037375316221
430215137,5.2371,5.7529,10.8836,0.0404,0.0435,0.0805,0.08849111644335216
430215138,5.0709,5.5166,10.7029,0.0536,0.0617,0.1071,0.08787235948346774
430215153,26.8658,23.6616,19.7958,0.4436,0.385,0.2469,0.058176383157876974
430215155,28.0755,25.8302,20.4316,1.0145,0.9118,0.6014,0.06041383338136221
430215157,27.8494,25.7035,20.4971,1.1811,1.0831,0.6612,0.06129789587454133
430215180,18.0009,20.0627,26.532,0.0346,0.051,0.0958,0.08003728818317192
430215207,30.5901,31.4602,29.2997,0.646,0.6718,0.5325,0.05370144932732833
430215208,24.8534,25.3991,24.6761,0.7068,0.7339,0.5791,0.05737948033237819
430215209,15.2612,15.6749,16.2624,0.5291,0.5401,0.4306,0.06792432131461863
430215224,21.8473,19.3872,15.0974,0.5638,0.4912,0.2659,0.06829345312829196
430215225,22.0568,19.7668,14.804,0.6796,0.6055,0.2932,0.07059533429497317
430215226,21.8003,19.5253,15.263,0.56,0.5049,0.2817,0.06904388481989716
430215227,23.0689,20.5555,15.861,0.4886,0.4333,0.2489,0.06648685222060789
430215228,23.5547,20.977,16.1233,0.4205,0.3712,0.2003,0.0675591583065621
430215229,23.2785,20.655,16.0451,0.481,0.421,0.2168,0.06792432131461863
430215245,17.6748,15.1157,11.815,0.1518,0.1414,0.0632,0.06981099120988524
430215246,18.6584,16.4586,12.9608,0.1082,0.1014,0.0523,0.06444121395927624
430215247,19.8457,17.3787,14.3148,0.138,0.1276,0.0657,0.06100034753906654
430215248,19.6696,17.236,14.106,0.1147,0.1054,0.0528,0.06100034753906654
430215249,19.0079,16.4909,14.0411,0.1974,0.181,0.0943,0.0595549083537657
430215250,20.6985,18.1126,14.666,0.1742,0.1559,0.093,0.06159836113714365
430215251,20.9668,18.0813,14.9387,0.2572,0.2208,0.1305,0.06159836113714365
430215252,21.2096,18.5645,15.7028,0.1729,0.1615,0.0833,0.06129789587454133
430215253,23.327,20.2463,17.639,0.3259,0.2844,0.1794,0.06012478543760053
430215254,24.8284,21.8018,17.9319,0.3717,0.3294,0.2031,0.057118675464029094
430215255,24.5772,22.1272,17.4309,0.3702,0.3296,0.2038,0.0595549083537657
430215256,25.1877,22.8024,17.8536,0.4886,0.4342,0.2524,0.0589957324588329
430215257,26.3556,24.0611,17.8777,0.3456,0.314,0.1679,0.05872006370526449
430215296,27.0145,25.0051,29.6656,0.8805,0.8129,0.8046,0.05844695914181379
430215297,35.1618,32.7687,39.4095,0.9333,0.8502,0.8607,0.041887433508339206
430215300,23.1256,22.3674,31.2167,1.1024,1.0531,1.1414,0.03866538740700744
430215315,9.4381,9.801,13.7783,0.084,0.0861,0.1006,0.09105580497377844
430215316,12.4263,12.9004,17.2079,0.1056,0.1073,0.1268,0.09172037375316221
430215317,12.128,12.8071,16.8644,0.1062,0.1061,0.1226,0.09592081711552267
430215318,11.3373,12.0839,16.1017,0.1051,0.1053,0.1188,0.09665858053229819
430215326,14.8069,14.4861,17.11,0.3714,0.3612,0.3621,0.1021587506273488
430215327,16.1946,15.6877,18.4002,0.39,0.3744,0.3752,0.09972671719555438
430215328,15.6388,15.127,18.2976,0.3876,0.3715,0.3793,0.08726219508235135
430215329,4.6345,4.3308,6.8851,0.0,0.0,0.0123,0.10052442674077641
430215330,5.6202,5.3346,8.6349,0.0,0.0,0.0173,0.07180546030797123
430215331,6.3693,5.9823,8.8852,0.0,0.0,0.016,0.07756719641593564
430215332,7.2632,6.9327,9.2844,0.0036,0.0035,0.0186,0.08266986501266944
430215334,8.2924,7.9741,11.0407,0.0173,0.0167,0.0339,0.07059533429497317
430215336,8.2624,7.8879,10.4738,0.0189,0.0181,0.0336,0.07953076456813789
430215338,8.2984,7.8974,10.2291,0.0,0.0,0.0134,0.09239471398211957
430215339,8.2667,7.8145,10.0704,0.0,0.0,0.013,0.09519422993221213
430215341,9.2543,8.4572,11.26,0.0093,0.0086,0.024,0.07953076456813789
430215342,9.7135,9.04,11.4485,0.0485,0.0513,0.0648,0.08666044549832956
