detection_id,B,G,R,nB,nG,nR,Compactness
432271595,2.4525,30.8736,8.5726,0.0354,0.2444,0.0518,0.044403578072467774
432271602,4.414,6.2251,5.4984,0.0348,0.0454,0.0306,0.09303614607738368
432271604,0.9969,1.6746,2.9134,0.0059,0.0095,0.0122,0.12554350491548116
432271609,2.9136,16.3835,7.7832,0.0547,0.1416,0.0587,0.051712576293637055
432271614,1.1931,1.4476,2.4353,0.0084,0.0094,0.0134,0.18475840065665078
432271631,2.2833,2.6973,3.4031,0.0195,0.0206,0.0214,0.15904183716398032
432271633,5.3123,7.1975,3.9302,0.0887,0.1142,0.0379,0.15904183716398032
432271644,1.0263,2.3962,2.3296,0.0078,0.0152,0.0101,0.17449830252036147
432271646,0.8859,2.3057,2.6485,0.018,0.0303,0.0224,0.15511613727099602
432271647,1.1681,2.4425,2.4121,0.0077,0.031,0.0131,0.18475840065665078
432271649,1.6937,3.0746,3.4541,0.0115,0.0197,0.0179,0.12821464331793822
432271650,3.1014,3.9016,4.3407,0.0514,0.061,0.0441,0.11966865507387159
432271653,5.4182,5.5864,4.6697,0.053,0.0561,0.0308,0.18208192715442573
432271654,6.0141,6.1827,5.223,0.0638,0.0663,0.0375,0.1721088567938853
432271661,4.4723,4.4854,3.5311,0.0967,0.0957,0.0363,0.15511613727099602
432271662,2.7505,2.7379,3.1067,0.028,0.0278,0.0192,0.15137953892966877
432271663,2.7236,2.7122,3.097,0.028,0.0278,0.0191,0.15137953892966877
432271664,4.264,4.2353,2.6269,0.0241,0.024,0.0062,0.2093793437612272
432271665,4.2361,4.2363,2.6907,0.0354,0.036,0.0127,0.224325293611701
432271666,4.216,4.2138,2.6791,0.0336,0.0341,0.012,0.224325293611701
432271667,3.8659,3.7922,2.5789,0.0807,0.0786,0.0267,0.22840111198938143
432271668,4.1704,4.0449,2.7285,0.0663,0.0635,0.0276,0.23262772230212783
432271669,4.2996,4.151,2.8067,0.0419,0.0384,0.0186,0.224325293611701
432271670,3.7003,3.5744,2.4565,0.0557,0.0544,0.0099,0.1903544897796419
432271671,4.0905,3.9844,2.5658,0.0615,0.0599,0.0085,0.18208192715442573
432271673,5.4734,5.234,3.0418,0.201,0.1935,0.0267,0.16752101074657041
432271674,5.4722,5.2316,3.0148,0.1815,0.1736,0.0247,0.16978395275546265
432271675,5.6758,5.4015,3.2903,0.1107,0.105,0.0127,0.15705446369492315
432271676,5.5865,5.3016,3.2402,0.0883,0.0824,0.0135,0.16317136358672749
432271677,5.4703,5.1648,3.2802,0.0797,0.0743,0.0121,0.16317136358672749
432271678,6.2875,6.0636,3.442,0.094,0.0909,0.0125,0.15904183716398032
432271679,8.9466,8.621,4.18,0.3224,0.3087,0.0555,0.13657449043501094
432271685,5.8654,5.5629,2.965,0.2289,0.2161,0.0379,0.1721088567938853
432271686,5.4586,5.2555,2.8442,0.2362,0.2259,0.0384,0.1721088567938853
432271689,4.934,4.7346,3.1601,0.0491,0.047,0.0152,0.19328157927359077
432271692,4.7658,4.6885,3.115,0.0547,0.0549,0.018,0.2059488517353309
432271693,3.4617,3.2582,2.3687,0.0487,0.0471,0.017,0.21659487670178934
432271694,3.868,3.6311,2.4771,0.0177,0.0157,0.0055,0.22039234176969208
432271697,9.0112,8.6561,4.8413,0.0625,0.058,0.012,0.14781870195462177
432271704,3.2495,3.1083,2.101,0.0218,0.0203,0.0058,0.23262772230212783
432271705,3.25,3.1058,2.1074,0.0218,0.0206,0.0058,0.23262772230212783
432271706,3.51,3.3419,2.2389,0.0256,0.0237,0.0057,0.22039234176969208
432271707,3.6381,3.44,2.3141,0.0295,0.0277,0.0059,0.21659487670178934
432271708,4.7564,4.8051,4.0772,0.0638,0.0651,0.0331,0.1721088567938853
432271709,3.8856,3.9673,3.3482,0.0263,0.0277,0.0201,0.2093793437612272
432271711,3.535,3.3541,2.2429,0.0256,0.0234,0.009,0.23262772230212783
432271712,3.535,3.3541,2.2429,0.0256,0.0234,0.009,0.23262772230212783
432271713,4.1148,3.8414,2.44,0.0345,0.0332,0.0106,0.224325293611701
432271716,4.3681,4.1256,2.8867,0.0862,0.0793,0.0351,0.224325293611701
432271717,4.3677,4.1239,2.885,0.0981,0.0906,0.0394,0.224325293611701
432271718,4.6422,4.4888,3.1128,0.1827,0.1753,0.0723,0.21659487670178934
432271719,4.6195,4.4665,3.105,0.1813,0.174,0.0719,0.21659487670178934
432271720,4.2624,4.0885,2.7953,0.0663,0.0616,0.0271,0.21659487670178934
432271724,3.9007,4.0228,3.6632,0.0508,0.0525,0.0265,0.2093793437612272
432271725,3.8982,4.0214,3.6624,0.0521,0.0539,0.0269,0.2093793437612272
432271726,4.3827,4.5253,3.8191,0.051,0.0543,0.0266,0.2129260181386661
432271727,5.6519,5.8091,4.9221,0.0524,0.054,0.0327,0.17695501477362918
432271731,8.7389,9.4313,5.1632,0.0957,0.1059,0.0316,0.11634512054520679
432271734,4.1026,4.399,3.3058,0.131,0.1436,0.052,0.17695501477362918
432271735,3.2161,3.4605,2.7703,0.0713,0.079,0.0265,0.19941430995731257
432271737,4.8059,5.2673,4.053,0.3435,0.3702,0.1402,0.12821464331793822
432271738,6.2977,7.2468,4.8664,0.2548,0.2874,0.1045,0.12318763468639518
432271741,3.2911,3.9054,3.2916,0.092,0.1084,0.0357,0.15137953892966877
432271743,3.1874,3.7925,3.17,0.1028,0.1243,0.0393,0.15137953892966877
432271744,3.3945,4.0608,3.1197,0.109,0.1311,0.044,0.16317136358672749
432271746,2.9191,3.4132,3.2165,0.0764,0.0914,0.0314,0.14781870195462177
432271747,2.8016,3.3034,3.1566,0.1369,0.1674,0.055,0.14781870195462177
432271748,2.8016,3.3034,3.1566,0.1369,0.1674,0.055,0.14781870195462177
432271754,8.4616,9.1398,5.4994,0.2469,0.2661,0.086,0.1256508846247525
432271755,9.2607,9.9384,5.8719,0.2921,0.3138,0.0932,0.12199187159268324
432271756,8.7219,9.4647,5.3103,0.2609,0.2819,0.0791,0.11966865507387159
432271763,3.4008,3.418,2.1775,0.0867,0.085,0.0139,0.21659487670178934
432271767,5.655,5.9511,5.3046,0.0715,0.0766,0.0424,0.15705446369492315
432271768,5.6293,5.9352,5.2267,0.0736,0.0814,0.0417,0.16752101074657041
432271773,5.5677,5.6223,5.0313,0.0561,0.0581,0.033,0.1721088567938853
432271774,5.8792,5.9761,5.287,0.0645,0.0665,0.0385,0.1653175867489029
432271775,4.6257,4.7211,4.1736,0.0653,0.0675,0.0341,0.18751471302418415
432271776,4.6095,4.808,4.3087,0.0951,0.102,0.0595,0.18475840065665078
432271777,4.8339,4.9915,4.6406,0.068,0.0707,0.0449,0.1721088567938853
432271778,4.0676,4.118,3.876,0.0531,0.0534,0.0335,0.1963000700655754
432271783,3.6929,3.5618,2.4503,0.0387,0.0369,0.0122,0.2093793437612272
432271784,3.1314,2.9773,2.1518,0.0288,0.0268,0.0056,0.22039234176969208
432271785,3.7484,3.5257,2.2482,0.062,0.0583,0.0083,0.2093793437612272
432271786,5.3639,5.06,2.6637,0.1,0.0934,0.0093,0.18751471302418415
432271789,9.8327,10.1028,7.922,0.1817,0.1886,0.1056,0.12691981982432735
