detection_id,B,G,R,nB,nG,nR,Compactness
433006914,3.6056,4.1524,7.7803,0.0872,0.0987,0.1242,0.09665858053229819
433006918,6.107,6.8668,8.7453,0.1217,0.1425,0.1104,0.0937735836449438
433006922,0.058,0.1073,1.6487,0.0021,0.0024,0.0093,0.2129260181386661
433006926,27.6405,30.1194,18.4665,1.6795,1.8567,0.8441,0.07903061153879146
433006929,0.0139,0.0054,2.066,0.0031,0.0036,0.013,0.15322506464696445
433006950,5.5306,5.7724,6.0832,0.1455,0.1517,0.0987,0.11743226366213184
433006951,8.5266,8.904,8.0848,0.5263,0.5601,0.3291,0.1396087127968195
433006952,8.6697,9.4667,6.8856,0.0453,0.0494,0.0318,0.1351063003197879
433006963,1.6054,1.7005,2.3849,0.0074,0.0077,0.009,0.224325293611701
433006968,0.6463,0.8593,2.4782,0.0078,0.0084,0.0114,0.2059488517353309
433006969,0.5827,0.9119,2.86,0.0034,0.0039,0.009,0.1903544897796419
433006970,0.3326,0.6224,2.6416,0.0006,0.0007,0.0071,0.19941430995731257
433006979,0.0442,0.1159,1.7578,0.0004,0.0061,0.0124,0.18208192715442573
433006980,0.0414,0.1236,1.8527,0.0015,0.0077,0.012,0.1721088567938853
433006985,1.8966,2.199,2.8768,0.0595,0.0678,0.0462,0.23262772230212783
433006987,3.8302,4.5736,6.9958,0.0608,0.082,0.0982,0.16108014280507627
433006995,13.9126,15.6685,12.8425,0.0274,0.0738,0.0404,0.08321729873508964
433006996,17.0962,19.0522,11.4512,0.0499,0.0558,0.0392,0.08911864874469005
433007006,0.9351,1.8382,4.6142,0.0172,0.0549,0.1025,0.19941430995731257
433007007,0.8417,1.71,4.4772,0.0107,0.0265,0.0578,0.19941430995731257
433007014,3.6624,3.9334,6.3355,0.0591,0.0572,0.0666,0.1351063003197879
433007020,3.7985,4.294,6.0013,0.0542,0.0614,0.0668,0.14781870195462177
433007022,18.0254,20.1218,13.4476,0.5433,0.6037,0.2843,0.06378702284985524
433007024,14.8575,16.4237,12.383,0.0618,0.0679,0.0751,0.0937735836449438
433007026,2.6659,3.0899,4.4273,0.0491,0.0572,0.0572,0.16978395275546265
433007030,4.8479,5.4899,5.8853,0.0489,0.0613,0.0473,0.14442151192814084
433007031,3.3111,3.7357,4.152,0.036,0.0452,0.0387,0.16108014280507627
433007042,3.4397,3.8027,5.2096,0.0713,0.081,0.0865,0.1963000700655754
433007043,3.7287,4.13,5.8306,0.0425,0.0504,0.0575,0.18475840065665078
433007044,3.9068,4.3212,6.1338,0.07,0.0795,0.0866,0.1794818739290955
433007046,3.1021,3.4045,4.9525,0.0621,0.069,0.0725,0.19328157927359077
433007047,3.0502,3.2965,4.6955,0.0684,0.0759,0.0804,0.2093793437612272
433007057,12.2901,13.156,9.8407,0.0638,0.0649,0.0546,0.1038470904936626
433007061,26.7991,29.1968,18.7509,2.7823,3.0117,1.4754,0.06129789587454133
433007062,18.4049,19.7108,16.9252,0.9968,1.0669,0.6066,0.08787235948346774
433007064,12.3061,13.1845,10.5588,0.4921,0.5267,0.2804,0.08212958633865283
433007065,6.5307,6.9428,6.9658,0.218,0.2319,0.1428,0.1495779344429456
433007068,6.8666,7.474,6.7335,0.3651,0.4019,0.2027,0.1396087127968195
