detection_id,B,G,R,nB,nG,nR,Compactness
432368940,9.1909,11.5854,17.4511,0.1216,0.1861,0.2361,0.0937735836449438
432368941,7.9381,11.6909,17.4626,0.1054,0.1855,0.2337,0.0937735836449438
432368942,7.8696,10.9672,16.7839,0.1318,0.2238,0.2924,0.09665858053229819
432368943,9.3,11.5042,18.2644,0.1642,0.2026,0.2705,0.08106994029334431
432368944,7.6882,10.6293,17.0603,0.0813,0.1333,0.1608,0.06346488289866778
432368945,9.3631,12.701,18.946,0.1165,0.1926,0.263,0.0815963233535219
432368947,11.7937,15.5485,22.7833,0.2703,0.3848,0.4486,0.04759920052280796
432368948,13.9049,19.7234,27.106,0.2613,0.3987,0.4509,0.049086630312145024
432368955,21.7543,25.9736,38.1984,0.333,0.4101,0.5312,0.03247102396392038
432368957,11.6111,15.7351,18.589,0.1308,0.2568,0.2363,0.07435458803139107
432368958,6.9849,7.1077,16.806,0.116,0.1159,0.2023,0.04947312713553582
432368959,7.7133,9.0874,18.1037,0.1485,0.1783,0.2492,0.05108195634991484
432368963,10.5692,10.7053,22.2334,0.2015,0.197,0.3165,0.04120076930564869
432368965,30.6448,35.7924,43.2144,0.4291,0.5769,0.5949,0.044879318492720414
432368967,18.203,21.8351,33.3965,0.3312,0.4432,0.5203,0.0396411506922282
432368971,16.3588,21.7455,24.5729,0.2858,0.4213,0.3831,0.05439884443645084
432368975,8.2492,9.4312,18.6841,0.1735,0.1979,0.3029,0.05347294092237722
432368983,24.0865,23.566,39.818,0.5346,0.5316,0.654,0.04688878485347726
432368984,14.7577,12.7907,24.61,0.1594,0.139,0.2162,0.06314598028335774
432368985,16.0349,13.0917,26.1796,0.3167,0.2701,0.3916,0.0539319190680174
432368986,17.5124,16.2867,31.856,0.3857,0.39,0.5627,0.04409198179755562
432368987,13.4682,12.1923,26.201,0.2692,0.2631,0.3943,0.05560231145909046
432368988,8.0678,6.8283,19.7326,0.1435,0.1314,0.2316,0.05463535211139932
432368989,10.8403,12.1528,18.1961,0.2133,0.2514,0.2788,0.06012478543760053
432368994,8.3787,8.4089,12.6873,0.1332,0.1361,0.1481,0.07479714303071543
432369005,14.3961,19.9836,21.306,0.2599,0.3717,0.3286,0.08377203058083679
432369015,21.8652,27.7139,40.9863,0.3943,0.5373,0.5906,0.030951463058686814
432369016,23.903,34.1902,36.4898,0.4806,0.7176,0.6665,0.06251769380643689
432369017,4.445,4.2527,10.2156,0.0468,0.0524,0.08,0.08321729873508964
432369018,5.7103,5.5104,12.6686,0.0724,0.0732,0.1191,0.06510896233025722
432369019,24.5637,31.012,38.3331,0.4378,0.565,0.6144,0.042027522098831975
432369024,35.2954,33.8267,46.0072,0.5164,0.5058,0.6402,0.03890479695236772
432369025,13.0001,14.585,22.8714,0.2253,0.2778,0.3509,0.049086630312145024
432369028,16.1963,14.746,16.7544,0.2646,0.2261,0.205,0.07569824722699373
432369029,18.0391,16.4653,17.3354,0.3464,0.304,0.2504,0.07615699026400004
432369030,15.3706,13.915,15.0849,0.3392,0.3032,0.2423,0.08606693785815557
432369031,18.9319,18.1702,26.2483,0.3514,0.3477,0.4528,0.06942531913488556
432369032,21.2605,19.7795,28.5457,0.3904,0.3681,0.4764,0.06648685222060789
432369033,23.576,20.5223,29.1474,0.4726,0.4216,0.5493,0.06684048540909966
432369034,20.1567,17.233,24.9663,0.4218,0.3538,0.4481,0.07756719641593564
432369035,18.7835,15.8682,22.8598,0.3363,0.2886,0.3531,0.07756719641593564
432369036,17.9707,14.9708,22.3639,0.2818,0.2238,0.3056,0.08666044549832956
432369037,16.9005,14.1715,21.1982,0.3854,0.313,0.416,0.08849111644335216
432369038,15.623,12.9358,19.6352,0.3873,0.3085,0.4124,0.09307904275505513
432369041,5.5545,5.1388,14.0361,0.032,0.0308,0.0614,0.08212958633865283
432369049,19.1084,16.9658,25.8205,0.3625,0.2992,0.4502,0.08606693785815557
432369050,22.5388,18.9969,32.9905,0.4876,0.3794,0.659,0.077091360650504
432369051,24.1833,22.1377,40.2943,0.5055,0.4624,0.7701,0.06220821570931003
432369055,21.7711,18.035,41.4095,0.3577,0.2652,0.7276,0.057118675464029094
432369060,10.4652,8.5399,33.6628,0.1647,0.1235,0.559,0.051712576293637055
432369061,13.4377,12.3763,39.203,0.2057,0.1915,0.606,0.05046653131091824
432369062,16.6017,15.1657,43.9724,0.3971,0.3653,0.9378,0.05279893651282317
432369063,15.928,15.0121,43.4838,0.3618,0.3595,0.8884,0.040932366155960825
432369064,18.2575,17.4397,43.3713,0.2917,0.2825,0.6784,0.03819530033179143
432369065,14.3629,13.2831,37.0406,0.2254,0.2099,0.5825,0.047241322067509035
432369074,5.0426,4.5996,13.2144,0.0494,0.0575,0.0933,0.0661369411690469
432369083,23.6086,20.8819,40.6651,0.4224,0.3862,0.5882,0.05635029433027713
432369084,50.352,57.2622,70.9877,0.634,0.7213,0.8947,0.051712576293637055
432369098,17.1566,16.0208,21.0025,0.1621,0.134,0.2283,0.08606693785815557
432369099,16.2787,34.5352,51.2211,0.4199,0.907,1.3148,0.05844695914181379
432369100,35.5031,32.0016,44.413,0.4439,0.373,0.562,0.05370144932732833
432369101,50.9363,77.7527,93.9396,0.5828,1.0204,1.3229,0.04927912092245134
432369103,23.2172,41.6826,60.8244,0.4255,0.7692,1.1503,0.04927912092245134
432369104,20.3848,36.0712,53.2871,0.2268,0.4624,0.7081,0.05686023067241032
432369105,14.5735,31.4,50.3014,0.1399,0.448,0.7646,0.050875153686925724
432369106,15.9683,31.4682,50.0929,0.2264,0.4536,0.7752,0.05635029433027713
