detection_id,B,G,R,nB,nG,nR,Compactness
432688068,5.6829,9.528,11.4719,0.1448,0.2351,0.2005,0.07139750161301212
432688080,7.1782,21.0947,18.299,0.1298,0.3137,0.1908,0.03272470038438604
432688082,3.7829,8.441,8.2641,0.0527,0.0961,0.0711,0.0661369411690469
432688083,10.3749,17.6208,15.7041,0.2515,0.4564,0.2937,0.07305779571290515
432688087,3.2553,7.3981,8.9637,0.0468,0.0888,0.0693,0.06190178642991358
432688089,3.0717,7.025,8.3662,0.0373,0.0697,0.0564,0.06684048540909966
432688096,3.3748,6.0465,7.7225,0.0777,0.1198,0.101,0.08212958633865283
432688097,2.9757,6.9599,7.7408,0.0028,0.0041,0.0183,0.08055030487456037
432688100,5.2576,8.1664,9.4739,0.1242,0.1943,0.1511,0.08490398027194407
432688106,2.605,6.9732,7.6096,0.0053,0.0077,0.0206,0.07804894248762141
432688126,6.4026,6.5399,5.0959,0.0,0.0002,0.0194,0.06411244968272661
432688127,2.8086,6.7934,4.9665,0.0,0.0102,0.0179,0.06942531913488556
432688128,2.6491,6.3936,5.5669,0.0011,0.0044,0.0208,0.06346488289866778
432688129,2.4135,5.3721,4.4315,0.0,0.0009,0.0156,0.07953076456813789
432688135,11.8577,8.0537,4.5852,0.033,0.0274,0.0205,0.0752449975094086
432688136,11.0,20.5603,15.2235,0.1816,0.3375,0.1735,0.07903061153879146
432688137,13.0131,21.9722,16.951,0.242,0.4411,0.2645,0.08548150399146558
432688138,10.192,17.7546,13.83,0.1462,0.3062,0.1869,0.09447856694680049
432688139,4.5828,5.5924,5.3075,0.0,0.0007,0.0202,0.06159836113714365
432688140,4.9123,3.982,4.449,0.0,0.0001,0.0171,0.07263552511680024
432688141,8.2727,6.251,6.2139,0.0,0.0,0.0235,0.05302170881884524
432688142,10.0634,7.9906,5.4518,0.0162,0.0136,0.0228,0.06477336728387235
432688143,12.7597,9.75,6.1597,0.0318,0.0282,0.0252,0.05844695914181379
432688148,9.5839,5.1223,5.4554,0.0249,0.0182,0.0267,0.06220821570931003
432688149,6.6124,4.1096,4.9576,0.0011,0.0,0.0189,0.06579069379816853
432688150,3.1257,2.788,4.2863,0.0011,0.004,0.016,0.07756719641593564
432688153,14.0481,13.7288,7.3852,0.2721,0.2629,0.0656,0.0607056738604871
432688154,8.2553,6.5513,3.7669,0.0499,0.0397,0.0191,0.08726219508235135
432688155,7.6345,6.8666,3.6693,0.0,0.0,0.0132,0.0937735836449438
432688159,7.0892,14.0342,8.4241,0.0261,0.0557,0.042,0.05108195634991484
432688171,2.7195,8.5639,5.8818,0.0487,0.1235,0.0615,0.08849111644335216
432688189,6.134,5.5125,3.2161,0.0096,0.0144,0.0114,0.11423011752805243
432688190,6.3421,5.5354,3.3841,0.0127,0.0175,0.0131,0.10648688664370398
432688191,5.875,5.815,4.3227,0.0112,0.0178,0.0169,0.0815963233535219
432688192,2.2548,6.1622,3.934,0.0,0.007,0.0125,0.09894156757337469
432688193,1.6983,6.1425,4.0478,0.0014,0.0142,0.0143,0.09239471398211957
432688194,1.2456,3.2966,3.6003,0.0,0.0042,0.0131,0.09447856694680049
432688210,5.6165,11.8156,6.8699,0.0614,0.0933,0.0601,0.07903061153879146
432688211,8.8459,16.8987,9.474,0.0763,0.1202,0.0833,0.06100034753906654
432688214,17.6444,15.914,6.7123,0.196,0.1808,0.0448,0.07804894248762141
432688215,22.1796,20.7408,9.2116,0.5002,0.4753,0.1062,0.07435458803139107
432688225,7.4759,5.6594,5.564,0.0338,0.0279,0.0278,0.06648685222060789
432688230,12.2214,9.2013,4.2903,0.1988,0.1785,0.0327,0.08212958633865283
432688231,12.9484,9.5717,4.4569,0.1679,0.1479,0.0223,0.08055030487456037
432688232,15.9905,14.8676,6.0933,0.2865,0.2813,0.0677,0.07662132709270902
432688233,16.0463,13.4035,5.9995,0.2894,0.2473,0.0414,0.07348500463068167
432688234,17.5917,16.3439,6.7465,0.2993,0.2865,0.0626,0.07435458803139107
432688235,17.4582,18.148,6.8502,0.2655,0.2775,0.0609,0.0815963233535219
432688237,13.2173,12.1122,5.2001,0.1666,0.1552,0.0357,0.08849111644335216
432688238,13.4064,12.4713,6.9416,0.3689,0.3398,0.0683,0.08606693785815557
432688239,12.7982,11.5831,5.3473,0.2573,0.2335,0.0575,0.09239471398211957
432688240,12.4325,10.5511,3.9204,0.1468,0.1265,0.0339,0.09239471398211957
432688248,31.2216,38.9537,28.4203,0.5083,0.6784,0.3688,0.05257802831020273
432688250,4.4595,9.1838,9.9464,0.0681,0.111,0.0827,0.04706439330664793
432688253,18.6991,29.8321,17.9615,0.3826,0.6696,0.266,0.06684048540909966
432688254,17.3211,27.9024,16.6514,0.2912,0.5151,0.196,0.05983849013957345
432688255,12.8064,23.2224,14.0593,0.1407,0.2409,0.1083,0.05511459098459456
432688258,4.3904,11.693,7.1784,0.0419,0.1336,0.0503,0.06544805286939072
432688259,5.7615,10.0002,8.7102,0.1056,0.2021,0.0873,0.059274001684944774
432688260,2.1665,3.4517,3.6469,0.0062,0.0104,0.0167,0.09447856694680049
432688262,6.9006,7.687,5.8184,0.0792,0.1056,0.0622,0.07615699026400004
432688263,11.8811,8.332,5.3215,0.1081,0.0838,0.0323,0.08266986501266944
432688266,13.8318,14.0589,7.1873,0.245,0.2427,0.0809,0.08726219508235135
432688267,11.282,12.2445,4.9654,0.0341,0.0294,0.0214,0.08003728818317192
432688270,4.4395,5.4238,5.1922,0.0098,0.0268,0.0219,0.0661369411690469
432688271,7.2622,7.2804,7.0424,0.1417,0.164,0.0703,0.05872006370526449
432688272,4.8853,2.9526,4.62,0.0672,0.0067,0.018,0.07139750161301212
432688273,4.0858,2.5817,4.1117,0.0367,0.0007,0.0161,0.07953076456813789
432688274,4.3958,3.9413,4.6502,0.0307,0.0323,0.0249,0.08003728818317192
432688277,25.6696,15.7618,7.0913,0.3921,0.2819,0.042,0.05439884443645084
432688279,9.3187,6.7723,5.3442,0.0534,0.0504,0.0244,0.06792432131461863
