detection_id,B,G,R,nB,nG,nR,Compactness
432415113,5.8729,5.6987,8.1334,0.1845,0.179,0.1559,0.09740778003073822
432415114,2.5635,2.3776,4.0298,0.0589,0.054,0.0515,0.15137953892966877
432415116,12.6435,12.5543,15.9544,0.1915,0.19,0.2054,0.09105580497377844
432415117,2.6369,2.2725,4.0307,0.052,0.0468,0.0467,0.14442151192814084
432415120,5.0429,4.6608,7.0903,0.118,0.1101,0.1067,0.1021587506273488
432415140,18.2204,17.4179,22.3714,0.4438,0.426,0.454,0.06829345312829196
432415142,13.0103,14.1135,20.0278,0.2518,0.2802,0.3203,0.06100034753906654
432415143,31.6539,29.8569,39.8346,0.7771,0.7325,0.7677,0.031104686236430167
432415150,56.2618,55.4605,70.6011,0.4647,0.4461,0.4884,0.021741060327790263
432415151,30.1592,29.548,40.8872,0.7023,0.6867,0.8122,0.04245346694193159
432415153,10.2168,9.5427,12.0724,0.2428,0.2155,0.2219,0.11022268844923072
432415163,2.3865,2.5512,4.779,0.0504,0.0579,0.0646,0.1336693370934263
432415165,1.7138,1.8543,4.8748,0.0126,0.013,0.0243,0.10926437976474195
432415172,3.8227,3.6176,5.7168,0.018,0.0122,0.0104,0.11966865507387159
432415173,1.3313,2.1183,4.8988,0.0136,0.0282,0.0535,0.1411769425941694
432415174,7.2256,6.9247,10.6402,0.1394,0.1348,0.1396,0.077091360650504
432415181,8.5035,8.3257,12.5793,0.2612,0.2462,0.2767,0.07953076456813789
432415184,2.9525,2.718,4.6608,0.126,0.1127,0.1203,0.16108014280507627
432415199,15.4586,15.4027,19.5392,0.1711,0.1711,0.1879,0.07953076456813789
432415201,5.2214,4.9632,6.2867,0.046,0.0428,0.047,0.19941430995731257
432415205,26.7978,26.0321,32.011,0.5411,0.5284,0.5743,0.06041383338136221
432415206,2.2492,2.2447,3.9002,0.0429,0.0428,0.0501,0.19328157927359077
432415216,4.558,3.4608,6.909,0.2345,0.175,0.2445,0.1336693370934263
432415218,3.2406,2.6427,4.9729,0.061,0.0488,0.0558,0.13657449043501094
432415219,4.1759,3.1404,6.4331,0.1325,0.0951,0.142,0.13807493637999585
432415223,3.4936,2.5893,5.1691,0.2509,0.1866,0.2594,0.18475840065665078
432415228,12.5891,12.6626,15.9945,0.1736,0.1739,0.1936,0.10471236017896915
432415232,7.1894,7.2205,10.3045,0.087,0.0874,0.1014,0.10052442674077641
432415234,1.2257,1.4175,2.607,0.0128,0.0163,0.0166,0.19328157927359077
432415235,3.6261,3.6011,5.727,0.0347,0.0331,0.0469,0.16978395275546265
432415237,3.314,3.2417,6.0894,0.0109,0.0111,0.0207,0.10648688664370398
432415243,2.4013,2.3005,4.6911,0.0261,0.0251,0.0424,0.19328157927359077
432415246,2.5535,2.6301,4.6417,0.0405,0.0417,0.0615,0.2059488517353309
432415247,1.7783,1.5028,4.3693,0.0092,0.008,0.0217,0.13657449043501094
432415249,1.9668,1.7211,4.3514,0.0114,0.0097,0.0228,0.1427807996875266
432415250,4.0233,3.623,6.9945,0.0237,0.0212,0.0464,0.1396087127968195
432415252,3.7447,3.4678,5.7964,0.0227,0.0214,0.0353,0.18475840065665078
432415287,19.2015,20.8257,25.0908,0.4227,0.4703,0.47,0.0661369411690469
432415292,18.4828,19.7611,24.021,0.4866,0.5467,0.533,0.0675591583065621
432415295,14.5712,11.2893,17.2854,0.2131,0.1795,0.2291,0.10739689511380088
432415296,5.1763,4.8758,7.5015,0.1049,0.0985,0.1161,0.1351063003197879
432415299,3.4098,2.805,4.9503,0.0584,0.0469,0.0613,0.16752101074657041
432415301,5.9146,4.4268,7.5879,0.0633,0.0474,0.0691,0.17449830252036147
432415302,3.1156,2.6257,4.5831,0.0434,0.0359,0.0476,0.17695501477362918
432415309,2.2654,1.9915,3.7779,0.0441,0.0384,0.0494,0.1903544897796419
432415316,1.7898,1.8132,3.7752,0.0316,0.0319,0.0388,0.15705446369492315
432415317,1.1995,1.1449,3.2346,0.0754,0.0708,0.0844,0.16108014280507627
432415318,4.1142,4.0895,5.8225,0.0181,0.0177,0.0248,0.1653175867489029
432415319,4.0284,3.9232,7.6961,0.3168,0.3114,0.3674,0.09816868357674101
432415323,4.7225,4.4703,9.5311,0.1575,0.1542,0.1924,0.07180546030797123
432415324,17.6166,17.489,21.0181,0.077,0.0762,0.0913,0.07221810771057427
432415326,5.2471,5.1451,9.0059,0.0046,0.0042,0.0191,0.08321729873508964
432415327,3.3129,3.3209,6.0878,0.3249,0.3255,0.3591,0.12440706908215582
432415338,3.0761,3.2084,5.1076,0.1635,0.1665,0.1846,0.18475840065665078
432415339,4.6648,4.6405,6.0863,0.0186,0.0186,0.025,0.1903544897796419
432415351,3.3757,3.2816,6.2557,0.0443,0.0431,0.0611,0.11966865507387159
432415352,2.5986,2.5836,4.8973,0.0307,0.0302,0.0411,0.14442151192814084
432415353,5.2162,5.1632,7.1194,0.0221,0.0216,0.0299,0.1427807996875266
432415354,3.4481,3.3376,5.5103,0.011,0.0108,0.0191,0.14781870195462177
432415355,4.4046,4.3639,6.8176,0.1264,0.1254,0.1455,0.14610036423614817
432415357,2.7296,2.7189,4.931,0.0739,0.0729,0.0862,0.15511613727099602
432415358,2.6121,2.6493,4.8868,0.0447,0.0457,0.0569,0.14781870195462177
432415359,9.5933,9.5148,11.8129,0.0433,0.0424,0.0523,0.1132011898318306
432415360,4.9103,4.737,7.7501,0.0125,0.0112,0.0234,0.11022268844923072
432415361,3.5715,3.6057,5.6729,0.1341,0.1369,0.156,0.17695501477362918
432415363,1.4163,1.3994,3.0845,0.0233,0.0224,0.0299,0.1903544897796419
432415364,4.6896,4.6282,6.0611,0.0223,0.0218,0.0277,0.18475840065665078
432415365,2.5645,2.4788,4.217,0.0059,0.0056,0.0127,0.1903544897796419
432415366,3.5095,3.743,6.1911,0.1284,0.1299,0.1492,0.1427807996875266
432415367,2.3645,2.3094,4.6634,0.0139,0.014,0.0237,0.13807493637999585
432415368,6.3245,6.2781,7.7766,0.0263,0.0263,0.0329,0.17449830252036147
