detection_id,B,G,R,nB,nG,nR,Compactness
428706126,21.7869,22.0399,26.3874,0.091,0.091,0.105,0.08849111644335216
428706128,19.9392,20.0911,25.7568,0.5211,0.5259,0.5539,0.05660411406725943
428706135,34.5131,35.3626,43.03,0.6732,0.6931,0.7197,0.040536254848845585
428706136,15.8207,16.049,21.1976,0.1726,0.1797,0.1805,0.04778018079289879
428706137,34.3518,35.2843,39.6031,0.6864,0.7127,0.7001,0.059274001684944774
428706139,51.1042,51.501,55.406,2.3781,2.3899,2.236,0.045040172094838404
428706140,37.43,38.881,42.5607,1.1883,1.2361,1.1933,0.05324636892277132
428706141,29.063,29.5703,35.1138,0.15,0.1508,0.1746,0.06866661880204716
428706144,60.1857,60.7652,73.3493,0.7263,0.723,0.7746,0.02936051797419504
428706154,18.7813,19.02,24.3098,0.0994,0.1007,0.1228,0.07059533429497317
428706155,24.912,25.236,31.6254,0.1345,0.1361,0.1627,0.05872006370526449
428706156,8.8666,10.5873,16.7455,0.128,0.1427,0.1752,0.07020097205976435
428706158,33.9049,35.5065,40.9926,0.6313,0.6619,0.659,0.04603003942056844
428706163,7.4594,8.5534,14.0585,0.1721,0.1844,0.1857,0.06129789587454133
428706164,5.4989,6.1112,9.509,0.0329,0.0366,0.0506,0.08266986501266944
428706165,37.2461,37.6626,42.243,0.1511,0.1511,0.1683,0.07221810771057427
428706166,11.8607,13.2368,17.5575,0.0454,0.0493,0.0653,0.06100034753906654
428706167,13.7504,14.9951,18.9687,0.0558,0.0615,0.0808,0.0607056738604871
428706168,34.7942,35.2895,33.043,0.3244,0.3262,0.2385,0.06041383338136221
428706169,12.2141,13.0362,16.8323,0.0247,0.0282,0.0557,0.06544805286939072
428706170,18.6487,18.5332,18.9619,0.5719,0.5705,0.4542,0.07221810771057427
428706171,8.1183,8.8611,12.1731,0.0765,0.0817,0.0917,0.08106994029334431
428706172,9.0454,8.9255,11.0067,0.4476,0.4429,0.3721,0.08548150399146558
428706173,6.4469,6.7061,9.3836,0.1479,0.1431,0.1196,0.07615699026400004
428706174,25.5175,26.1509,31.3139,0.1092,0.1092,0.1265,0.07180546030797123
428706186,21.0469,21.0918,18.4468,0.2877,0.2843,0.1727,0.06981099120988524
428706194,35.7713,37.1421,41.238,1.303,1.3367,1.3482,0.06904388481989716
428706196,43.2249,44.5284,47.6266,1.6727,1.7152,1.647,0.057118675464029094
428706198,34.2756,33.1082,30.7458,0.6908,0.6561,0.4536,0.04174827570770436
428706199,30.6648,29.5912,29.9018,0.9295,0.8629,0.7053,0.04586205110904071
428706200,32.539,31.7791,34.3376,0.8992,0.8492,0.7313,0.04348172702451151
428706201,10.0811,9.6823,12.8693,0.3728,0.3475,0.3094,0.06981099120988524
428706202,14.7123,15.037,20.793,0.1946,0.1985,0.2223,0.059274001684944774
428706203,33.9193,33.7149,36.3886,0.7972,0.7789,0.7128,0.04348172702451151
428706204,31.9744,31.3831,34.0482,0.7141,0.6915,0.6186,0.04520218287170602
428706208,19.1308,18.969,20.3758,0.5458,0.5388,0.4661,0.06510896233025722
428706210,49.8856,51.1123,57.0184,0.2114,0.2114,0.2295,0.06866661880204716
428706214,18.3592,18.4252,19.2571,0.3767,0.374,0.3152,0.06579069379816853
428706218,18.5256,18.3384,20.9685,1.2675,1.2653,1.1719,0.06510896233025722
428706219,18.7789,18.6405,21.1912,0.97,0.9635,0.9128,0.06579069379816853
428706220,19.4467,19.267,22.0662,1.1053,1.0931,1.0506,0.06510896233025722
428706221,20.045,20.4435,23.0672,0.8479,0.8313,0.7904,0.06251769380643689
428706222,9.6991,12.1559,19.8449,0.0317,0.0376,0.0771,0.06411244968272661
428706224,8.8396,9.7174,13.9124,0.0595,0.0688,0.0821,0.07139750161301212
428706225,12.0128,12.377,16.2394,0.2519,0.2405,0.2341,0.0752449975094086
428706226,6.8002,7.291,8.9787,0.0822,0.0851,0.0671,0.08490398027194407
428706229,31.727,32.1783,39.1927,0.1283,0.1283,0.1554,0.04603003942056844
428706234,10.9221,11.1274,15.6577,0.1733,0.1744,0.1635,0.05463535211139932
428706235,10.9218,11.1524,13.221,0.1465,0.1471,0.1119,0.08106994029334431
428706236,17.074,17.4496,21.2733,0.2212,0.2282,0.2254,0.06544805286939072
428706237,10.8395,11.4002,15.5558,0.1823,0.1912,0.202,0.07569824722699373
428706258,14.6592,13.7937,21.0903,0.1722,0.1489,0.1778,0.043331793643939145
428706261,19.9082,20.3374,24.2953,0.0855,0.0857,0.101,0.08106994029334431
428706269,18.7525,19.065,22.9851,0.3079,0.3188,0.3093,0.05347294092237722
428706270,10.5009,10.5962,12.8046,0.078,0.081,0.0875,0.09447856694680049
428706274,17.0856,17.0264,19.2855,0.1429,0.1439,0.1442,0.07756719641593564
428706275,18.5188,18.4385,20.5868,0.1474,0.1469,0.1463,0.07903061153879146
428706276,35.0761,35.6018,40.1675,0.147,0.147,0.1622,0.0815963233535219
428706277,13.5664,13.772,15.7834,0.1169,0.1181,0.1204,0.09040079679516942
428706278,10.5218,10.7232,12.9225,0.0964,0.0969,0.1027,0.09307904275505513
428706279,16.641,17.1166,18.8367,0.1764,0.1786,0.1651,0.08433420746488306
428706280,16.6526,17.1904,18.704,0.1958,0.2029,0.1761,0.08606693785815557
428706281,18.6982,19.2632,21.008,0.2195,0.2252,0.1947,0.077091360650504
428706282,18.6868,19.3182,21.5526,0.1762,0.1838,0.181,0.0752449975094086
428706283,21.8314,22.0719,24.5157,0.1766,0.1771,0.1755,0.07139750161301212
428706284,26.8629,26.9753,30.8822,0.1478,0.1463,0.1523,0.05872006370526449
428706285,27.2454,27.19,31.0794,0.135,0.1279,0.1324,0.06251769380643689
428706286,28.1139,28.0322,32.4273,0.0921,0.089,0.0883,0.06283026644890574
428706287,30.8092,31.0596,36.7833,0.2128,0.2111,0.2421,0.06220821570931003
428706288,27.5244,27.6363,33.6651,0.1169,0.1199,0.1466,0.0595549083537657
428706289,27.1523,27.065,32.7227,0.0705,0.0726,0.0957,0.06510896233025722
428706290,27.3798,27.3602,33.7096,0.3188,0.3219,0.365,0.05660411406725943
428706291,12.932,12.7773,16.7268,0.3504,0.3481,0.386,0.09447856694680049
428706292,23.7789,23.8968,30.4463,0.9576,0.9713,1.0638,0.06648685222060789
428706293,20.8631,20.968,27.0389,0.7826,0.7974,0.8697,0.06904388481989716
428706294,18.8742,19.0852,24.7851,0.6661,0.6716,0.7325,0.06719790044098876
428706295,22.2028,22.3767,28.2987,0.9589,0.9766,1.0577,0.06942531913488556
428706296,14.8759,14.9855,19.5558,0.8008,0.8078,0.8705,0.08666044549832956
428706297,16.3461,16.4732,21.6207,1.7455,1.7597,1.8661,0.07435458803139107
428706298,22.7655,22.8767,28.3224,2.1527,2.1653,2.2597,0.06942531913488556
428706299,24.0639,24.1748,29.2771,2.0806,2.0901,2.1706,0.07435458803139107
428706300,22.9361,23.2667,28.9516,1.7274,1.7479,1.8229,0.06684048540909966
428706301,16.624,16.7988,22.0882,0.7816,0.7883,0.8432,0.07263552511680024
428706302,17.5419,17.7365,23.9703,0.1084,0.1096,0.1459,0.07221810771057427
428706303,23.4496,23.7743,29.9816,0.1347,0.137,0.1738,0.08377203058083679
428706304,17.538,17.7603,23.4319,0.0911,0.0917,0.1211,0.08377203058083679
428706305,9.2362,8.8588,8.2098,0.7408,0.7039,0.4067,0.10832258979485408
428706309,16.5448,15.9927,14.0833,2.0656,1.9657,1.2012,0.08433420746488306
428706322,17.3568,17.7041,22.2265,0.8593,0.8735,0.9434,0.08911864874469005
428706323,11.7043,12.0343,14.172,0.343,0.3524,0.2523,0.06792432131461863
428706324,28.4641,28.6489,35.1713,0.7154,0.7317,0.8014,0.0661369411690469
428706325,25.7908,26.0863,25.1089,0.868,0.8685,0.5829,0.06251769380643689
428706326,39.1245,39.5211,47.0933,0.8958,0.9099,0.9683,0.05635029433027713
428706327,21.8556,22.0845,23.0503,1.4275,1.4078,0.9433,0.049668666921834095
428706329,17.0424,16.9416,17.1894,1.5116,1.4822,0.9535,0.057118675464029094
428706331,11.7279,11.6521,12.5804,1.0995,1.0832,0.6836,0.06792432131461863
428706337,19.1375,19.7223,20.277,0.0771,0.0779,0.0693,0.07479714303071543
428706360,8.7562,8.6978,7.7531,0.4745,0.4686,0.2696,0.10739689511380088
428706362,13.3387,12.9928,10.8166,0.7467,0.7256,0.4421,0.09040079679516942
428706366,16.4454,15.7397,13.6942,0.6582,0.6263,0.4134,0.08266986501266944
428706367,23.4782,25.2408,27.5825,0.0965,0.1112,0.1247,0.08055030487456037
428706368,16.8654,16.2439,14.5367,0.5337,0.5115,0.3343,0.07139750161301212
428706369,18.037,19.6195,23.0645,0.0792,0.0987,0.1159,0.07020097205976435
428706371,12.6152,13.467,16.5253,0.0543,0.0657,0.0828,0.07853670966610296
428706372,15.0313,14.246,12.9611,0.3248,0.3107,0.1918,0.08003728818317192
428706373,17.3653,18.7607,22.5607,0.1974,0.2252,0.2322,0.0752449975094086
428706374,23.4214,22.6544,19.1124,0.3568,0.3416,0.2037,0.07059533429497317
428706424,7.0329,6.6664,6.6393,0.0561,0.0535,0.0328,0.09239471398211957
428706425,12.8821,12.2152,10.6195,0.1343,0.1288,0.0819,0.07853670966610296
428706426,12.8478,12.0787,10.5035,0.172,0.1663,0.0994,0.08666044549832956
428706430,11.1203,10.6367,9.2833,0.3873,0.3692,0.2299,0.10052442674077641
428706431,8.9651,8.583,7.9337,0.118,0.1105,0.081,0.1021587506273488
428706432,9.6957,9.5431,8.5751,0.1301,0.1313,0.081,0.09172037375316221
428706433,11.016,10.7219,9.7089,0.0241,0.024,0.026,0.08433420746488306
428706434,11.4495,11.1845,9.9308,0.0531,0.0508,0.0435,0.08321729873508964
428706435,11.6385,11.2652,9.9903,0.149,0.1423,0.0947,0.08377203058083679
428706436,21.2218,21.6971,26.1312,0.6153,0.6288,0.672,0.08490398027194407
428706437,18.5205,19.0824,23.7958,1.1222,1.1495,1.2264,0.07615699026400004
428706438,21.1542,21.8199,26.4036,1.1743,1.2056,1.2793,0.07853670966610296
428706441,9.3901,10.7671,14.524,0.366,0.43,0.4309,0.08433420746488306
428706444,6.0888,6.8972,10.4372,0.3815,0.4272,0.4245,0.08726219508235135
