detection_id,B,G,R,nB,nG,nR,Compactness
428028440,15.9639,18.6829,18.2915,0.4573,0.5457,0.4302,0.08212958633865283
428028441,17.382,20.3906,19.3943,1.1387,1.3621,1.0229,0.08377203058083679
428028442,17.5896,20.5798,19.3627,1.0524,1.2586,0.9455,0.09172037375316221
428028443,14.2153,16.582,15.7917,1.0939,1.2842,0.9635,0.10133499999681532
428028444,14.395,16.8115,16.3565,0.859,1.0146,0.7689,0.08787235948346774
428028445,18.0934,21.0922,19.7229,0.9295,1.0943,0.8332,0.08606693785815557
428028446,18.2016,21.1926,19.7503,1.0001,1.1743,0.8907,0.08666044549832956
428028447,18.544,21.721,19.8035,0.8834,1.0413,0.764,0.08606693785815557
428028448,18.2433,21.2991,19.2806,0.8588,1.0151,0.7383,0.08911864874469005
428028449,16.3908,19.0757,17.7063,0.9042,1.0655,0.7804,0.09307904275505513
428028452,5.4876,7.2346,6.7236,0.0,0.0,0.0145,0.08548150399146558
428028453,5.7897,7.8038,6.7148,0.0,0.0,0.014,0.08849111644335216
428028454,5.9067,7.9539,6.7415,0.0,0.0,0.0139,0.08911864874469005
428028455,6.257,8.4984,6.341,0.0,0.0,0.0118,0.10471236017896915
428028457,7.32,9.7629,7.0844,0.0,0.0,0.0129,0.09592081711552267
428028458,7.4283,9.9745,7.2526,0.0,0.0,0.0137,0.09040079679516942
428028504,9.4812,13.6519,15.8544,0.211,0.2882,0.2435,0.06346488289866778
428028510,12.4314,18.9485,21.8641,0.2392,0.3415,0.2885,0.04424723137071616
428028514,19.3046,29.2224,28.7194,1.23,1.8409,1.3774,0.05370144932732833
428028515,14.7072,22.8976,23.3207,1.056,1.6079,1.1888,0.05872006370526449
428028516,10.6436,16.5052,16.5957,0.495,0.7535,0.5369,0.06378702284985524
428028519,11.4405,18.9587,21.1823,0.0048,0.0097,0.0346,0.05324636892277132
428028521,6.3357,10.1775,12.1933,0.0,0.0,0.0137,0.09040079679516942
428028522,6.436,10.1807,12.0404,0.0,0.0,0.014,0.08849111644335216
428028523,6.1964,9.8532,11.8138,0.0011,0.0015,0.0156,0.08911864874469005
428028525,5.207,8.1126,10.0742,0.0033,0.0048,0.018,0.0937735836449438
428028526,5.1518,7.9247,9.6731,0.0,0.0,0.0124,0.09972671719555438
428028527,4.7823,7.99,10.0954,0.0,0.0,0.0132,0.0937735836449438
428028529,4.4057,7.715,10.0432,0.0,0.0,0.015,0.08266986501266944
428028530,2.9858,5.1411,7.5855,0.0,0.0,0.0124,0.09972671719555438
428028531,3.1634,5.4998,8.2066,0.0,0.0,0.0131,0.09447856694680049
428028532,2.584,4.4997,6.9794,0.0,0.0,0.0123,0.10052442674077641
428028533,2.5114,4.4139,6.6337,0.0,0.0,0.0116,0.10648688664370398
428028534,2.8282,4.7615,6.9822,0.0,0.0,0.0128,0.09665858053229819
428028538,3.5781,5.7383,7.5655,0.0,0.0,0.012,0.10299600257653854
428028544,15.4807,19.8083,20.6487,0.1891,0.2607,0.1761,0.04520218287170602
428028582,6.2439,9.8572,11.8039,0.328,0.5004,0.4272,0.09447856694680049
428028583,5.8338,9.0258,10.9595,0.2756,0.4161,0.3608,0.09972671719555438
428028597,4.0049,7.0042,10.0261,0.0895,0.1354,0.1313,0.09105580497377844
428028599,5.7265,9.892,13.2226,0.1689,0.2581,0.2361,0.08433420746488306
428028609,8.0772,10.4124,9.2431,0.0646,0.065,0.0151,0.08212958633865283
428028610,10.5435,13.5761,10.69,0.1056,0.1202,0.0338,0.08666044549832956
428028612,10.7303,13.7814,10.8366,0.1026,0.1161,0.0295,0.07953076456813789
428028613,10.8247,13.9119,10.7838,0.1039,0.1164,0.03,0.08106994029334431
428028614,10.3221,13.2349,10.1481,0.0916,0.101,0.024,0.08490398027194407
428028615,9.8379,12.3538,9.3805,0.0794,0.0799,0.0133,0.09816868357674101
428028616,9.9277,12.373,9.63,0.0801,0.0827,0.0134,0.09894156757337469
428028617,9.998,12.6459,9.2081,0.0816,0.0849,0.0138,0.1038470904936626
