detection_id,B,G,R,nB,nG,nR,Compactness
46245208,3.1633,3.2433,4.7426,0.0484,0.0492,0.0467,0.15904183716398032
46245215,2.7798,2.819,4.3871,0.0193,0.0197,0.0214,0.15904183716398032
46245219,2.1089,2.1845,3.4391,0.0171,0.0178,0.0215,0.2059488517353309
46245220,2.3988,2.4478,3.8505,0.0202,0.0206,0.0257,0.18751471302418415
46245221,3.5935,3.7255,5.449,0.0306,0.0322,0.0386,0.1495779344429456
46245231,2.2716,2.3241,3.8133,0.0188,0.019,0.0243,0.17695501477362918
46245254,2.6249,2.7636,4.1651,0.0267,0.0276,0.0322,0.18208192715442573
46245257,2.2514,2.3402,3.5709,0.019,0.0193,0.0239,0.2129260181386661
46245281,3.6125,3.7979,5.5874,0.3027,0.3194,0.2811,0.14610036423614817
46245282,3.2382,3.4008,5.1094,0.2666,0.2793,0.2448,0.15511613727099602
46245284,2.2342,2.3528,3.7403,0.0082,0.0099,0.0145,0.2129260181386661
46245303,6.1304,6.1505,7.7476,0.141,0.1438,0.1475,0.16108014280507627
46245304,6.1235,6.1545,7.6604,0.1714,0.1749,0.1754,0.16752101074657041
46245305,5.2579,5.3009,6.7405,0.1942,0.1978,0.1951,0.17695501477362918
46245306,5.3129,5.3632,6.8232,0.1966,0.1998,0.197,0.17449830252036147
46245307,5.2036,5.2597,6.783,0.1808,0.184,0.185,0.16752101074657041
46245308,6.4885,6.5742,8.3472,0.2312,0.2369,0.2352,0.1427807996875266
46245309,6.7141,6.7895,8.757,0.2435,0.2465,0.2501,0.1336693370934263
46245310,6.4627,6.4948,8.4112,0.2145,0.2161,0.2195,0.1396087127968195
46245311,5.9033,5.9887,8.0386,0.19,0.1938,0.1958,0.13088518977836702
46245312,5.0041,5.05,6.6756,0.2265,0.2287,0.2296,0.16317136358672749
46245324,4.1057,4.1145,5.5476,0.0198,0.0199,0.0196,0.16317136358672749
46245340,4.0069,3.9306,5.854,0.0166,0.0159,0.02,0.13657449043501094
46245342,6.2328,6.4601,7.9728,0.1518,0.1544,0.1511,0.1411769425941694
46245343,7.6524,7.788,9.2762,0.1519,0.1567,0.143,0.12821464331793822
46245344,7.4674,7.5847,9.0903,0.1347,0.1388,0.1279,0.12821464331793822
46245357,9.5939,9.8775,11.7779,0.4717,0.4801,0.3966,0.09172037375316221
46245367,4.125,4.37,5.9118,0.018,0.0205,0.0233,0.16108014280507627
46245370,3.2472,3.2702,4.9482,0.0289,0.0293,0.0332,0.15322506464696445
46245381,5.6379,5.7938,7.3212,0.1024,0.1052,0.1044,0.15322506464696445
46245382,5.2619,5.3872,6.832,0.1085,0.1117,0.1099,0.15705446369492315
46245383,4.7871,4.9199,6.3043,0.0977,0.1007,0.1003,0.16752101074657041
46245384,4.7757,4.8976,6.2674,0.1163,0.119,0.1181,0.16978395275546265
46245385,3.8291,3.9562,5.0675,0.1334,0.1381,0.1318,0.20262892686416292
