detection_id,B,G,R,nB,nG,nR,Compactness
395812757,12.9101,12.5216,15.0395,0.0465,0.0294,0.0273,0.1021587506273488
395812758,12.9239,12.5692,15.0239,0.0517,0.0335,0.0293,0.10559216905199818
395812871,32.363,31.3579,35.0324,0.1519,0.1394,0.1462,0.06251769380643689
395812908,6.9421,7.5302,11.9039,0.0,0.0,0.0219,0.05686023067241032
395813173,8.2488,8.1351,9.9452,0.4707,0.4553,0.4219,0.11634512054520679
395813174,12.5837,12.5918,15.6889,0.5966,0.5979,0.5487,0.07348500463068167
395813175,20.6905,20.9806,23.5982,0.9676,0.9817,0.8715,0.06100034753906654
395813177,13.0109,13.17,15.2033,0.7752,0.789,0.6977,0.08787235948346774
395813179,17.9778,17.9542,20.1712,1.3961,1.3848,1.2114,0.07059533429497317
395813180,19.3651,19.2046,21.3225,1.1723,1.1546,1.0052,0.06829345312829196
395813196,17.0777,17.3823,21.1321,0.1213,0.1339,0.1537,0.07348500463068167
395813197,19.3427,19.4655,24.129,0.1524,0.1577,0.1826,0.06444121395927624
395813491,8.0791,7.7509,11.0356,0.0,0.0,0.0164,0.07569824722699373
395813507,11.8992,11.769,14.0283,0.0828,0.0832,0.0856,0.07615699026400004
395813647,7.2723,6.9064,9.0531,0.0343,0.0337,0.0403,0.10052442674077641
395813656,28.4191,28.3397,33.8661,1.1477,1.1369,1.1392,0.0607056738604871
395813657,29.8172,29.9406,36.0242,1.193,1.1797,1.2268,0.0589957324588329
395813658,30.3403,30.755,37.0367,1.0506,1.0701,1.1054,0.05737948033237819
395813659,31.5963,32.2758,38.9524,1.0662,1.0957,1.1683,0.05686023067241032
395813660,31.5623,32.6051,40.1766,1.3265,1.3767,1.4717,0.05192625725187585
395813762,29.6428,30.2034,38.6036,1.1645,1.1887,1.3234,0.05279893651282317
395813763,27.2727,27.9213,36.0115,1.1584,1.1768,1.321,0.05439884443645084
395813765,23.1475,24.0695,31.6564,1.0065,1.0548,1.1838,0.05686023067241032
395813766,15.0548,15.4827,21.1576,0.9343,0.9658,1.0982,0.07059533429497317
