detection_id,B,G,R,nB,nG,nR,Compactness
429106787,14.3353,14.9232,23.9336,0.1466,0.1535,0.2412,0.07804894248762141
429106788,17.3799,18.4872,28.9822,0.2205,0.2367,0.3602,0.07139750161301212
429106789,18.6759,19.7785,31.0722,0.2032,0.2182,0.3431,0.06829345312829196
429106800,28.4089,29.4845,47.6334,0.3748,0.4043,0.6179,0.04986575853700407
429106802,26.7769,27.544,45.0349,0.353,0.3721,0.5647,0.05192625725187585
429106808,7.9536,8.0881,14.9499,0.0983,0.1009,0.1588,0.09040079679516942
429106812,6.5861,7.1752,14.9975,0.5329,0.5689,0.8176,0.06346488289866778
429106818,17.8672,16.7906,27.5696,0.3898,0.3656,0.5323,0.06251769380643689
429106819,25.7271,23.9092,31.2276,0.4716,0.425,0.5085,0.07139750161301212
429106820,15.3011,14.1766,23.3128,0.2809,0.2559,0.3811,0.07348500463068167
429106822,16.8011,16.3994,28.3214,0.3636,0.3542,0.5318,0.04986575853700407
429106827,19.9074,18.3165,17.2606,0.153,0.1376,0.121,0.10648688664370398
429106829,18.8818,17.1066,16.3616,0.1731,0.1517,0.1264,0.10133499999681532
429106831,20.9217,18.707,17.4583,0.2451,0.2127,0.1685,0.10832258979485408
429106835,22.7536,20.1526,18.9307,0.2821,0.2444,0.1926,0.1038470904936626
429106888,22.2603,19.7248,18.5612,0.2725,0.2355,0.1885,0.10559216905199818
429106894,31.5733,28.1006,27.6808,0.4561,0.3979,0.3378,0.07099415216660818
429106895,19.0838,16.9916,16.2416,0.238,0.208,0.1667,0.11527791973048969
429106896,7.9054,8.2071,14.5717,0.1274,0.1273,0.1981,0.11423011752805243
429106897,20.9229,18.8115,17.8142,0.2303,0.2009,0.1635,0.11022268844923072
429106898,7.8138,7.9911,13.9491,0.1025,0.1052,0.165,0.11634512054520679
429106899,70.6218,67.7715,64.1922,0.4252,0.3978,0.3802,0.04706439330664793
429106902,41.2112,44.6686,72.0728,1.3366,1.5197,2.2963,0.043784728166320654
429106934,9.7457,10.5007,17.1389,0.0502,0.0615,0.1225,0.09239471398211957
429106988,19.2522,17.1371,18.7809,0.2219,0.1955,0.1814,0.08321729873508964
429106989,20.2904,18.0849,19.5093,0.231,0.2064,0.1867,0.08321729873508964
429106990,21.0988,18.8581,20.3229,0.2354,0.2077,0.1874,0.07903061153879146
429106991,24.4378,21.8635,23.3931,0.2658,0.2339,0.211,0.07263552511680024
429106992,24.9013,22.3325,23.9364,0.2816,0.2457,0.2164,0.06719790044098876
429107022,35.0273,31.2152,35.9026,1.0498,0.9201,0.8561,0.04106612917780369
429107023,30.008,26.6488,29.6509,1.2694,1.1214,1.0257,0.05844695914181379
429107088,23.4118,21.3934,25.1939,0.3614,0.3221,0.3213,0.06684048540909966
429107091,8.2584,8.365,13.02,0.2955,0.2995,0.3621,0.09172037375316221
