detection_id,B,G,R,nB,nG,nR,Compactness
432644926,5.2769,6.1879,10.1083,0.0615,0.0778,0.1088,0.10559216905199818
432644927,2.1635,2.7022,6.6001,0.0266,0.0288,0.0444,0.10739689511380088
432644928,6.0555,7.2532,11.4796,0.0845,0.1094,0.1527,0.10559216905199818
432644933,1.7863,2.483,6.245,0.0286,0.031,0.0455,0.11022268844923072
432644939,8.7931,10.0738,12.7526,0.1057,0.1329,0.1602,0.09665858053229819
432644941,6.4162,7.6424,10.6243,0.1002,0.1271,0.1466,0.1132011898318306
432644942,6.0534,7.1953,10.2941,0.1219,0.1462,0.1618,0.11119795425652645
432644950,6.8135,7.9658,10.5696,0.1464,0.1807,0.1991,0.11219063124580061
432644951,6.3846,7.5942,10.4224,0.1214,0.1495,0.1691,0.11119795425652645
432644952,6.2352,7.4416,10.3378,0.1016,0.1238,0.1458,0.10832258979485408
432644953,6.1732,7.4163,10.2173,0.0796,0.0984,0.1196,0.10739689511380088
432644954,6.1373,7.3352,10.2061,0.1209,0.1549,0.1908,0.10739689511380088
432644955,6.2089,7.3986,10.2108,0.1065,0.1336,0.1623,0.10926437976474195
432644956,6.7312,7.889,10.6811,0.1156,0.1464,0.1684,0.10926437976474195
432644957,6.5426,7.697,10.7571,0.0987,0.1238,0.1359,0.09665858053229819
432644958,6.5894,7.7308,10.7542,0.1049,0.1312,0.1531,0.09740778003073822
432644959,6.8389,7.9284,10.536,0.1284,0.155,0.1715,0.11219063124580061
432644960,6.6254,7.5465,10.5613,0.1019,0.1203,0.1326,0.10052442674077641
432644961,6.8063,7.7911,10.4368,0.0834,0.103,0.1146,0.11527791973048969
432644962,6.8577,7.8577,10.5869,0.0834,0.1007,0.1117,0.11527791973048969
432644963,6.7732,7.7718,10.471,0.0933,0.1124,0.1261,0.11423011752805243
432644964,6.7121,7.7246,10.3425,0.1039,0.1292,0.1473,0.11423011752805243
432644965,6.7288,7.739,10.4348,0.1024,0.1257,0.1413,0.11423011752805243
432644966,12.5277,12.8602,11.4673,0.2756,0.2808,0.1891,0.1132011898318306
