detection_id,B,G,R,nB,nG,nR,Compactness
428784394,31.5893,28.0825,31.0904,0.8424,0.7317,0.7305,0.07903061153879146
428784398,19.2552,17.3845,21.1015,0.6316,0.558,0.5569,0.07479714303071543
428784399,17.4289,15.2054,17.8609,1.3306,1.1554,1.1242,0.09972671719555438
428784400,17.048,16.2009,18.4969,0.8329,0.8053,0.7721,0.09592081711552267
428784401,20.5773,19.8191,21.7651,0.3442,0.3355,0.3357,0.09816868357674101
428784402,9.7413,9.6098,14.3593,0.09,0.0894,0.1197,0.08849111644335216
428784406,47.2446,45.3366,47.5425,0.1869,0.1869,0.2093,0.05560231145909046
428784407,17.8241,17.7254,20.2962,0.3123,0.3121,0.3088,0.08212958633865283
428784408,10.1675,9.8429,14.6236,0.0784,0.075,0.1051,0.09040079679516942
428784410,14.4668,14.3344,16.8827,0.5004,0.4955,0.4713,0.08975514439115811
428784411,9.2144,8.8828,13.5569,0.08,0.0765,0.1062,0.08911864874469005
428784412,20.2479,19.5608,21.5045,0.0802,0.0802,0.0941,0.08911864874469005
428784415,36.9079,35.7884,37.5467,0.1459,0.1459,0.1633,0.07139750161301212
428784417,17.5057,17.1027,23.8098,0.2458,0.2442,0.3054,0.07020097205976435
428784418,36.2928,35.1581,36.9383,0.1437,0.1437,0.1614,0.07020097205976435
428784419,20.2409,18.2102,23.7517,0.0967,0.0681,0.0948,0.06981099120988524
428784420,21.8027,20.9474,25.2464,0.8595,0.82,0.8102,0.06411244968272661
428784421,13.7163,13.8483,19.5995,0.1693,0.1688,0.2147,0.07615699026400004
428784422,20.9338,20.0927,22.7504,0.0831,0.0831,0.0997,0.07479714303071543
428784423,16.5303,15.6354,19.0035,0.9541,0.9138,0.9166,0.08212958633865283
428784433,24.0238,22.6383,24.8847,0.0954,0.0954,0.1106,0.0815963233535219
428784436,24.2417,22.757,24.9648,0.0963,0.0963,0.111,0.08433420746488306
428784440,20.9816,19.5634,22.1225,0.0832,0.0832,0.098,0.08377203058083679
428784441,20.9072,19.5222,22.0695,0.083,0.083,0.0978,0.08377203058083679
428784442,21.3698,19.8829,22.5036,0.0847,0.0847,0.1006,0.07804894248762141
428784443,20.4322,19.0409,21.3711,0.081,0.081,0.0957,0.08433420746488306
428784445,20.2428,18.6872,21.1254,0.08,0.08,0.0947,0.08433420746488306
428784446,20.2076,18.6851,21.0994,0.0799,0.0799,0.0946,0.08433420746488306
428784447,19.8464,18.3623,20.9216,0.0785,0.0785,0.0936,0.08212958633865283
428784453,20.1473,18.8595,21.3221,0.0798,0.0798,0.0945,0.08433420746488306
428784454,20.0851,18.8074,21.2381,0.0798,0.0798,0.0945,0.08433420746488306
428784455,20.1537,18.9845,21.201,0.08,0.08,0.0941,0.08787235948346774
428784456,20.0657,18.8674,21.1772,0.0798,0.0798,0.0942,0.08606693785815557
428784457,19.9515,18.7449,21.0719,0.0793,0.0793,0.0936,0.08666044549832956
428784458,19.9676,18.7383,21.0844,0.0793,0.0793,0.0936,0.08666044549832956
428784473,7.3369,6.976,13.4704,0.0202,0.0187,0.0429,0.06544805286939072
428784480,5.0335,4.9765,9.377,0.0074,0.0077,0.0231,0.08911864874469005
428784481,17.4355,17.1111,26.1114,0.8044,0.8135,0.9859,0.0539319190680174
428784482,20.5123,20.131,29.8494,1.5413,1.5769,1.865,0.0541643755046309
428784483,23.351,23.221,33.5576,2.4278,2.4712,2.8938,0.051500646728563054
428784484,23.9422,23.7243,37.0236,1.2094,1.2181,1.4644,0.037288603279215585
428784487,18.2779,18.8576,30.0234,0.7081,0.7468,0.9611,0.05046653131091824
428784488,15.9256,16.4286,26.1712,0.5311,0.5616,0.7175,0.05584942297118333
428784491,7.026,7.4629,12.7568,0.1664,0.1757,0.2519,0.10471236017896915
428784525,19.4181,19.8102,25.8778,0.2274,0.2283,0.2877,0.08975514439115811
428784526,25.6019,26.2482,34.2809,0.4668,0.4729,0.5584,0.06444121395927624
428784527,42.7041,42.3547,55.5622,1.0552,1.0665,1.2358,0.038428906335077825
428784530,15.3002,12.9571,15.7188,0.3641,0.3084,0.3096,0.09972671719555438
428784531,17.4119,14.635,17.2225,0.1499,0.1162,0.1212,0.1021587506273488
428784533,20.8056,17.6636,20.3052,0.1343,0.1009,0.1064,0.09447856694680049
428784534,14.5337,14.7776,21.1884,0.241,0.2463,0.32,0.08666044549832956
428784536,14.3597,14.9526,21.9179,0.2317,0.2414,0.3262,0.07804894248762141
428784538,24.7046,21.1274,23.903,0.1365,0.0813,0.0907,0.08055030487456037
428784539,22.055,18.7013,21.4898,0.118,0.0544,0.0624,0.08266986501266944
428784540,19.0169,15.9095,18.7819,0.1753,0.121,0.1249,0.08726219508235135
428784542,14.8068,12.4593,15.4522,0.1433,0.1,0.1089,0.08911864874469005
428784544,28.0993,25.0205,30.912,0.5088,0.44,0.4918,0.05487392523583279
428784551,17.3319,15.171,20.4202,0.196,0.1572,0.1742,0.05535737701133239
428784553,26.3617,23.1065,30.3017,0.5274,0.4481,0.4823,0.04318289069619264
428784555,30.0972,26.5205,35.8688,0.6057,0.5119,0.5702,0.037068615393710314
428784569,8.9149,7.247,10.6615,0.3208,0.2501,0.2761,0.10648688664370398
428784570,9.6535,7.8289,11.4034,0.3688,0.2869,0.3177,0.10299600257653854
428784571,6.464,7.2549,10.6375,0.1309,0.1499,0.1662,0.10832258979485408
428784572,10.8952,8.9589,12.3766,0.3507,0.2791,0.3077,0.10926437976474195
428784577,13.1969,10.7572,14.7119,0.393,0.3119,0.3417,0.09592081711552267
428784579,14.751,12.0344,16.3869,0.4452,0.3534,0.3804,0.08726219508235135
428784580,9.2675,8.4302,13.8979,0.1287,0.1135,0.1557,0.09040079679516942
428784581,15.6203,12.7263,17.2267,0.6214,0.4828,0.5325,0.08666044549832956
428784582,15.437,12.5869,17.1088,0.589,0.4616,0.5078,0.08490398027194407
428784583,14.5492,12.0743,16.3963,0.5359,0.422,0.4638,0.08548150399146558
428784584,12.9739,10.8199,14.7798,0.4357,0.348,0.3743,0.08787235948346774
428784585,11.0239,9.2559,12.8367,0.2707,0.2144,0.2349,0.09447856694680049
428784586,7.4658,7.4333,11.8453,0.086,0.0904,0.1136,0.09740778003073822
428784587,21.8465,17.8098,24.0233,1.2588,0.9721,1.0283,0.05535737701133239
428784588,21.067,19.2678,29.4699,0.7726,0.6815,0.8807,0.04393781784522013
428784589,29.4556,23.8978,32.4825,1.3821,1.0742,1.1368,0.04001988008125082
428784596,14.2641,12.1866,19.1303,0.8464,0.6761,0.8549,0.07263552511680024
428784598,9.5159,7.7939,11.5948,0.2833,0.225,0.2495,0.09105580497377844
428784599,10.5252,8.7026,15.4108,0.3488,0.2758,0.3145,0.05006442052760694
428784600,13.8784,11.2556,17.9898,0.6612,0.5111,0.5636,0.050875153686925724
428784601,11.1723,11.4484,16.4338,0.3567,0.3613,0.4126,0.0752449975094086
428784602,11.1101,9.1971,13.695,0.2688,0.2168,0.2464,0.07953076456813789
428784603,11.3402,11.66,17.8391,0.3876,0.3966,0.4413,0.05764267775279962
428784613,25.9953,26.6557,36.4741,1.3319,1.3614,1.5073,0.04409198179755562
428784614,23.55,23.9067,32.4506,1.0244,1.0276,1.1339,0.051500646728563054
428784615,20.7558,20.9577,29.3258,0.9338,0.9254,1.0366,0.0541643755046309
428784616,22.5016,23.0781,32.8973,0.6968,0.7127,0.8244,0.04569528448132631
428784640,12.9016,11.6984,15.7742,0.1462,0.1371,0.1567,0.08212958633865283
428784646,11.101,10.2351,15.6704,0.2791,0.2569,0.279,0.05844695914181379
428784647,3.4473,2.7496,8.6487,0.0,0.0,0.0234,0.05324636892277132
428784648,6.1303,5.278,11.5196,0.0,0.0,0.0217,0.05737948033237819
428784662,5.7959,5.3774,10.8229,0.0693,0.0693,0.0987,0.07435458803139107
428784666,3.8596,3.5593,8.1754,0.0015,0.0016,0.0167,0.08433420746488306
428784669,4.1518,3.8642,9.7299,0.017,0.0176,0.0401,0.06346488289866778
428784673,3.7659,3.4795,8.2121,0.0004,0.0005,0.019,0.07569824722699373
428784674,3.4708,3.1286,7.3514,0.006,0.0056,0.0224,0.08490398027194407
428784675,5.9751,5.781,13.2699,0.138,0.1327,0.1853,0.05511459098459456
428784678,11.9698,9.8289,14.3467,0.1821,0.1349,0.1715,0.09105580497377844
428784679,12.0134,9.8931,14.1625,0.1427,0.1084,0.1399,0.09816868357674101
428784680,12.1362,10.0045,14.2257,0.1292,0.099,0.127,0.09894156757337469
428784681,11.5723,9.5589,13.3997,0.1271,0.0905,0.1214,0.11119795425652645
428784682,11.611,9.5569,13.4967,0.1119,0.076,0.105,0.10926437976474195
428784683,11.9014,9.7985,13.8497,0.108,0.0726,0.1016,0.10471236017896915
428784719,10.7015,10.7262,15.6183,0.2072,0.2049,0.2171,0.06012478543760053
428784743,7.6388,7.8527,13.656,0.1384,0.1479,0.1744,0.05635029433027713
428784744,7.5976,7.8843,12.9105,0.1521,0.1568,0.1801,0.06378702284985524
428784746,12.3298,11.6237,16.2293,0.3921,0.3725,0.3597,0.058176383157876974
428784747,15.8749,16.2922,20.0849,0.2161,0.2229,0.2264,0.05660411406725943
428784749,10.6356,9.6069,13.5074,0.0893,0.0776,0.0954,0.09105580497377844
428784750,11.0394,10.337,14.4956,0.144,0.1287,0.1474,0.07953076456813789
428784751,12.7426,13.2608,16.2563,0.1304,0.1354,0.1364,0.0752449975094086
428784753,21.1768,19.9751,25.1752,0.5258,0.4876,0.5,0.06100034753906654
428784754,21.799,22.6887,27.217,0.5274,0.5436,0.562,0.06129789587454133
428784755,24.3439,25.3536,30.9442,0.5877,0.6044,0.615,0.047419586082077345
428784757,16.5746,16.9061,21.8012,0.453,0.4825,0.5121,0.06100034753906654
428784759,10.0532,10.7074,16.4388,0.33,0.3576,0.3994,0.0661369411690469
428784761,7.9888,8.2259,11.9548,0.3643,0.3804,0.4145,0.09105580497377844
428784765,10.5013,8.4741,11.4385,0.4513,0.3486,0.3789,0.11527791973048969
428784768,13.2106,10.7657,13.557,0.4343,0.3379,0.348,0.10559216905199818
428784769,15.1307,12.2838,15.4163,0.4331,0.3322,0.3463,0.09307904275505513
428784770,16.0939,13.0971,16.1656,0.3551,0.2683,0.2819,0.09307904275505513
428784771,15.757,12.8579,15.7595,0.3673,0.2782,0.2883,0.09447856694680049
428784772,16.4356,13.2054,16.1792,0.2777,0.1981,0.2097,0.09519422993221213
428784773,16.4498,13.3032,16.3426,0.1979,0.1389,0.1489,0.09105580497377844
428784774,16.8506,13.8275,16.4585,0.1917,0.1404,0.1483,0.0937735836449438
428784775,16.3041,13.4613,15.957,0.1769,0.1304,0.1354,0.09519422993221213
428784776,16.4003,13.5546,16.1786,0.1707,0.127,0.1323,0.09239471398211957
428784777,16.1582,13.4378,15.9545,0.1568,0.1138,0.1189,0.09447856694680049
428784778,15.6187,12.9816,15.6113,0.1924,0.1411,0.1447,0.09307904275505513
428784779,13.3023,11.0932,13.4031,0.1412,0.0992,0.1006,0.1038470904936626
428784780,15.886,13.313,15.5286,0.196,0.163,0.1653,0.11119795425652645
428784781,16.7225,14.0005,16.3167,0.2068,0.1713,0.1734,0.10559216905199818
428784782,17.3255,14.4725,16.9432,0.3266,0.2731,0.2701,0.10133499999681532
428784783,16.9916,14.2551,16.5454,0.2306,0.193,0.193,0.10133499999681532
428784784,17.0866,14.3494,16.5723,0.2602,0.2178,0.2133,0.09816868357674101
428784785,16.6945,14.04,16.2457,0.2046,0.1709,0.1689,0.09894156757337469
428784786,16.5102,13.8751,16.0952,0.2216,0.1847,0.1829,0.09972671719555438
428784787,16.2141,13.6257,15.93,0.2151,0.1802,0.1786,0.09816868357674101
428784788,15.7223,13.2407,15.4705,0.2897,0.244,0.2368,0.10133499999681532
428784791,20.4505,17.1745,19.3923,0.5217,0.4367,0.4234,0.09894156757337469
428784792,20.6893,17.3579,19.6766,0.6356,0.5327,0.5137,0.09665858053229819
428784793,21.3186,17.9116,20.368,0.6856,0.5773,0.555,0.09239471398211957
428784795,21.7516,18.2404,20.6642,0.5522,0.4617,0.4469,0.0937735836449438
428784796,21.7339,18.2297,20.7253,0.7929,0.6659,0.6474,0.0937735836449438
428784797,21.8315,18.3186,20.7879,0.694,0.5814,0.5671,0.0937735836449438
428784798,22.0585,18.4787,21.1504,0.6884,0.5766,0.5675,0.09239471398211957
428784799,22.3861,18.7755,21.4735,0.6913,0.578,0.5702,0.09040079679516942
428784802,23.265,19.5025,22.6686,1.0597,0.8821,0.8827,0.08787235948346774
428784804,22.9884,19.4261,22.6074,1.2107,1.0151,1.0101,0.08787235948346774
428784805,22.6817,19.1793,22.3923,1.1687,0.9799,0.9793,0.08849111644335216
428784806,22.3106,18.8061,22.0568,0.9371,0.783,0.7839,0.08849111644335216
428784807,22.1092,18.689,21.8574,0.908,0.7602,0.7606,0.08975514439115811
