detection_id,B,G,R,nB,nG,nR,Compactness
72577971,6.399,9.874,25.4978,0.0322,0.0767,0.2497,0.06981099120988524
72577975,10.4251,21.0906,37.8528,0.2405,0.354,0.7185,0.05737948033237819
72577977,7.5484,30.8177,14.1592,0.1218,0.2556,0.1254,0.050670018704328156
72577979,8.6291,30.219,37.8569,0.3021,0.4831,0.8578,0.03762352482182404
72578030,0.6653,3.0895,3.3135,0.0091,0.0402,0.0199,0.11312319225889175
72578032,4.0817,4.612,5.7867,0.1804,0.1816,0.1466,0.12081909724428652
72578034,1.6836,4.7357,5.0342,0.0231,0.0765,0.0536,0.12081909724428652
72578035,2.9644,3.1276,4.7076,0.1042,0.104,0.0904,0.13226261511265314
72578041,2.6545,2.6605,4.3124,0.1717,0.166,0.1397,0.1396087127968195
72578047,1.5493,1.6923,2.6938,0.0982,0.0993,0.0835,0.2129260181386661
72578055,4.0516,3.9243,5.4673,0.1448,0.14,0.1207,0.1396087127968195
72578058,3.0345,5.5364,5.8271,0.0257,0.068,0.0456,0.1411769425941694
72578060,3.6352,3.5944,5.1802,0.1125,0.1118,0.1,0.1396087127968195
72578064,3.3496,6.3026,6.72,0.031,0.0704,0.0529,0.12318763468639518
72578066,5.0012,4.8009,6.3158,0.2044,0.1974,0.1685,0.1411769425941694
72578071,2.0821,3.8174,4.8553,0.0132,0.0286,0.0265,0.1411769425941694
72578079,2.3286,4.0991,4.9234,0.0138,0.0293,0.0268,0.1427807996875266
72578177,5.178,4.7459,6.4654,0.0701,0.0646,0.0658,0.1396087127968195
72578496,4.423,4.1853,4.8307,0.138,0.1302,0.1039,0.1721088567938853
72578546,7.4327,7.2052,6.8102,0.1946,0.1898,0.125,0.13807493637999585
72578548,6.2132,5.8583,5.7491,0.0632,0.0587,0.0428,0.1396087127968195
72578572,4.1408,3.8746,4.9979,0.1741,0.1587,0.1395,0.16752101074657041
72578622,4.228,4.3965,4.6025,0.0364,0.0422,0.0251,0.1351063003197879
72578626,3.0412,3.1798,4.0409,0.0179,0.0246,0.0159,0.1336693370934263
72578630,2.2153,2.2882,3.2672,0.0258,0.0261,0.0205,0.18208192715442573
72578634,2.0505,2.0973,3.2698,0.0606,0.059,0.0521,0.18751471302418415
72578638,1.9993,2.0411,3.1654,0.0515,0.0476,0.0414,0.18751471302418415
72578643,1.9603,1.9842,2.8431,0.0312,0.0309,0.0241,0.224325293611701
72578783,1.8554,2.008,2.3436,0.0135,0.0138,0.0082,0.20262892686416292
72578952,1.635,1.7017,2.8528,0.0764,0.0774,0.0657,0.21659487670178934
72578954,2.6034,2.5047,3.4428,0.0356,0.0339,0.0311,0.22039234176969208
72579010,7.6456,7.558,10.0087,0.0665,0.0646,0.0498,0.08726219508235135
72579018,3.1636,2.988,4.7882,0.0525,0.0494,0.0486,0.14442151192814084
72579030,4.029,3.982,4.4006,0.1238,0.121,0.0854,0.17449830252036147
72579034,5.3144,5.3822,6.075,0.1648,0.1696,0.1146,0.13807493637999585
72579050,5.2167,5.7177,7.9638,0.2367,0.2608,0.2649,0.1396087127968195
72579094,3.9204,3.7942,5.2307,0.0595,0.056,0.0476,0.13226261511265314
72579160,2.2696,2.483,4.4931,0.0132,0.0162,0.0283,0.19328157927359077
