detection_id,B,G,R,nB,nG,nR,Compactness
432392024,10.6534,13.8814,17.7658,0.1813,0.2464,0.2521,0.077091360650504
432392027,15.3393,18.8633,25.1345,0.3427,0.4401,0.492,0.06220821570931003
432392031,20.5808,23.3896,29.8834,0.3528,0.416,0.4257,0.04393781784522013
432392033,12.319,14.1442,19.3024,0.2071,0.244,0.2743,0.06942531913488556
432392034,10.1988,12.8705,17.074,0.2641,0.3395,0.3548,0.07662132709270902
432392039,13.8876,16.743,21.8809,0.3208,0.4009,0.416,0.06159836113714365
432392040,13.6973,16.8391,20.7005,0.2922,0.3753,0.375,0.06981099120988524
432392044,10.6389,13.2302,18.0178,0.2085,0.2818,0.3069,0.07180546030797123
432392045,11.5381,14.3421,18.8983,0.2479,0.3184,0.3372,0.07221810771057427
432392047,9.9248,12.9094,16.6058,0.1493,0.2112,0.2278,0.08606693785815557
432392048,10.9922,13.7569,17.7306,0.2373,0.3069,0.3212,0.07804894248762141
432392049,11.123,13.9529,17.9845,0.2096,0.2816,0.2878,0.07391723900466864
432392052,9.3881,12.3731,17.1967,0.1688,0.2292,0.2504,0.06866661880204716
432392053,10.4878,13.0251,17.7455,0.2299,0.2928,0.3212,0.07099415216660818
432392054,12.2639,15.3374,20.8768,0.2093,0.2775,0.3003,0.057118675464029094
432392055,10.1647,13.0092,17.2645,0.2461,0.3249,0.3425,0.07615699026400004
432392056,10.6054,13.0584,17.7695,0.1528,0.1984,0.2228,0.07391723900466864
432392058,11.052,13.7997,18.3074,0.1667,0.217,0.2397,0.07615699026400004
432392059,10.8356,13.6276,18.4797,0.206,0.2713,0.2941,0.06981099120988524
432392060,12.0439,14.6113,18.8224,0.1783,0.2321,0.2482,0.07479714303071543
432392061,11.9015,14.3327,18.4306,0.2158,0.2706,0.293,0.08433420746488306
432392063,10.7286,12.8775,16.7848,0.2074,0.2555,0.2828,0.08726219508235135
432392065,28.3965,33.0614,35.7883,0.5686,0.6925,0.6638,0.06190178642991358
432392066,29.6518,35.2979,37.7499,0.7627,0.9258,0.8512,0.058176383157876974
432392067,34.2254,38.9679,42.3169,0.6213,0.7275,0.6966,0.056098740702361524
432392068,23.3081,27.2892,30.8159,0.4005,0.486,0.4696,0.06220821570931003
432392070,10.5309,11.6721,13.6073,0.1815,0.1972,0.187,0.10299600257653854
432392076,10.8054,13.0648,15.1261,0.1772,0.2193,0.1922,0.09172037375316221
432392077,11.8745,13.8408,15.5486,0.2262,0.2641,0.2503,0.08433420746488306
432392078,12.048,14.9912,16.6073,0.2011,0.2761,0.2682,0.08849111644335216
432392084,0.5727,0.8031,6.101,0.0151,0.021,0.0663,0.06510896233025722
432392085,0.4144,0.625,5.1043,0.0037,0.0007,0.0563,0.08490398027194407
432392091,0.0875,0.198,5.0948,0.0082,0.0004,0.0306,0.0675591583065621
432392092,8.2557,11.2422,12.8526,0.1173,0.1756,0.1356,0.07099415216660818
432392093,12.6284,18.8133,22.0557,0.2452,0.4144,0.3298,0.0430350075951413
432392098,13.1841,18.8808,19.8575,0.3057,0.4643,0.3878,0.07804894248762141
432392099,12.8929,17.5954,19.0539,0.238,0.3557,0.3061,0.07569824722699373
432392100,13.4634,18.2139,19.3554,0.2981,0.4308,0.3648,0.07953076456813789
432392101,15.658,20.9897,21.8224,0.2286,0.3281,0.2851,0.07569824722699373
432392102,7.9103,14.0755,14.4507,0.3899,0.6784,0.5072,0.07756719641593564
432392103,4.2222,7.9437,8.9302,0.1059,0.1852,0.153,0.10559216905199818
432392104,4.4236,8.0457,9.0383,0.1682,0.2915,0.2273,0.10559216905199818
432392107,6.423,11.0074,11.6837,0.1507,0.2616,0.2111,0.09447856694680049
432392109,6.4749,11.0811,11.6151,0.2702,0.4634,0.3598,0.09740778003073822
432392114,6.5791,11.6294,13.0084,0.2269,0.3873,0.2949,0.07569824722699373
432392115,10.2829,17.38,18.248,0.2598,0.4502,0.3467,0.06719790044098876
432392117,10.0264,16.9562,16.8561,0.2663,0.4612,0.3605,0.08266986501266944
432392118,8.0252,13.7572,14.4381,0.3053,0.5313,0.4097,0.0815963233535219
432392119,13.8973,21.8887,21.2664,0.1269,0.2639,0.1962,0.07662132709270902
432392120,20.0377,25.5651,25.5515,0.2559,0.3479,0.2917,0.07435458803139107
432392121,8.5423,12.5883,14.5563,0.2039,0.2979,0.2387,0.06378702284985524
432392122,5.52,7.9851,12.196,0.1217,0.1837,0.189,0.06684048540909966
432392128,18.2066,21.0109,21.5194,0.1631,0.2049,0.1797,0.09894156757337469
432392129,19.9038,22.4179,22.6445,0.2442,0.2964,0.2498,0.08787235948346774
432392130,17.7352,19.8455,20.6066,0.204,0.2453,0.2128,0.09172037375316221
432392131,11.8707,11.0427,13.4131,0.2316,0.2121,0.2179,0.11119795425652645
432392132,17.9845,16.9207,19.975,0.4524,0.4367,0.4245,0.08212958633865283
432392133,18.1821,17.186,20.0529,0.5544,0.553,0.5354,0.08106994029334431
432392134,12.4974,11.8146,14.5835,0.3069,0.2707,0.2646,0.08548150399146558
432392137,15.0007,14.0898,17.4171,0.2728,0.25,0.2437,0.07569824722699373
432392144,26.4631,27.6403,30.8788,0.4289,0.479,0.4569,0.06444121395927624
432392146,33.3995,35.2412,39.2756,0.6136,0.7064,0.6801,0.05535737701133239
432392150,13.1201,17.8687,18.0556,0.1564,0.2386,0.1874,0.09040079679516942
432392156,1.0947,1.6786,5.7217,0.0088,0.0242,0.0258,0.08548150399146558
432392161,0.1814,0.4654,4.1977,0.0055,0.0022,0.0405,0.08726219508235135
432392163,0.1888,0.4146,4.1053,0.0068,0.0035,0.0264,0.08726219508235135
432392164,0.2103,0.4244,3.6216,0.0034,0.0039,0.0179,0.09972671719555438
432392166,0.4111,0.5962,4.5249,0.0124,0.0135,0.0449,0.08433420746488306
432392167,0.6258,0.8119,4.8058,0.0087,0.0074,0.0358,0.08377203058083679
432392169,0.6396,0.7986,4.5942,0.021,0.0102,0.036,0.08726219508235135
432392170,0.5313,0.7736,4.73,0.012,0.0028,0.0297,0.08321729873508964
432392171,0.6317,0.8627,4.9049,0.0126,0.0059,0.0291,0.08106994029334431
432392172,0.7524,1.0595,5.6895,0.0121,0.0039,0.0299,0.07020097205976435
432392173,0.3648,0.542,5.3787,0.0084,0.0035,0.0348,0.06904388481989716
432392174,0.4489,0.6484,5.177,0.005,0.0046,0.0362,0.07391723900466864
432392175,0.4575,0.6497,5.2325,0.0036,0.0014,0.0382,0.07435458803139107
432392176,0.5008,0.7074,4.9996,0.0043,0.0012,0.0363,0.07903061153879146
432392177,0.5463,0.7338,4.9486,0.0032,0.0035,0.0384,0.08003728818317192
432392178,0.429,0.5867,4.2752,0.0095,0.0095,0.0361,0.08975514439115811
432392179,0.6035,1.1689,4.1658,0.0041,0.0032,0.0253,0.11119795425652645
432392180,0.5222,1.115,4.2836,0.0017,0.0031,0.0286,0.10471236017896915
432392181,0.3196,0.7345,4.4154,0.0053,0.0089,0.0447,0.09040079679516942
432392182,0.2622,0.5995,4.3938,0.0047,0.0083,0.0328,0.08490398027194407
432392183,0.2756,0.547,4.723,0.0061,0.0056,0.0382,0.077091360650504
432392184,0.2305,0.4333,5.157,0.0066,0.0116,0.0331,0.06719790044098876
432392190,12.6504,16.8309,16.6995,0.2012,0.2856,0.2372,0.09972671719555438
432392191,14.4205,19.0626,18.0563,0.1834,0.2733,0.2115,0.1038470904936626
432392192,19.3647,26.9065,24.5304,0.4704,0.6831,0.5206,0.08377203058083679
432392194,11.2568,16.9157,15.8702,0.3221,0.5116,0.3352,0.06940774073705513
432392195,13.5735,20.4131,18.3534,0.2878,0.4799,0.3122,0.0686496172451103
432392196,13.8001,20.3391,17.5272,0.2858,0.4591,0.3092,0.0937735836449438
432392197,10.7432,15.5504,13.7899,0.1873,0.2984,0.2102,0.11022268844923072
432392198,10.5785,15.6895,14.4113,0.2835,0.4422,0.3197,0.10739689511380088
432392199,9.8431,13.9961,13.4974,0.2053,0.3136,0.236,0.10832258979485408
432392200,17.6737,22.0867,21.653,0.1959,0.2623,0.2167,0.09592081711552267
432392202,8.7482,7.8475,8.8746,0.1227,0.1013,0.0856,0.09447856694680049
432392205,9.8387,9.9509,10.6914,0.1283,0.1087,0.0921,0.08548150399146558
432392206,10.0064,9.9151,10.5767,0.1189,0.0947,0.0802,0.08911864874469005
432392207,9.3349,9.8417,10.4778,0.1064,0.0956,0.0795,0.08433420746488306
432392208,10.7265,11.6096,11.8283,0.1255,0.1196,0.0946,0.07903061153879146
432392209,12.1974,13.343,13.2338,0.1368,0.1255,0.0962,0.07391723900466864
432392210,12.3737,13.4186,13.3933,0.1518,0.1385,0.1101,0.07348500463068167
432392212,15.2452,18.1249,16.6394,0.2205,0.2591,0.1767,0.06444121395927624
432392213,16.3679,20.3782,17.4749,0.2145,0.2423,0.1695,0.06346488289866778
432392215,17.391,22.8584,19.6457,0.3075,0.4086,0.2534,0.059274001684944774
432392219,2.9844,4.0646,11.7261,0.0201,0.0255,0.0475,0.07853670966610296
432392220,2.397,3.5821,11.5139,0.0059,0.0071,0.031,0.07756719641593564
