detection_id,B,G,R,nB,nG,nR,Compactness
432298612,5.6581,4.2763,6.7604,0.034,0.0263,0.035,0.19328157927359077
432298613,5.3825,4.0807,6.5433,0.0289,0.0228,0.0317,0.1903544897796419
432298614,5.4453,4.085,6.514,0.0407,0.029,0.0399,0.1963000700655754
432298615,5.2272,3.9371,6.3193,0.0316,0.0248,0.0336,0.1963000700655754
432298616,5.5139,4.0925,6.5676,0.0317,0.0246,0.0342,0.19328157927359077
432298617,5.5457,4.1283,6.5901,0.0319,0.0245,0.034,0.19328157927359077
432298618,5.6117,4.1271,6.618,0.0312,0.0242,0.0342,0.1963000700655754
432298619,5.8195,4.3152,6.826,0.044,0.0333,0.0433,0.19328157927359077
432298620,5.5589,4.1011,6.5503,0.048,0.0336,0.0463,0.1963000700655754
432298622,5.8815,4.5715,6.9663,0.034,0.0282,0.0367,0.18475840065665078
432298623,5.4342,4.0981,6.4452,0.0346,0.0269,0.0359,0.1963000700655754
432298624,5.3219,4.0168,6.3858,0.0331,0.0249,0.0344,0.1963000700655754
432298625,5.4039,3.999,6.4655,0.054,0.0425,0.0515,0.19328157927359077
432298626,5.5144,4.0803,6.5386,0.0338,0.0253,0.0343,0.19328157927359077
432298627,4.9576,3.5427,5.9124,0.0294,0.0212,0.0296,0.2059488517353309
432298628,5.1916,3.7501,6.1872,0.035,0.0247,0.0341,0.1963000700655754
432298629,5.1796,3.7335,6.1522,0.0326,0.0235,0.0322,0.19941430995731257
432298630,5.1584,3.7171,6.1365,0.0324,0.0234,0.032,0.19941430995731257
432298631,5.0535,3.5518,6.0055,0.0344,0.0241,0.0343,0.20262892686416292
432298632,5.102,3.5988,6.0523,0.0342,0.0236,0.0336,0.20262892686416292
432298633,5.0904,3.5837,6.0885,0.0329,0.0227,0.0328,0.1963000700655754
432298634,5.1208,3.6494,6.0874,0.0314,0.0228,0.0317,0.20262892686416292
432298635,5.4947,3.9716,6.4527,0.0368,0.0269,0.0364,0.1963000700655754
432298636,5.4791,3.9471,6.4311,0.0577,0.0416,0.0529,0.1963000700655754
432298637,5.6916,4.165,6.6795,0.0379,0.0296,0.0379,0.19328157927359077
432298638,5.4749,4.0162,6.4956,0.0324,0.0253,0.0333,0.1963000700655754
432298639,5.4846,4.0732,6.5591,0.0317,0.0247,0.0334,0.1963000700655754
432298640,5.3881,3.9671,6.4016,0.063,0.0527,0.0598,0.19941430995731257
432298641,5.1985,3.7975,6.2088,0.0308,0.0239,0.0323,0.20262892686416292
432298642,5.2189,3.8214,6.242,0.0314,0.025,0.0335,0.19941430995731257
432298643,5.4607,4.0083,6.4344,0.0303,0.023,0.0326,0.1963000700655754
432298646,4.9724,3.4976,5.8591,0.0317,0.0222,0.0321,0.2093793437612272
432298647,5.3259,3.8251,6.2622,0.0357,0.0254,0.0345,0.19941430995731257
432298648,5.3627,3.8624,6.2981,0.0339,0.0241,0.0338,0.19941430995731257
432298649,5.372,3.9757,6.3939,0.0312,0.0232,0.0325,0.19328157927359077
432298650,4.9345,3.5902,5.8992,0.0381,0.0309,0.0385,0.2059488517353309
432298651,4.7574,3.4243,5.6854,0.0352,0.0264,0.0357,0.2093793437612272
432298665,2.8479,2.9555,4.6636,0.0508,0.051,0.058,0.17695501477362918
432298666,3.6792,3.6916,5.3176,0.1306,0.1292,0.1193,0.15137953892966877
432298669,3.9821,4.0548,5.9494,0.0571,0.0583,0.0602,0.1396087127968195
432298671,6.9558,6.6307,10.2366,0.2076,0.1994,0.2122,0.08548150399146558
432298684,3.9505,4.1651,6.492,0.0328,0.0352,0.0426,0.12691981982432735
432298685,4.5026,4.7002,6.8647,0.0058,0.0343,0.0358,0.13807493637999585
432298690,4.6605,4.5473,7.6356,0.0326,0.0283,0.0393,0.10052442674077641
432298694,2.4192,2.4832,4.7137,0.0205,0.0211,0.0298,0.1396087127968195
432298701,2.2818,2.3535,4.1304,0.0043,0.0102,0.0133,0.1721088567938853
432298703,2.4791,2.561,4.0703,0.0024,0.0116,0.0099,0.19941430995731257
432298704,1.9848,2.0112,3.7142,0.0186,0.0191,0.025,0.1794818739290955
432298706,2.2671,2.327,3.9543,0.0081,0.0143,0.0159,0.18751471302418415
432298708,2.6403,2.7257,4.3351,0.0061,0.015,0.0154,0.18751471302418415
432298709,2.4143,2.5152,4.4446,0.0254,0.0272,0.0332,0.15705446369492315
432298712,2.6423,2.7161,4.6122,0.009,0.0166,0.0184,0.16108014280507627
432298717,3.1898,4.6837,6.7935,0.0688,0.1233,0.1062,0.1132011898318306
432298720,2.799,2.8931,5.8154,0.0239,0.0247,0.0356,0.10832258979485408
432298731,2.4948,2.5332,4.2513,0.0271,0.0272,0.0333,0.17695501477362918
432298732,2.9405,2.9915,4.695,0.0082,0.0102,0.0152,0.1794818739290955
432298738,2.8357,2.8909,4.5718,0.0066,0.0099,0.0137,0.18208192715442573
432298742,2.5738,2.5948,4.1516,0.0171,0.0175,0.0233,0.1963000700655754
432298743,2.1463,2.162,3.6229,0.0232,0.0234,0.029,0.2059488517353309
432298744,2.7397,2.7715,4.4588,0.008,0.0147,0.0147,0.18208192715442573
432298748,10.7206,15.213,24.5351,0.1265,0.2201,0.3438,0.07804894248762141
432298749,7.9531,9.9451,17.4065,0.0363,0.0482,0.1233,0.10052442674077641
432298750,6.5856,9.471,15.3391,0.206,0.3354,0.4838,0.1132011898318306
432298763,31.668,33.3926,45.536,0.5366,0.5743,0.6956,0.03819530033179143
432298764,33.9905,34.1213,46.0532,0.6161,0.6148,0.7331,0.03914718970684156
432298767,17.9926,17.9186,28.452,0.3502,0.3476,0.5093,0.08849111644335216
432298768,23.0863,24.6265,37.9497,0.6692,0.6781,0.9433,0.058176383157876974
432298769,9.7726,9.8826,15.6282,0.0286,0.0295,0.0603,0.09816868357674101
