detection_id,B,G,R,nB,nG,nR,Compactness
416629953,11.5657,11.1268,11.9792,0.0985,0.0944,0.0676,0.11634512054520679
416629960,4.0352,4.276,8.811,0.0025,0.0025,0.0172,0.09447856694680049
416629961,4.1149,4.4867,9.7558,0.0157,0.0159,0.0373,0.07903061153879146
416629962,2.8202,3.2995,8.2521,0.0,0.0004,0.016,0.0815963233535219
416629963,2.6603,3.1836,7.4625,0.0,0.0002,0.0147,0.08975514439115811
416629964,2.5964,2.8141,7.8172,0.0,0.0,0.0158,0.08490398027194407
416629965,2.5147,2.6247,7.1128,0.0,0.0,0.0132,0.0937735836449438
416629966,1.9409,2.0829,6.6195,0.0,0.0,0.0118,0.10648688664370398
416629967,1.912,2.3488,7.9966,0.0044,0.0053,0.0228,0.08490398027194407
416629968,4.2488,4.7221,9.5394,0.0257,0.0233,0.0473,0.09740778003073822
416629969,4.8706,5.4058,10.7293,0.0537,0.0493,0.0755,0.08787235948346774
416629970,6.1451,6.9601,13.027,0.0585,0.0655,0.0881,0.0815963233535219
416629971,6.4178,6.9057,12.6054,0.0471,0.0536,0.078,0.08212958633865283
416629972,9.0483,10.0967,15.0872,0.0991,0.1097,0.135,0.07662132709270902
416629973,9.3534,10.7628,15.5773,0.129,0.134,0.1516,0.07435458803139107
416629978,11.2867,11.8118,14.8566,0.0926,0.098,0.1095,0.07569824722699373
416629980,12.217,12.4487,15.4005,0.1304,0.129,0.1513,0.0752449975094086
416629981,12.6978,13.019,15.3225,0.1671,0.1642,0.1674,0.07479714303071543
416629983,11.7831,12.0647,14.2251,0.1366,0.1366,0.1411,0.07756719641593564
416629984,12.4636,12.5911,14.8987,0.1746,0.1807,0.1757,0.077091360650504
416629986,11.4955,11.8211,13.7742,0.2097,0.2255,0.1997,0.07903061153879146
416629987,11.969,12.2901,14.1655,0.3006,0.3037,0.2727,0.08003728818317192
416629988,12.2146,12.3864,14.5008,0.2505,0.254,0.2376,0.08321729873508964
416629989,12.3362,12.7358,14.4493,0.525,0.5419,0.4825,0.08606693785815557
416629990,12.3934,12.6939,14.6056,0.5423,0.5511,0.5021,0.08548150399146558
416629991,13.3472,12.861,13.8365,0.4247,0.4125,0.3482,0.08849111644335216
416629992,13.9472,13.3313,14.4578,0.4755,0.458,0.3907,0.08666044549832956
416629993,14.8185,14.3386,15.3872,0.5127,0.4993,0.4214,0.08106994029334431
416630329,14.632,13.8729,15.5658,0.3724,0.3587,0.3181,0.07903061153879146
416630330,14.6583,14.0393,15.8847,0.4456,0.4238,0.3821,0.07662132709270902
416630331,15.0645,14.4623,15.6841,0.5195,0.4882,0.4304,0.08003728818317192
416630332,15.2552,14.8091,16.1228,0.9295,0.8989,0.7628,0.07953076456813789
416630333,15.4938,14.9784,16.4388,1.1222,1.0875,0.9258,0.08003728818317192
416630334,15.7135,15.2761,17.1047,0.8083,0.7883,0.6707,0.07903061153879146
416630335,15.5639,15.0458,16.8644,0.7148,0.6894,0.5928,0.08212958633865283
416630337,16.2255,15.7379,17.827,0.5421,0.5226,0.4532,0.0815963233535219
416630338,15.08,14.3705,17.5806,0.2768,0.2601,0.2449,0.08055030487456037
416630735,16.1625,16.1104,20.8218,0.1296,0.1328,0.1024,0.05763267864238279
416630736,18.4087,18.6202,19.3574,0.0414,0.0391,0.0289,0.0573696189312951
416630737,28.0175,24.0781,19.1756,1.1405,1.0445,0.6744,0.0573696189312951
416630739,26.5543,22.136,21.4459,1.2812,1.1627,0.884,0.058176383157876974
416630740,20.1996,16.607,16.6822,0.3721,0.2589,0.1971,0.06346488289866778
416630774,34.3038,27.9107,24.6845,0.4927,0.3351,0.2444,0.06792432131461863
416630775,34.8612,31.0749,24.9691,1.8161,1.7106,1.1975,0.06792432131461863
416630776,26.4234,23.782,27.2246,0.8583,0.7298,0.681,0.06792432131461863
416630778,28.9609,26.7869,21.0315,1.872,1.8328,1.2775,0.06904388481989716
416631146,30.8594,28.7873,24.154,1.3667,1.3236,0.9368,0.05560231145909046
416631147,19.3953,18.8614,23.9938,0.1406,0.1373,0.1368,0.05584942297118333
416631148,19.9884,20.2543,21.4636,0.0472,0.0532,0.0447,0.05584942297118333
416631161,16.973,15.8841,20.2687,0.0787,0.0613,0.0591,0.06981099120988524
416631167,23.3868,15.8448,15.7308,0.0667,0.0008,0.0178,0.06981099120988524
416631168,16.9247,15.8908,20.3262,0.0723,0.0552,0.0574,0.06981099120988524
416631171,27.5449,20.4649,18.2961,0.5136,0.3507,0.2369,0.06981099120988524
416631172,18.0489,15.4898,14.4493,0.2057,0.1435,0.1053,0.08321729873508964
416631175,17.2736,16.2099,13.3388,0.1629,0.1343,0.0686,0.08490398027194407
416631176,13.008,12.4797,16.3419,0.0228,0.0206,0.025,0.08490398027194407
416631529,20.5004,16.2301,15.1459,0.6944,0.5886,0.4478,0.08490398027194407
416631530,21.8819,16.1727,15.1424,0.3957,0.2761,0.1906,0.08490398027194407
416631531,17.858,17.1088,14.7291,1.1457,1.1313,0.8043,0.08490398027194407
416631532,16.5325,14.0321,13.2155,0.0211,0.0004,0.0146,0.08490398027194407
416631533,17.2874,16.1918,13.3778,0.1654,0.1348,0.0679,0.08490398027194407
416631534,12.8993,12.4825,16.1711,0.0279,0.0292,0.0336,0.08490398027194407
416631535,12.118,12.3542,14.1472,0.0257,0.0309,0.0453,0.08321729873508964
416631537,17.4217,16.0994,16.1689,1.9427,1.9278,1.5725,0.08321729873508964
416631538,12.2732,10.0303,11.3313,0.0211,0.0006,0.0175,0.06940774073705513
416631539,9.5568,9.406,13.9408,0.0135,0.0185,0.0348,0.06940774073705513
416631543,3.4264,3.3978,8.1202,0.0,0.0,0.023,0.05145659066927682
416631544,3.1627,2.9779,8.9986,0.0006,0.0001,0.0235,0.05145659066927682
416631545,31.5335,28.8389,27.477,2.3367,2.2941,1.8656,0.05737948033237819
416631547,17.7008,17.3264,22.9531,0.0621,0.0582,0.0806,0.0595549083537657
416631548,24.0949,21.3714,21.3086,0.5645,0.4988,0.4015,0.0595549083537657
416631549,26.1932,18.5749,18.4211,0.1073,0.0305,0.0427,0.0589957324588329
416631550,18.0255,17.6304,23.2604,0.0574,0.06,0.0809,0.0595549083537657
416631551,23.8094,12.778,13.6435,0.1792,0.048,0.0543,0.07020097205976435
416631552,14.8636,14.2904,19.0265,0.0073,0.0058,0.0194,0.07221810771057427
416631553,23.2937,12.3779,13.0438,0.1198,0.0149,0.0282,0.07221810771057427
416631554,15.035,14.3917,19.2487,0.0102,0.0094,0.0244,0.07221810771057427
416631555,23.4148,12.4489,13.0899,0.0953,0.0,0.0174,0.07139750161301212
416631556,14.8359,14.3107,18.9314,0.0235,0.0215,0.0357,0.07221810771057427
416631557,22.9773,12.1136,12.9404,0.0934,0.0,0.0172,0.07221810771057427
416631930,2.2846,2.3948,8.4888,0.0,0.0,0.0148,0.08606693785815557
416631932,17.8388,17.9225,19.5027,0.2458,0.2478,0.2373,0.06100034753906654
416631943,3.1489,2.7305,7.4271,0.0,0.0,0.0147,0.08548150399146558
416631944,3.1018,2.5901,7.3831,0.0,0.0,0.0148,0.08726219508235135
416631945,3.0108,2.4761,7.6353,0.0,0.0,0.0157,0.08377203058083679
416631946,3.03,2.567,7.7623,0.0,0.0,0.0154,0.08212958633865283
416631947,3.1106,2.6149,7.9306,0.0,0.0,0.0154,0.08055030487456037
416631950,2.1547,2.1022,7.3884,0.0,0.0,0.0159,0.07903061153879146
416632369,49.9898,57.13,84.6134,1.2783,1.4949,2.1217,0.0430350075951413
416632371,46.3053,53.045,78.0362,1.1888,1.3749,1.9036,0.04552972625896745
416632372,42.3765,48.9138,71.748,1.1296,1.3237,1.8455,0.046199262889625364
416632373,32.5575,36.8587,55.8617,1.0552,1.1951,1.6496,0.05257802831020273
416632374,28.8461,32.7453,49.4405,0.7181,0.8304,1.1523,0.0541643755046309
416632377,46.4474,51.3802,71.1836,1.06,1.185,1.5678,0.04889563761385481
416632734,31.9948,37.3178,57.2396,0.7278,0.8741,1.2577,0.03866538740700744
416632735,16.1599,18.774,30.338,0.2752,0.3339,0.4779,0.06981099120988524
416632736,14.007,16.4398,26.3289,0.2432,0.2987,0.4327,0.07569824722699373
416632739,16.5159,18.8705,32.6413,0.6842,0.794,1.2412,0.06444121395927624
416632740,12.4763,14.2873,24.6308,0.457,0.5397,0.8352,0.08490398027194407
416632741,16.5883,19.1535,36.6383,0.5326,0.6337,1.065,0.050875153686925724
416632746,8.1719,8.4912,11.6405,0.2569,0.2711,0.2793,0.10052442674077641
416632747,7.7561,8.3533,11.3328,0.2508,0.2765,0.2798,0.1038470904936626
416632748,8.7236,9.2104,12.0334,0.2458,0.265,0.2641,0.11219063124580061
416632750,12.5627,14.5662,22.9133,0.4568,0.5391,0.7528,0.11119795425652645
416632751,9.6513,10.176,12.7055,0.189,0.199,0.2083,0.11119795425652645
416632752,12.7367,14.5723,22.6988,0.3472,0.4047,0.5777,0.11119795425652645
416632753,9.777,10.0939,12.9466,0.1958,0.1998,0.2199,0.11022268844923072
416632754,13.4468,15.4331,24.8678,0.398,0.4595,0.6932,0.10299600257653854
416632755,10.8786,11.0616,14.8924,0.1298,0.1311,0.1551,0.09447856694680049
416632756,10.6756,10.7507,14.0937,0.1339,0.1334,0.1549,0.10471236017896915
416632757,10.2472,10.3308,14.1234,0.1531,0.1585,0.1786,0.08975514439115811
416632758,10.8641,10.9576,14.3921,0.1374,0.1447,0.1614,0.10052442674077641
416632759,12.803,13.232,16.6641,0.1356,0.1432,0.1576,0.09665858053229819
416632760,12.5476,13.1641,16.9464,0.1109,0.1185,0.1318,0.08548150399146558
416632761,13.302,13.8429,17.4024,0.1336,0.1389,0.1511,0.09519422993221213
416632762,13.2975,14.3121,18.1717,0.1366,0.1508,0.1664,0.09307904275505513
416632763,12.2204,13.0199,17.157,0.1236,0.1312,0.1492,0.09592081711552267
