detection_id,B,G,R,nB,nG,nR,Compactness
432590893,2.5107,4.2288,8.2912,0.0,0.0,0.0099,0.12440706908215582
432590894,4.7875,7.145,13.0676,0.3935,0.5886,0.8567,0.10739689511380088
432590897,11.3992,15.1835,26.5192,0.2119,0.3222,0.4861,0.05302170881884524
432590898,9.3029,13.7338,25.4611,0.2679,0.3789,0.5581,0.05439884443645084
432590900,3.5371,4.2653,8.0792,0.0508,0.0678,0.1056,0.12199187159268324
432590901,4.6911,5.895,10.3951,0.0673,0.1079,0.1531,0.12081909724428652
432590902,1.628,2.8033,6.8371,0.0,0.0,0.0096,0.12821464331793822
432590903,5.85,6.9176,12.0894,0.0227,0.0397,0.0793,0.09816868357674101
432590904,4.5279,6.7997,14.2146,0.0538,0.0725,0.1191,0.07804894248762141
432590905,6.6798,8.4562,15.1829,0.2061,0.2752,0.4018,0.08433420746488306
432590906,3.8938,6.038,12.5518,0.0,0.0,0.0133,0.09307904275505513
432590907,7.6844,9.4281,15.6765,0.0384,0.0569,0.1245,0.09816868357674101
432590908,8.2291,9.3649,15.0317,0.0112,0.0238,0.0762,0.09972671719555438
432590909,2.6743,4.2865,9.9073,0.0227,0.0303,0.0587,0.10299600257653854
432590910,4.347,5.4871,9.5233,0.0274,0.0435,0.0865,0.13657449043501094
432590911,4.117,4.6869,7.8566,0.0059,0.0121,0.0396,0.15705446369492315
432590912,1.5383,2.3055,6.0165,0.0452,0.0621,0.1066,0.13088518977836702
432590913,6.3383,7.386,12.8448,0.0302,0.0479,0.0822,0.09172037375316221
432590914,5.0328,8.1304,17.6147,0.0,0.0,0.0211,0.0589957324588329
432590915,5.4095,6.0906,9.9497,0.0107,0.0175,0.0493,0.13657449043501094
432590916,1.3003,1.6903,4.0643,0.0918,0.1196,0.1875,0.2059488517353309
432590919,2.173,2.5062,5.0633,0.0149,0.0238,0.0412,0.17449830252036147
432590921,7.7023,8.8013,14.3241,0.0184,0.0313,0.0682,0.1021587506273488
432590926,15.3555,15.8898,18.127,0.4986,0.5099,0.4818,0.1021587506273488
432590928,16.9509,17.5948,20.215,0.7989,0.8298,0.8069,0.09519422993221213
432590930,10.4064,10.9168,12.9744,0.6509,0.6751,0.6739,0.1336693370934263
432590931,10.5219,10.9945,13.1391,0.6346,0.6549,0.6505,0.13226261511265314
432590932,8.615,9.3221,11.7951,0.4535,0.4884,0.5018,0.12821464331793822
432590933,4.0974,4.4625,6.2052,0.3311,0.3633,0.3744,0.18208192715442573
432590936,20.7415,22.6394,29.8326,0.8478,0.9368,1.0984,0.07391723900466864
432590937,12.5508,14.5803,19.494,0.45,0.5428,0.6222,0.09307904275505513
432590938,11.3436,13.2327,17.8311,0.385,0.4695,0.5384,0.09816868357674101
432590939,4.6816,4.6509,6.063,0.0939,0.0931,0.0945,0.1903544897796419
432590940,6.5291,6.4758,8.0282,0.1413,0.1405,0.1386,0.16752101074657041
432590941,5.3944,5.29,6.7704,0.1165,0.1142,0.1154,0.18208192715442573
432590942,6.1766,6.2412,7.4545,0.0252,0.0252,0.0319,0.18208192715442573
432590943,5.9995,6.0626,7.2084,0.0244,0.0244,0.0308,0.1903544897796419
432590945,5.6316,5.7375,6.9412,0.0232,0.0232,0.0297,0.18751471302418415
