detection_id,B,G,R,nB,nG,nR,Compactness
1436422604,31.0771,33.2715,16.5652,0.8346,0.902,0.2633,0.06283026644890574
1436422609,16.5696,19.3486,12.8795,0.0,0.0,0.0261,0.04778018079289879
1436422610,4.2856,4.8673,4.4925,0.0,0.0,0.0117,0.10559216905199818
1436422611,10.6243,11.4974,7.8717,0.3474,0.3719,0.1474,0.0815963233535219
1436422612,4.6044,5.046,4.5757,0.0555,0.0585,0.0327,0.10471236017896915
1436422616,25.7947,26.62,13.8902,0.4932,0.5139,0.1392,0.08548150399146558
1436422619,4.4484,4.5735,3.257,0.1844,0.1894,0.0828,0.23262772230212783
1436422620,13.0441,13.4992,8.1052,0.1671,0.1746,0.0416,0.11119795425652645
1436422621,9.0734,9.6733,7.6318,0.2293,0.2481,0.1448,0.12953615542145414
1436422623,2.0082,2.0769,2.3411,0.2054,0.2131,0.0878,0.2059488517353309
1436422624,7.3392,7.6428,5.2705,0.279,0.2927,0.1295,0.15904183716398032
1436422625,4.5527,4.7084,3.4004,0.134,0.1409,0.0617,0.2129260181386661
1436422626,26.5745,29.223,14.6123,0.3941,0.4488,0.1593,0.06378702284985524
1436422627,5.7192,5.9282,4.4236,0.1942,0.1991,0.0933,0.16752101074657041
1436422628,4.2212,4.3795,3.2281,0.1739,0.1821,0.0772,0.22840111198938143
1436422631,5.8559,6.027,4.1235,0.1534,0.1589,0.0728,0.19941430995731257
1436422635,11.9882,12.8554,8.7656,0.1989,0.2147,0.0703,0.09447856694680049
1436422636,10.1213,10.5183,6.8246,0.525,0.5469,0.2466,0.15137953892966877
1436422637,6.9905,7.1989,5.0374,0.1767,0.1827,0.0804,0.1721088567938853
1436422638,2.9655,3.2871,3.3981,0.1773,0.1984,0.0843,0.15137953892966877
1436422640,9.8822,10.9314,8.4675,0.3609,0.3989,0.1753,0.08106994029334431
1436422645,6.4449,6.8539,5.5667,0.0007,0.0056,0.0087,0.1411769425941694
