detection_id,B,G,R,nB,nG,nR,Compactness
432265382,8.0475,8.7174,12.8568,0.2459,0.2728,0.2811,0.07391723900466864
432265392,9.8549,10.9712,15.3156,0.3188,0.3514,0.359,0.06510896233025722
432265401,7.919,8.6158,12.769,0.2248,0.2415,0.2582,0.07219829223392979
432265404,7.9394,8.6283,14.085,0.2323,0.2485,0.2687,0.055348531285343124
432265453,1.3904,4.875,4.6913,0.0297,0.0509,0.0468,0.09894156757337469
432265463,1.6136,5.7219,5.0363,0.0508,0.0773,0.0685,0.09519422993221213
432265491,1.6521,8.2485,5.7962,0.0517,0.0987,0.0678,0.07433293693353699
432265492,9.3678,11.7517,14.2325,0.0854,0.1376,0.1066,0.06310564475804771
432265493,5.7548,8.6497,10.1419,0.2674,0.2948,0.2903,0.07433293693353699
432265494,5.5766,8.8672,9.8799,0.1545,0.1871,0.1726,0.07433293693353699
432265497,2.808,8.7421,6.3247,0.0196,0.0563,0.0336,0.08975514439115811
432265498,11.1295,12.4041,15.1805,0.1717,0.2252,0.1894,0.0734641139232307
432265505,6.3773,10.0084,10.9491,0.168,0.2034,0.1897,0.07261535960546649
432265510,12.5751,13.7123,16.6598,0.1786,0.2177,0.2004,0.07615699026400004
432265511,6.4722,10.2152,11.0861,0.0944,0.1246,0.1176,0.07479714303071543
432265512,5.1159,9.5661,9.5754,0.0834,0.1125,0.1045,0.07479714303071543
432265516,13.1276,14.3256,17.2709,0.1734,0.215,0.1947,0.07435458803139107
432265517,6.0697,9.5255,10.5224,0.1262,0.1622,0.1476,0.07756719641593564
432265518,5.1257,9.9403,9.5083,0.1441,0.2066,0.1633,0.077091360650504
432265522,12.8875,14.0903,16.941,0.1501,0.1973,0.1706,0.07569824722699373
432265523,6.193,9.5931,10.6785,0.1406,0.1739,0.1632,0.07569824722699373
432265524,5.1039,9.7892,9.5247,0.1349,0.1746,0.1555,0.07569824722699373
432265526,1.4702,5.8273,5.4742,0.0529,0.0741,0.0662,0.07662132709270902
432265529,1.5681,4.4928,3.6444,0.0146,0.0489,0.0246,0.15511613727099602
432265530,0.9595,2.6677,2.9295,0.0663,0.0857,0.0806,0.16978395275546265
432265531,1.754,3.9561,3.6469,0.0684,0.0817,0.0765,0.16978395275546265
432265533,2.1679,3.1316,3.4352,0.0668,0.0791,0.0667,0.2059488517353309
432265535,0.9917,2.4,2.4721,0.0069,0.0199,0.0124,0.19941430995731257
432265538,0.1964,2.6036,1.7539,0.0023,0.0217,0.0088,0.19941430995731257
432265540,2.0919,3.2054,3.5184,0.0665,0.0758,0.065,0.1903544897796419
432265541,1.6556,2.811,3.3117,0.0297,0.0395,0.0367,0.19328157927359077
432265543,1.1369,3.1492,2.7797,0.0062,0.0192,0.0128,0.19328157927359077
432265544,1.2919,1.6691,3.0374,0.0449,0.0469,0.0553,0.19328157927359077
432265545,0.2324,2.4965,1.7362,0.0022,0.0142,0.0083,0.2059488517353309
432265547,2.4275,3.1314,3.7056,0.1388,0.1394,0.1284,0.20262892686416292
432265550,1.2141,3.2235,2.8334,0.0104,0.0277,0.0178,0.1963000700655754
432265551,1.211,1.5245,2.801,0.0435,0.0454,0.0522,0.2093793437612272
432265552,0.1359,2.4335,1.6578,0.0015,0.0149,0.0076,0.2059488517353309
432265554,1.0429,5.3932,5.8673,0.0229,0.0518,0.0395,0.06477336728387235
432265557,9.5827,14.1471,14.2944,0.0984,0.1539,0.1206,0.06510896233025722
432265558,6.5375,9.2116,11.3035,0.1985,0.2249,0.2179,0.07020097205976435
432265560,2.0066,6.6512,5.8624,0.0362,0.057,0.0541,0.07903061153879146
432265561,0.7829,12.2257,4.8019,0.0337,0.1053,0.051,0.07953076456813789
432265564,8.594,15.6088,12.5038,0.084,0.1511,0.1017,0.07853670966610296
432265565,4.2642,12.2565,8.6138,0.0657,0.129,0.0868,0.07853670966610296
