detection_id,B,G,R,nB,nG,nR,Compactness
432370046,2.6447,2.4154,5.2524,0.1027,0.093,0.1273,0.1427807996875266
432370048,3.8371,3.5262,7.5253,0.1707,0.1568,0.2185,0.10559216905199818
432370049,3.9535,3.6761,7.471,0.179,0.1678,0.2394,0.12081909724428652
432370050,3.2714,3.0359,6.3923,0.1332,0.1221,0.1808,0.1351063003197879
432370066,2.484,2.3459,4.2206,0.0,0.0,0.0108,0.11423011752805243
432370068,2.1344,2.4339,3.9504,0.0544,0.0634,0.0667,0.1903544897796419
432370069,2.2524,2.542,4.0463,0.0499,0.0568,0.0592,0.18751471302418415
432370075,2.3822,2.6719,4.2558,0.0908,0.1044,0.1051,0.17695501477362918
432370079,3.2233,3.2559,4.6388,0.0142,0.016,0.0212,0.1021587506273488
432370085,9.0591,9.3935,9.4709,0.7836,0.8164,0.498,0.07853670966610296
432370086,0.9153,0.9549,2.769,0.1086,0.1187,0.0769,0.14442151192814084
432370088,4.7075,4.6303,5.6867,0.1452,0.1399,0.0998,0.11743226366213184
432370089,14.7031,14.724,16.5379,1.0345,1.0242,0.7092,0.049668666921834095
432370092,3.8407,3.6765,5.0564,0.0004,0.0004,0.0119,0.10648688664370398
432370095,5.0325,5.1195,5.9237,0.0,0.0,0.012,0.10299600257653854
432370097,4.3759,3.8336,5.7104,0.0007,0.0006,0.0138,0.09447856694680049
432370099,10.1971,9.4769,10.0594,0.0799,0.0747,0.0679,0.07756719641593564
432370115,13.4957,12.4275,14.1158,0.1024,0.0801,0.0621,0.08106994029334431
432370116,3.9376,3.1273,4.6371,0.2084,0.1562,0.1316,0.15322506464696445
432370117,17.0436,15.6317,22.2625,0.3673,0.3321,0.3619,0.0541643755046309
432370123,4.2363,4.1849,5.1319,0.0,0.0,0.0131,0.09447856694680049
432370125,0.8734,0.7695,2.4547,0.0,0.0,0.0085,0.14442151192814084
432370126,5.2823,4.3116,5.6447,0.0011,0.0012,0.0163,0.07903061153879146
432370135,1.6811,1.5697,4.1315,0.001,0.001,0.0155,0.08490398027194407
432370136,1.5662,1.3867,3.7814,0.0013,0.0013,0.0144,0.09307904275505513
432370141,1.048,0.9934,3.6706,0.0016,0.0017,0.0147,0.09239471398211957
432370144,6.452,6.566,7.8783,0.0062,0.0063,0.0212,0.07305779571290515
432370145,5.035,5.1242,7.0021,0.0283,0.0295,0.0384,0.07435458803139107
432370148,2.5819,2.5761,4.0574,0.0,0.0,0.0114,0.10832258979485408
432370154,2.2226,2.0859,3.5791,0.0016,0.0013,0.0098,0.14442151192814084
432370157,5.6352,5.3248,6.8923,0.1505,0.1443,0.1195,0.09894156757337469
432370161,1.7336,1.6707,3.4494,0.0776,0.0763,0.0987,0.19941430995731257
432370162,2.5525,2.2086,3.9978,0.0179,0.0182,0.0263,0.11527791973048969
432370165,1.5909,1.648,2.9144,0.0,0.0,0.0095,0.12953615542145414
432370171,5.458,5.2431,8.582,0.0257,0.0259,0.0459,0.0541643755046309
432370174,9.5274,9.1953,12.6517,0.0143,0.0153,0.0412,0.04393781784522013
432370178,10.1914,10.168,13.3066,0.0941,0.1078,0.1112,0.04393781784522013
432370179,3.148,3.0642,5.4645,0.0159,0.0164,0.0291,0.08106994029334431
432370208,2.8791,2.9108,4.5435,0.0385,0.0401,0.0411,0.15322506464696445
432370211,3.024,3.0875,4.6963,0.0352,0.0373,0.0381,0.15137953892966877
432370212,3.4047,2.4692,5.4093,0.035,0.0224,0.0435,0.15137953892966877
432370215,5.5394,4.4399,8.2118,0.0555,0.0377,0.0642,0.11219063124580061
432370217,5.8536,4.7196,8.4207,0.0636,0.0351,0.0661,0.1132011898318306
432370219,5.0257,4.0446,7.6178,0.063,0.0393,0.0675,0.11634512054520679
432370222,5.0677,4.1232,7.5216,0.0384,0.0277,0.0486,0.1256508846247525
432370228,5.0215,4.3931,7.0922,0.0253,0.0219,0.0321,0.14442151192814084
432370230,5.0017,4.4665,6.8088,0.0387,0.0309,0.0432,0.1653175867489029
432370239,2.5727,2.5873,4.674,0.0476,0.0484,0.0598,0.16108014280507627
432370242,3.5794,3.6614,5.9357,0.089,0.0862,0.1011,0.1427807996875266
432370245,4.1253,4.1071,7.8009,0.1887,0.1782,0.2174,0.09592081711552267
432370248,1.9516,2.0239,3.8823,0.0349,0.0335,0.0431,0.16978395275546265
432370250,2.0593,2.0491,3.9284,0.0475,0.0459,0.0536,0.1653175867489029
432370256,3.5505,3.6253,5.1763,0.0955,0.0971,0.1023,0.1903544897796419
432370259,3.263,3.4381,4.8081,0.0658,0.0711,0.0765,0.21659487670178934
432370261,4.4294,4.5371,5.881,0.1129,0.115,0.1169,0.2093793437612272
432370262,4.1519,4.2956,5.7609,0.128,0.1334,0.1368,0.20262892686416292
432370263,4.0614,4.1991,5.612,0.0713,0.0742,0.0782,0.20262892686416292
432370264,3.9529,4.1429,5.5196,0.05,0.053,0.0564,0.2059488517353309
432370265,4.0047,4.1955,5.5971,0.08,0.0856,0.0887,0.2059488517353309
432370266,3.9529,4.1743,5.5854,0.0559,0.0589,0.065,0.2093793437612272
432370267,4.0748,4.2198,5.5943,0.0613,0.0635,0.0674,0.2093793437612272
432370268,3.339,3.4636,4.8033,0.0488,0.051,0.0552,0.2129260181386661
432370269,4.07,4.2446,5.5317,0.054,0.0587,0.0591,0.2093793437612272
432370270,3.2509,3.3523,4.6408,0.076,0.0789,0.0824,0.22840111198938143
432370271,3.7565,3.8279,5.2005,0.0541,0.0554,0.0597,0.21659487670178934
432370272,3.7271,3.8429,5.1324,0.0682,0.0708,0.0719,0.21659487670178934
432370274,4.685,4.8847,6.3279,0.1071,0.1111,0.1117,0.18751471302418415
432370276,3.4429,3.5951,4.8889,0.0831,0.0875,0.0891,0.21659487670178934
432370277,4.8883,4.4116,4.9455,0.0057,0.0069,0.0174,0.09239471398211957
432370279,14.8779,14.0593,13.8554,0.0575,0.0524,0.0722,0.0607056738604871
432370281,4.8729,5.0064,6.6457,0.0925,0.0951,0.1024,0.18208192715442573
432370282,5.6626,5.9062,7.5491,0.0631,0.0659,0.07,0.16317136358672749
432370283,4.991,5.184,6.6498,0.0777,0.0807,0.0842,0.18208192715442573
432370284,4.8564,5.0473,6.5533,0.0828,0.0864,0.0901,0.17695501477362918
432370286,4.5874,4.7658,6.2001,0.0907,0.0931,0.0969,0.18751471302418415
432370287,4.2352,3.7584,6.5107,0.0062,0.0062,0.0247,0.06378702284985524
432370288,11.9502,11.1734,12.261,0.0347,0.0388,0.0534,0.04245346694193159
432370304,18.6163,17.5764,20.6582,0.0965,0.093,0.1348,0.04348172702451151
432370306,12.1674,11.4581,15.1524,0.0066,0.0079,0.0405,0.03717828391924453
432370309,4.9031,4.6154,7.1887,0.0402,0.0401,0.0567,0.07662132709270902
432370310,1.5772,1.4105,2.5668,0.0,0.0,0.0074,0.1653175867489029
432370311,1.8324,1.7107,2.8074,0.0,0.0,0.0076,0.16108014280507627
432370328,3.465,3.209,4.7154,0.0,0.0,0.0133,0.09307904275505513
432370335,4.545,4.6068,6.0993,0.0729,0.0747,0.0775,0.18475840065665078
432370349,3.3131,3.3451,4.6646,0.0598,0.0611,0.0646,0.21659487670178934
