detection_id,B,G,R,nB,nG,nR,Compactness
160179661,2.0145,4.5718,4.9782,0.0,0.0,0.0164,0.07569824722699373
160179681,1.9921,4.5432,4.9484,0.0,0.0,0.0164,0.07569824722699373
160179702,2.007,4.5369,4.9686,0.0,0.0,0.0164,0.07569824722699373
160179723,1.997,4.5265,4.9844,0.0,0.0,0.0165,0.0752449975094086
160179745,1.999,4.5126,4.9898,0.0,0.0,0.0165,0.0752449975094086
160179785,9.5527,15.531,11.733,0.4688,0.7856,0.3605,0.06942531913488556
160179807,11.2577,18.0174,13.8409,0.4772,0.8114,0.3844,0.06100034753906654
160179851,28.2838,30.554,17.4094,4.1529,4.4872,1.789,0.05790830079919458
160179874,10.9366,17.4639,13.2842,0.4859,0.8194,0.3874,0.06510896233025722
160179914,28.0092,30.3455,16.1831,2.9274,3.1599,1.2629,0.07139750161301212
160179936,10.3915,17.5145,12.5863,0.4373,0.7549,0.3551,0.07180546030797123
160179980,27.8381,30.1744,16.0726,2.7597,2.9795,1.1894,0.07180546030797123
160180000,10.3915,17.5145,12.5863,0.4373,0.7549,0.3551,0.07180546030797123
160180042,27.6116,29.9278,16.0052,2.7597,2.9795,1.1895,0.07139750161301212
160180063,10.6654,17.2719,12.7932,0.4315,0.7133,0.3405,0.07139750161301212
160180085,27.3014,29.5864,15.9064,2.7361,2.9535,1.1792,0.07099415216660818
160180105,10.6918,17.2292,12.8097,0.4923,0.8305,0.3938,0.07099415216660818
160180127,27.3014,29.5864,15.9064,2.7361,2.9535,1.1792,0.07099415216660818
160180147,10.7869,17.2083,12.8586,0.3937,0.6646,0.3139,0.07020097205976435
160180170,27.2606,29.5424,15.9139,2.7157,2.9315,1.1703,0.07059533429497317
160180192,10.683,17.0474,12.8124,0.3937,0.6646,0.314,0.06981099120988524
160180235,25.8319,28.0055,16.0798,2.3451,2.5353,1.0184,0.06041383338136221
160180256,10.0872,16.1222,13.1456,0.3751,0.6329,0.3038,0.0595549083537657
160180299,25.5306,27.679,16.0296,2.2453,2.4278,0.9767,0.0595549083537657
160180320,10.0425,16.0412,13.1085,0.3751,0.6329,0.3038,0.0595549083537657
160180363,25.2984,27.4266,15.9323,2.2144,2.3948,0.9638,0.0595549083537657
160180386,9.912,15.835,13.0604,0.3682,0.6215,0.299,0.0589957324588329
160180429,24.7039,26.779,15.7039,2.0615,2.2284,0.8986,0.059274001684944774
160180452,9.7437,15.549,12.9015,0.3677,0.6205,0.2984,0.059274001684944774
160180496,24.5711,26.6339,15.6485,2.0615,2.2284,0.8986,0.059274001684944774
160180519,9.6485,15.3776,12.8772,0.3673,0.6199,0.2984,0.05872006370526449
160180562,23.2339,25.1966,14.5475,1.7298,1.8743,0.7583,0.06579069379816853
160180583,9.1578,14.6391,11.9482,0.3322,0.5655,0.2725,0.06579069379816853
160180625,23.1315,25.0864,14.5044,1.7094,1.8521,0.7496,0.06579069379816853
160180647,9.1002,14.5447,11.8999,0.3277,0.5578,0.269,0.06579069379816853
160180715,8.8312,14.1144,11.6241,0.3248,0.5534,0.2671,0.06684048540909966
160180757,22.234,24.11,14.0259,1.6786,1.8194,0.7358,0.06719790044098876
160180908,8.5205,13.4801,11.345,0.3201,0.5388,0.262,0.06719790044098876
160180949,21.0669,22.839,13.4531,1.5167,1.6446,0.6661,0.06829345312829196
160180971,8.374,13.2551,11.1598,0.316,0.5318,0.2589,0.06829345312829196
160181011,8.3587,13.229,11.1467,0.3151,0.5302,0.2581,0.06829345312829196
160181053,8.3504,13.2155,11.1397,0.3149,0.5298,0.2579,0.06829345312829196
160181093,8.3504,13.2155,11.1397,0.3149,0.5298,0.2579,0.06829345312829196
160181135,8.3372,13.1919,11.1291,0.3149,0.5298,0.2579,0.06829345312829196
160181180,7.6258,12.4817,10.5213,0.301,0.5147,0.2526,0.07139750161301212
160181223,7.5737,12.3976,10.406,0.3008,0.5144,0.2521,0.07263552511680024
160181244,7.5709,12.3972,10.3974,0.2629,0.4455,0.2208,0.07263552511680024
160181285,7.2843,11.9256,10.4647,0.2597,0.4393,0.2193,0.06792432131461863
160181461,6.7761,11.1711,10.1438,0.2437,0.414,0.2081,0.06684048540909966
160181482,6.7665,11.1631,10.144,0.2813,0.4828,0.2396,0.06684048540909966
160181503,6.7669,11.1624,10.1364,0.2425,0.4122,0.2074,0.06684048540909966
160181525,6.7669,11.1624,10.1364,0.2425,0.4122,0.2074,0.06684048540909966
160181546,6.7076,11.1022,10.0326,0.2455,0.4251,0.2097,0.06719790044098876
160181567,6.7296,11.1368,10.071,0.24,0.4143,0.2054,0.06719790044098876
160181589,6.6736,11.0496,10.0052,0.2344,0.404,0.2007,0.0675591583065621
160181608,6.6736,11.0496,10.0052,0.2344,0.404,0.2007,0.0675591583065621
160181630,6.6736,11.0496,9.9797,0.2344,0.404,0.2006,0.06792432131461863
160181651,6.659,11.0238,9.9677,0.232,0.3997,0.1986,0.06792432131461863
160181670,6.0862,10.0622,8.5792,0.198,0.3387,0.1676,0.08433420746488306
160181690,6.0862,10.0622,8.5792,0.198,0.3387,0.1676,0.08433420746488306
160181713,6.0862,10.0622,8.5792,0.198,0.3387,0.1676,0.08433420746488306
160181735,6.027,10.0912,8.5871,0.2702,0.4751,0.2298,0.08433420746488306
160181757,5.9853,10.0119,8.5087,0.263,0.456,0.2205,0.08548150399146558
160181777,5.9077,9.8105,8.3774,0.2316,0.3974,0.1941,0.08666044549832956
160181798,5.8905,9.8007,8.4323,0.2895,0.4953,0.2451,0.08606693785815557
160181842,8.9325,13.6129,13.1066,0.3256,0.5296,0.2601,0.048146301614186766
160181863,8.8662,13.545,13.0727,0.3222,0.5256,0.2585,0.048146301614186766
160181886,8.8235,13.4714,13.0375,0.3114,0.507,0.2495,0.048146301614186766
160181993,8.1711,12.6296,11.7547,0.3238,0.5391,0.2614,0.05560231145909046
160182057,7.8113,12.0173,11.1472,0.3141,0.5202,0.2519,0.05872006370526449
160182078,7.807,12.0246,11.1437,0.2668,0.4332,0.2112,0.05872006370526449
160182100,7.8046,12.0226,11.1373,0.268,0.4342,0.212,0.05872006370526449
160182121,7.7802,11.9815,11.1676,0.267,0.4316,0.2115,0.058176383157876974
160182144,7.5695,11.5326,10.8518,0.2635,0.4259,0.2087,0.05844695914181379
160182165,7.561,11.5001,10.8477,0.2497,0.4049,0.1994,0.05844695914181379
160182187,7.4945,11.4172,10.7148,0.2735,0.4454,0.2176,0.0595549083537657
160182207,6.8306,10.2766,9.3889,0.2372,0.3809,0.183,0.06904388481989716
160182229,6.8186,10.2582,9.407,0.2372,0.3809,0.1831,0.06866661880204716
160182250,6.5999,9.9288,8.9169,0.2372,0.3809,0.1817,0.07435458803139107
160182271,6.5492,9.843,8.85,0.2342,0.3756,0.1791,0.07479714303071543
160182291,6.3671,9.5622,8.9436,0.2308,0.3705,0.1783,0.07099415216660818
160182333,6.1044,9.1008,8.7041,0.1993,0.3206,0.1556,0.07180546030797123
160182354,6.0601,9.034,8.6713,0.198,0.3184,0.1547,0.07180546030797123
160182396,8.2463,12.839,11.0148,0.2241,0.3939,0.1951,0.06100034753906654
160182418,8.2285,12.8282,11.0032,0.1828,0.3223,0.164,0.06100034753906654
160182440,8.284,12.7505,11.0001,0.1723,0.2999,0.153,0.06100034753906654
160182460,8.284,12.7505,11.0001,0.1723,0.2999,0.153,0.06100034753906654
160182482,8.284,12.7505,11.0001,0.1723,0.2999,0.153,0.06100034753906654
160182504,8.2265,12.6522,11.0531,0.1709,0.2978,0.1527,0.05983849013957345
160182525,7.7626,11.911,10.2415,0.1583,0.2765,0.1422,0.06544805286939072
160182546,7.7507,11.8937,10.2605,0.1583,0.2765,0.1423,0.06510896233025722
160182567,7.7507,11.8937,10.2605,0.1583,0.2765,0.1423,0.06510896233025722
160182821,5.986,9.5511,7.718,0.0392,0.0559,0.0412,0.07479714303071543
160182842,5.8996,9.3647,7.6203,0.0392,0.0559,0.041,0.07569824722699373
160182863,5.9628,9.5259,7.6795,0.0412,0.0589,0.0425,0.0752449975094086
160183878,4.6942,7.4226,6.8512,0.0183,0.0258,0.0279,0.07615699026400004
160183896,4.7173,7.4108,6.7697,0.0183,0.0258,0.0276,0.07756719641593564
160184552,2.7656,4.9535,6.2834,0.0,0.0,0.0207,0.06012478543760053
160184574,2.7297,4.9922,6.2627,0.0,0.0,0.0207,0.06012478543760053
160184593,2.7031,4.9457,6.2528,0.0,0.0,0.0207,0.06012478543760053
160184731,6.3941,10.8157,9.0354,0.0,0.0,0.0223,0.05584942297118333
160184771,6.3892,10.8067,9.033,0.0,0.0,0.0223,0.05584942297118333
160184812,6.3233,10.7006,8.9456,0.0,0.0,0.0221,0.05635029433027713
160184975,22.1929,26.6043,15.4214,2.8103,3.3783,1.2391,0.05983849013957345
160185014,21.3138,25.568,14.8485,2.8409,3.4187,1.2516,0.06159836113714365
160185053,21.2742,25.5206,14.8301,2.8376,3.4148,1.2501,0.06159836113714365
160185132,20.2361,24.2511,14.6843,2.7071,3.2547,1.1928,0.05790830079919458
160185172,19.6204,23.5121,14.3007,2.6238,3.156,1.1561,0.0589957324588329
160185214,19.3211,23.1551,14.1888,2.5985,3.125,1.1448,0.05872006370526449
160185297,19.2623,23.0844,14.1106,2.588,3.1124,1.1399,0.059274001684944774
160185340,19.0428,22.8208,14.0336,2.5726,3.0936,1.1335,0.0589957324588329
160185381,17.8104,21.3346,13.4254,2.4522,2.9483,1.0806,0.0595549083537657
160185424,17.5513,21.0279,13.3328,2.4161,2.9062,1.065,0.059274001684944774
160185463,17.2924,20.7159,13.2882,2.4036,2.8911,1.0598,0.05844695914181379
160185483,4.4749,7.7186,8.0215,0.0,0.0,0.0213,0.05844695914181379
160185522,17.2729,20.6926,13.2286,2.3939,2.8795,1.0553,0.0589957324588329
160185540,4.4655,7.7019,7.9649,0.0,0.0,0.0211,0.0589957324588329
160185581,16.5325,19.797,12.7039,2.3585,2.8371,1.0404,0.06100034753906654
160185601,4.2644,7.3941,7.6761,0.0,0.0,0.0204,0.06100034753906654
160185641,15.7933,18.9218,12.3938,2.2349,2.6902,0.9871,0.0607056738604871
160185663,4.0386,7.0174,7.55,0.0,0.0,0.0204,0.06100034753906654
160185703,15.1137,18.1089,12.0849,2.1786,2.6228,0.9628,0.0607056738604871
160185723,3.898,6.7747,7.4946,0.0,0.0,0.0205,0.0607056738604871
160185765,15.0942,18.0856,12.0763,2.1689,2.6112,0.9585,0.0607056738604871
160185786,3.8933,6.7661,7.4916,0.0,0.0,0.0205,0.0607056738604871
160185825,3.8909,6.7455,7.4569,0.0,0.0,0.0204,0.06100034753906654
160185865,3.863,6.6834,7.4112,0.0,0.0,0.0203,0.06129789587454133
160185906,3.8472,6.6558,7.4024,0.0,0.0,0.0203,0.06129789587454133
160185945,3.7879,6.5714,7.3439,0.0,0.0,0.0202,0.06159836113714365
160186651,6.6289,10.8672,8.2849,0.0,0.0,0.0175,0.07099415216660818
160186691,6.4254,10.5478,7.9458,0.0,0.0,0.0166,0.07479714303071543
160186734,6.2804,10.3219,7.8687,0.0,0.0,0.0166,0.07479714303071543
160186775,19.6615,24.0728,13.1536,0.0,0.057,0.0166,0.07479714303071543
160187229,14.5824,17.8823,11.9881,0.0,0.043,0.0211,0.0589957324588329
160187248,4.6115,7.5722,8.0414,0.0,0.0,0.0211,0.0589957324588329
160187492,13.3598,16.4009,11.4858,0.0,0.0389,0.0213,0.05844695914181379
160187515,4.2299,6.9457,7.8785,0.0,0.0,0.0213,0.05844695914181379
160187732,19.0509,23.2833,13.336,0.0,0.0685,0.0181,0.06866661880204716
160187753,5.9766,10.0837,8.0868,0.0,0.0,0.0182,0.06829345312829196
160187799,18.8606,23.0528,13.2738,0.0,0.0678,0.0182,0.06829345312829196
160187821,5.7462,9.6992,8.1881,0.0,0.0,0.0191,0.06510896233025722
160187864,17.7114,21.6163,13.0115,0.0,0.0619,0.0193,0.06444121395927624
160187931,17.286,21.015,12.818,0.0,0.0637,0.0191,0.06510896233025722
160187950,4.7004,7.8165,6.5679,0.0,0.0,0.0151,0.08212958633865283
160187996,14.7031,17.8978,10.6033,0.0,0.0484,0.0152,0.0815963233535219
160188019,4.6086,7.6661,6.541,0.0,0.0,0.0152,0.0815963233535219
160188063,14.6399,17.8172,10.5723,0.0,0.048,0.0152,0.0815963233535219
160188084,4.5708,7.5997,6.4944,0.0,0.0,0.0151,0.08212958633865283
160188500,5.5087,9.2972,8.2614,0.0,0.0,0.02,0.06220821570931003
160188545,18.0166,22.0705,13.4808,0.0,0.0792,0.0199,0.06251769380643689
160188568,5.4834,9.2544,8.2218,0.0,0.0,0.0199,0.06251769380643689
160188615,17.6847,21.6633,13.2753,0.0,0.0781,0.0197,0.06314598028335774
160188664,16.9948,20.817,12.6421,0.0,0.0748,0.0185,0.06719790044098876
160188710,16.9948,20.817,12.5911,0.0,0.0748,0.0183,0.06792432131461863
160188985,15.1007,18.6624,11.5368,0.0,0.0701,0.0176,0.07059533429497317
160189031,14.7976,18.2944,11.3229,0.0,0.0701,0.0173,0.07180546030797123
160189053,14.6227,18.0947,11.1986,0.0,0.0717,0.0172,0.07221810771057427
160189076,14.2478,17.6409,11.0014,0.0,0.069,0.0171,0.07263552511680024
160189098,14.2387,17.6358,10.9963,0.0,0.0714,0.0171,0.07263552511680024
160189122,14.2048,17.5931,11.0054,0.0,0.0712,0.0172,0.07221810771057427
160189144,14.0218,17.3674,10.9684,0.0,0.0705,0.0174,0.07139750161301212
160189166,13.4588,16.6666,10.9167,0.0,0.0682,0.0182,0.06829345312829196
160189190,13.0735,16.1519,10.2935,0.0,0.0616,0.0167,0.07435458803139107
160189212,13.0735,16.1519,10.2935,0.0,0.0616,0.0167,0.07435458803139107
160189234,13.0396,16.1102,10.3035,0.0,0.0614,0.0168,0.07391723900466864
160189256,12.9219,15.9653,10.2234,0.0,0.0607,0.0167,0.07435458803139107
160189280,12.8047,15.8219,10.1706,0.0,0.06,0.0167,0.07435458803139107
160189324,8.0375,14.4127,8.3495,0.0,0.0,0.0156,0.07953076456813789
160189349,8.0133,14.3939,8.3253,0.0,0.0,0.0156,0.07953076456813789
160189373,8.0077,14.3838,8.3215,0.0,0.0,0.0156,0.07953076456813789
160189398,8.0077,14.3838,8.3215,0.0,0.0,0.0156,0.07953076456813789
160189420,7.9867,14.3466,8.3101,0.0,0.0,0.0156,0.07953076456813789
160189444,9.7997,17.1145,10.0061,0.0369,0.0678,0.0398,0.07263552511680024
160189469,7.8241,14.0994,8.1644,0.015,0.0266,0.0253,0.08003728818317192
160189489,7.7924,14.0906,8.1369,0.0038,0.0066,0.0179,0.08003728818317192
160189511,7.6951,13.8593,8.1068,0.0076,0.0132,0.0203,0.08003728818317192
160189536,7.6727,13.8411,8.0922,0.0038,0.0066,0.0179,0.08003728818317192
160189584,7.6734,13.841,8.0917,0.0038,0.0066,0.0179,0.08003728818317192
160189976,7.5056,13.572,7.9524,0.0,0.0,0.0153,0.08106994029334431
160189999,7.5362,13.6402,7.9585,0.0,0.0,0.0154,0.08055030487456037
160190187,7.3196,13.244,7.7637,0.0,0.0,0.0151,0.08212958633865283
160190232,7.3175,13.2305,7.7664,0.0,0.0,0.0151,0.08212958633865283
160190254,7.3175,13.2305,7.7664,0.0,0.0,0.0151,0.08212958633865283
160190279,7.2823,13.1914,7.7356,0.0025,0.0045,0.0167,0.08212958633865283
160190300,7.2321,13.0695,7.7344,0.0,0.0,0.0151,0.08212958633865283
160190323,7.2169,13.0631,7.6933,0.0,0.0,0.015,0.08266986501266944
160190347,7.2196,13.0658,7.696,0.0,0.0,0.015,0.08266986501266944
160190371,7.2126,13.0534,7.6667,0.0,0.0,0.0149,0.08321729873508964
160190395,7.1946,13.0192,7.6328,0.0,0.0,0.0148,0.08377203058083679
160190417,7.1946,13.0192,7.6328,0.0,0.0,0.0148,0.08377203058083679
160190440,7.1789,12.9171,7.6101,0.0,0.0,0.0148,0.08377203058083679
160190464,7.1558,12.9073,7.5556,0.0,0.0,0.0147,0.08433420746488306
160190488,7.1519,12.8876,7.5645,0.0,0.0,0.0147,0.08433420746488306
160190511,7.1439,12.8848,7.5521,0.0,0.0,0.0147,0.08433420746488306
160190534,7.1439,12.8848,7.5521,0.0,0.0,0.0147,0.08433420746488306
160190555,7.1665,12.9581,7.5592,0.0,0.0,0.0147,0.08433420746488306
160190580,7.1089,12.8452,7.5435,0.0,0.0,0.0147,0.08433420746488306
160191886,10.5876,17.567,13.974,0.3947,0.6943,0.3176,0.05463535211139932
160191908,10.5886,17.5427,13.9722,0.3931,0.6927,0.3172,0.05463535211139932
160191931,10.5845,17.5452,13.9697,0.3928,0.6927,0.3172,0.05463535211139932
