detection_id,B,G,R,nB,nG,nR,Compactness
429939697,16.1179,14.5016,22.8151,0.4355,0.3793,0.4878,0.05279893651282317
429939707,26.0001,23.9965,28.2363,0.3696,0.3368,0.3518,0.07435458803139107
429939710,17.9868,16.5446,19.7919,0.2302,0.1885,0.2013,0.09665858053229819
429939736,14.2037,13.5545,16.6695,0.0,0.0,0.017,0.07305779571290515
429939739,43.7011,41.7259,44.7516,0.0,0.0,0.0267,0.04671448198421
429939742,50.1204,47.3799,52.3665,0.2809,0.2687,0.2712,0.042310529255340984
429939744,41.9841,39.4745,46.7093,0.3216,0.3019,0.3115,0.03539794461097376
429939745,41.3342,38.612,49.4904,0.9421,0.8959,0.9986,0.03890479695236772
429939746,20.9252,19.7673,24.2483,0.312,0.2989,0.2939,0.05487392523583279
429939749,23.4695,22.4503,26.1943,2.0425,1.9617,1.7776,0.05347294092237722
429939750,46.3185,43.7877,52.7572,0.0,0.0,0.043,0.02908866427384889
429939761,14.9968,14.4426,22.2746,0.1026,0.0944,0.1414,0.06792432131461863
429939762,14.6142,15.1387,22.5814,0.333,0.3457,0.4476,0.06981099120988524
429939763,18.8504,19.3165,27.1748,0.3421,0.3459,0.4439,0.07263552511680024
429939764,14.1541,14.6846,22.2303,0.2979,0.3069,0.3995,0.06866661880204716
429939765,17.7,18.3933,27.0163,0.4123,0.4272,0.5578,0.06411244968272661
429939766,20.1881,20.8611,29.7408,0.3882,0.4013,0.5198,0.06477336728387235
429939767,16.9076,17.3477,25.6805,0.3864,0.3958,0.5128,0.06251769380643689
429939768,15.5669,14.8166,18.3229,0.0854,0.0493,0.0419,0.07348500463068167
429939776,18.6076,17.6874,23.6542,0.1288,0.1224,0.1551,0.07180546030797123
429939780,24.7308,24.221,35.4877,0.2032,0.1957,0.2603,0.04569528448132631
429939847,19.201,19.0043,27.6451,0.0057,0.0071,0.1278,0.06041383338136221
429939848,16.1682,14.6378,19.9682,0.0,0.0,0.0156,0.08212958633865283
429939853,21.9782,21.3824,30.5014,0.0452,0.0378,0.1582,0.05463535211139932
429939854,35.2772,31.7584,41.2814,1.3727,1.1973,1.3645,0.050670018704328156
429939856,16.8805,15.9815,23.7235,0.0,0.0,0.0214,0.058176383157876974
429939870,12.2082,12.2188,15.6879,0.0968,0.0979,0.1087,0.07756719641593564
429939871,13.9962,14.0861,17.5439,0.0994,0.1012,0.1113,0.07615699026400004
429939872,10.3532,10.3979,13.454,0.0616,0.0636,0.068,0.08849111644335216
429939891,20.6527,19.8488,22.5391,0.6269,0.5941,0.5694,0.06904388481989716
429939892,24.6206,23.6563,26.7946,0.4083,0.3849,0.3799,0.05872006370526449
429939894,22.4928,21.6345,24.2138,0.3703,0.3543,0.332,0.06579069379816853
429939896,23.1056,22.2283,25.4123,0.3072,0.2893,0.2822,0.058176383157876974
429939897,22.5854,21.7341,24.7894,0.2794,0.2626,0.2579,0.0607056738604871
429939919,26.7613,24.6109,32.5501,0.1302,0.1225,0.1552,0.05108195634991484
429939977,41.2303,41.3711,46.7366,0.1641,0.1641,0.1851,0.059274001684944774
429939978,69.838,68.3829,82.6732,0.3088,0.3088,0.3406,0.0406674373693737
429939979,32.4979,32.3357,41.2072,0.1326,0.1326,0.1633,0.0406674373693737
429939983,55.887,54.4995,67.1085,0.2452,0.2452,0.2698,0.050670018704328156
429939984,21.0265,21.027,24.9313,0.0839,0.0839,0.099,0.08212958633865283
429940028,71.9276,71.2282,80.5872,0.2928,0.2928,0.3197,0.04636973518878762
429940029,72.9256,70.7256,83.9132,0.3078,0.3078,0.3348,0.046199262889625364
429940030,35.1525,33.8753,41.4538,0.1457,0.1457,0.1652,0.06378702284985524
429940031,20.0816,19.9726,24.4636,0.08,0.08,0.0971,0.07263552511680024
429940045,32.1105,30.3468,38.2006,0.1276,0.1276,0.1537,0.04778018079289879
429940047,54.6346,53.6173,61.6417,0.2232,0.2232,0.245,0.057118675464029094
429940048,49.5185,48.1212,55.2606,0.2011,0.2011,0.2216,0.0607056738604871
429940053,27.4941,26.5779,31.6884,0.1095,0.1095,0.1256,0.077091360650504
429940055,28.0575,28.5783,39.562,0.41,0.4241,0.5718,0.0539319190680174
