detection_id,B,G,R,nB,nG,nR,Compactness
427693877,7.7135,7.9214,8.2227,0.0302,0.0308,0.0354,0.07348500463068167
427693878,8.4621,8.5001,9.1612,0.048,0.0498,0.0473,0.06510896233025722
427693879,11.0094,10.9429,11.2961,0.0853,0.0854,0.0661,0.05983849013957345
427693880,11.2083,11.1099,11.888,0.0749,0.0753,0.0676,0.05487392523583279
427693896,5.852,5.892,6.3061,0.0,0.0,0.0135,0.09172037375316221
427693898,6.7043,6.721,7.1516,0.0,0.0001,0.0154,0.08055030487456037
427693902,5.5028,5.3251,4.8729,0.0,0.0,0.0126,0.09816868357674101
427693905,5.4556,5.6253,6.5183,0.0007,0.0007,0.0173,0.08433420746488306
427693906,4.957,5.1279,6.6625,0.0002,0.0002,0.0168,0.08321729873508964
427693910,5.1223,6.3226,14.9031,0.0949,0.1127,0.2532,0.11022268844923072
427693923,4.1034,4.0285,6.9188,0.0088,0.0086,0.0208,0.09519422993221213
427693924,4.4648,4.452,6.9803,0.0103,0.0111,0.0203,0.1021587506273488
427693925,5.1794,5.0721,7.8323,0.033,0.0357,0.0337,0.09172037375316221
427693926,4.6478,4.6639,7.074,0.0236,0.0236,0.0279,0.09816868357674101
427693928,5.4174,5.7195,6.745,0.0039,0.0042,0.0145,0.10648688664370398
427693929,6.7573,6.9734,7.7672,0.0076,0.0075,0.0187,0.0937735836449438
427693930,7.1843,7.4924,8.1991,0.0045,0.0047,0.0173,0.08787235948346774
427693931,8.0529,8.1204,8.7513,0.0347,0.0344,0.0368,0.08321729873508964
427693932,9.7349,9.7681,10.8155,0.1308,0.1314,0.093,0.06684048540909966
427693935,8.2685,8.3638,8.8614,0.0533,0.0543,0.0479,0.08490398027194407
427693945,5.0608,6.4416,15.1305,0.0526,0.0606,0.1171,0.07348500463068167
427693946,9.6757,9.9187,10.6253,0.0442,0.0468,0.0439,0.0752449975094086
427693947,4.7569,5.813,13.803,0.0314,0.0361,0.0806,0.07615699026400004
427693959,3.6241,4.8515,10.367,0.0136,0.0186,0.042,0.08212958633865283
427693980,10.3273,10.5955,11.3778,0.0279,0.0292,0.0316,0.08106994029334431
427693981,3.4738,4.3843,9.7037,0.0,0.0,0.0153,0.08106994029334431
427693986,10.9057,11.2741,11.8047,0.0764,0.0804,0.0605,0.08212958633865283
427693987,10.9915,11.0999,12.3129,0.0451,0.0463,0.0463,0.07953076456813789
427693994,5.9687,6.1587,7.262,0.025,0.0271,0.0269,0.1132011898318306
427693996,7.4877,7.6834,8.7194,0.0454,0.0471,0.0388,0.1038470904936626
427694003,9.7184,9.9898,11.5152,0.0469,0.0518,0.0447,0.08666044549832956
427694005,9.6387,9.9924,11.4972,0.0461,0.0525,0.0448,0.08377203058083679
427694007,8.3266,8.5212,10.0974,0.0448,0.0481,0.0428,0.09040079679516942
427694009,8.9187,8.9069,10.7633,0.0636,0.0659,0.0601,0.09105580497377844
427694010,8.5982,8.697,10.349,0.0564,0.0582,0.0533,0.08849111644335216
427694026,3.2165,3.6146,6.3895,0.0021,0.0022,0.016,0.08666044549832956
427694029,4.1045,4.3287,6.9913,0.0,0.0,0.017,0.07305779571290515
427694030,4.3954,4.5658,7.4383,0.0,0.0,0.0172,0.07221810771057427
427694031,4.8815,5.1106,7.9058,0.0,0.0,0.0179,0.06942531913488556
427694032,5.1061,5.039,7.269,0.0,0.0,0.0148,0.08377203058083679
427694034,5.8149,5.9253,7.9236,0.0029,0.0028,0.0174,0.08055030487456037
427694036,5.6006,5.7918,8.0995,0.018,0.0198,0.0396,0.07479714303071543
427694038,7.9585,7.6738,11.0637,0.0491,0.0467,0.0706,0.06100034753906654
427694039,7.5078,7.4715,10.8346,0.0427,0.0415,0.0688,0.06251769380643689
427694040,6.9625,7.1591,9.9321,0.0439,0.0423,0.0669,0.06719790044098876
427694041,5.2434,5.045,7.2995,0.0129,0.0124,0.0278,0.09040079679516942
427694042,5.0122,5.1054,7.2026,0.0031,0.003,0.0165,0.08787235948346774
427694063,6.9509,6.6703,8.3825,0.024,0.0246,0.0333,0.08212958633865283
427694064,12.0908,11.8753,12.7346,0.1147,0.1169,0.0888,0.08849111644335216
427694072,8.2686,7.8934,9.5295,0.053,0.0518,0.0529,0.11219063124580061
427694073,6.1576,5.8261,7.2937,0.0524,0.0527,0.0545,0.10648688664370398
427694074,8.1172,7.4049,9.8281,0.0343,0.0312,0.0379,0.11022268844923072
427694076,8.2355,7.9118,9.9329,0.0449,0.0431,0.0491,0.10648688664370398
427694077,5.7936,5.4581,6.8945,0.0375,0.0383,0.0412,0.11022268844923072
427694078,5.4928,5.3929,6.7626,0.0443,0.0442,0.0485,0.10471236017896915
427694079,5.6139,5.4039,6.9025,0.041,0.0414,0.0434,0.10299600257653854
427694080,5.4003,5.2011,6.975,0.0377,0.0385,0.0433,0.09972671719555438
427694097,11.885,11.4749,12.5914,0.123,0.1274,0.1095,0.0675591583065621
427694100,11.7375,11.4049,12.7903,0.1011,0.1083,0.0957,0.06220821570931003
427694102,9.9302,9.5397,10.9821,0.0628,0.0644,0.0651,0.06510896233025722
427694104,9.19,8.4327,10.3572,0.0512,0.0492,0.0579,0.07099415216660818
427694105,9.7588,8.8405,10.7976,0.0654,0.0634,0.0676,0.07348500463068167
427694107,8.642,7.9694,9.934,0.089,0.0872,0.0828,0.07221810771057427
427694108,8.1026,7.479,9.3542,0.0649,0.0634,0.065,0.07263552511680024
427694109,7.5465,6.9631,8.7801,0.0561,0.0536,0.0579,0.07305779571290515
427694116,3.3381,3.4517,8.3518,0.0002,0.0004,0.0224,0.0607056738604871
427694127,6.1611,5.8327,7.2077,0.0428,0.0406,0.0444,0.10559216905199818
427694150,7.6295,7.6718,8.2841,0.0683,0.072,0.0597,0.09519422993221213
427694154,7.3425,7.3366,8.2802,0.0847,0.0884,0.0735,0.09972671719555438
