detection_id,B,G,R,nB,nG,nR,Compactness
429364000,14.4858,13.0756,17.8355,0.4437,0.3956,0.4222,0.07099415216660818
429364004,17.2844,15.0338,19.1466,0.356,0.3107,0.3304,0.077091360650504
429364005,20.3135,20.0539,23.3225,0.1914,0.1856,0.1897,0.06866661880204716
429364016,24.7938,24.4616,25.8825,0.0,0.0001,0.0216,0.06829345312829196
429364017,26.8688,26.2295,27.7281,2.7114,2.6158,2.3216,0.06792432131461863
429364019,26.8066,23.0196,26.9774,0.5034,0.4224,0.4286,0.06792432131461863
429364023,22.9879,22.418,23.5478,0.3726,0.3726,0.3269,0.07263552511680024
429364040,14.5545,14.2883,15.8022,1.8114,1.7721,1.4858,0.08106994029334431
429364042,15.3274,15.0539,16.0,1.8177,1.7784,1.4895,0.09105580497377844
429364065,18.6955,16.7501,19.0706,0.1891,0.1652,0.1599,0.08548150399146558
429364068,26.0377,25.5292,27.9531,0.109,0.109,0.1302,0.05790830079919458
429364077,42.5585,41.8592,46.9525,1.1919,1.1803,1.124,0.03762352482182404
429364078,18.3338,18.0022,22.8359,0.5106,0.5028,0.5045,0.056098740702361524
429364104,36.9028,36.3228,35.415,0.2511,0.2362,0.2361,0.07221810771057427
429364106,27.7555,27.7898,29.3194,0.1119,0.1119,0.1372,0.04889563761385481
429364113,21.8093,22.2308,28.9486,0.2486,0.2541,0.287,0.049668666921834095
429364119,22.3115,21.9768,23.5147,0.0,0.0,0.0174,0.07139750161301212
429364120,15.3462,15.1046,19.092,0.1198,0.1122,0.126,0.07804894248762141
429364121,23.6961,23.3465,24.9977,0.2998,0.2926,0.2762,0.06684048540909966
429364122,16.8064,16.8767,20.6676,0.0893,0.0862,0.1013,0.07804894248762141
429364123,14.8172,14.4972,15.6046,0.0,0.0,0.0121,0.1021587506273488
429364125,15.2216,14.9031,16.243,0.0,0.0,0.0129,0.09592081711552267
429364127,14.4706,14.1842,15.4132,0.0,0.0,0.0122,0.10133499999681532
429364131,10.7717,10.6153,14.0348,0.112,0.1085,0.1209,0.10133499999681532
429364139,14.6183,14.4715,15.222,0.0,0.0,0.0125,0.09894156757337469
429364141,14.8332,14.4452,15.8533,1.1717,1.141,1.0202,0.10559216905199818
429364144,14.9072,14.3804,15.8969,0.0,0.0,0.0124,0.09972671719555438
429364148,9.8815,9.8981,14.1609,0.0443,0.0484,0.0862,0.10559216905199818
429364150,14.0673,13.6294,15.0623,0.0,0.0,0.0117,0.10559216905199818
429364153,14.1017,13.6071,15.0725,0.0,0.0,0.0119,0.1038470904936626
