detection_id,B,G,R,nB,nG,nR,Compactness
161589167,2.882,4.0088,10.2696,0.0171,0.0243,0.0538,0.09894156757337469
161589966,4.1197,5.2576,12.2792,0.0254,0.03,0.0596,0.08266986501266944
161590044,4.6743,5.858,13.7148,0.012,0.0154,0.0391,0.07391723900466864
161590125,4.7011,5.7979,13.6598,0.0177,0.0197,0.0459,0.07391723900466864
161590206,4.6818,5.7749,13.6725,0.0177,0.0197,0.0461,0.07305779571290515
161590287,4.6308,5.711,13.5817,0.0165,0.0183,0.0438,0.07305779571290515
161590367,4.9862,6.1854,14.2421,0.0289,0.035,0.0669,0.07569824722699373
161590445,4.9825,6.051,14.159,0.0357,0.0403,0.0749,0.07569824722699373
161591567,3.8994,4.3457,10.3195,0.0,0.0,0.0152,0.0815963233535219
161591644,3.9109,4.334,10.3538,0.0,0.0,0.0153,0.08106994029334431
161591727,3.8877,4.3309,10.3118,0.0,0.0,0.0153,0.08106994029334431
161591889,3.787,4.2115,10.1204,0.0,0.0,0.0149,0.08321729873508964
161591966,3.7034,4.0896,9.8667,0.0,0.0,0.0146,0.08490398027194407
161592046,3.6575,4.0563,9.8092,0.0,0.0,0.0146,0.08490398027194407
161592686,2.7122,3.7233,9.6606,0.0006,0.0009,0.0146,0.0937735836449438
161593003,4.2661,5.5313,13.2736,0.0137,0.0166,0.0425,0.07853670966610296
161593082,4.2601,5.5495,13.2468,0.0128,0.0155,0.0403,0.07853670966610296
161593404,6.753,8.1505,19.2685,0.009,0.0122,0.043,0.06100034753906654
161593561,7.7366,9.3797,22.1462,0.0127,0.018,0.0515,0.05737948033237819
161593640,7.7166,9.3515,22.0431,0.0127,0.018,0.0513,0.05790830079919458
161594790,4.6467,5.5495,13.7854,0.0021,0.002,0.0211,0.06829345312829196
161595037,3.7723,4.3929,11.5038,0.0037,0.004,0.0227,0.07435458803139107
161597869,4.0674,4.4428,10.4857,0.0011,0.0013,0.0166,0.08433420746488306
161598193,10.6123,11.9364,24.4942,0.0342,0.0454,0.0936,0.05279893651282317
161599900,6.2816,7.6372,19.1994,0.0214,0.0281,0.0714,0.05302170881884524
161604519,10.1185,10.1725,12.357,0.0807,0.0798,0.086,0.10926437976474195
161604599,10.1573,10.1977,12.3733,0.0824,0.082,0.0867,0.10926437976474195
161604681,10.8896,10.6746,13.2548,0.1028,0.0966,0.1004,0.1021587506273488
161604758,11.2542,10.9462,13.9491,0.1404,0.1355,0.141,0.09592081711552267
161605310,18.4028,19.5168,27.6421,0.2078,0.2143,0.2572,0.06378702284985524
161605389,17.0245,17.6839,24.9561,0.1621,0.1651,0.1916,0.07263552511680024
161605469,17.0615,17.5901,24.9825,0.1627,0.1652,0.1913,0.07305779571290515
161605861,10.2587,9.6219,14.2227,0.6712,0.6143,0.6694,0.0752449975094086
161605940,12.4937,11.7611,16.6818,0.6984,0.6408,0.722,0.07263552511680024
161606017,12.5214,11.7846,16.7373,0.7049,0.6463,0.7275,0.07221810771057427
161606258,13.1489,12.37,16.8379,0.5537,0.51,0.5598,0.0815963233535219
161607132,4.5201,5.0461,11.6031,0.0105,0.0136,0.0362,0.07569824722699373
161607212,4.5958,5.0644,11.6735,0.0053,0.0069,0.0266,0.07479714303071543
161607375,6.1934,6.6117,13.9518,0.0147,0.0168,0.0412,0.07479714303071543
161607455,6.9293,7.4464,15.43,0.0242,0.0285,0.0605,0.06866661880204716
161608086,10.0229,11.2661,23.3027,0.0706,0.0894,0.1567,0.05192625725187585
161608164,9.7532,11.1137,22.092,0.0499,0.0623,0.118,0.05844695914181379
161608244,10.2523,11.7403,22.9926,0.0541,0.0671,0.1251,0.05686023067241032
161608325,10.2725,11.7547,23.0475,0.0555,0.0688,0.1267,0.05660411406725943
161608403,10.6285,12.0664,23.7302,0.0769,0.094,0.1723,0.0541643755046309
161608957,12.67,15.0844,28.757,0.0443,0.0589,0.1204,0.05257802831020273
161609269,12.3683,14.2247,27.3026,0.0418,0.0554,0.1089,0.05686023067241032
161609350,13.886,15.7625,30.146,0.0417,0.0559,0.1144,0.05347294092237722
161609828,6.5201,8.0522,19.2513,0.0146,0.0208,0.0605,0.05302170881884524
161610227,4.8264,6.075,15.5889,0.0321,0.0344,0.073,0.06159836113714365
161611423,30.5919,29.0831,27.7508,0.3374,0.2992,0.2309,0.07756719641593564
161611906,34.1798,32.6827,30.6636,0.2869,0.2628,0.1955,0.077091360650504
161612230,24.4345,23.4459,23.1537,0.2929,0.2723,0.1936,0.08212958633865283
161612787,22.0716,21.1043,21.4079,0.1881,0.1677,0.1358,0.07305779571290515
161612945,25.5846,24.2548,24.2122,0.2007,0.1678,0.1355,0.06579069379816853
161615307,37.6681,33.6219,33.8222,0.6448,0.5626,0.4569,0.04552972625896745
161615385,37.7451,33.4482,33.4659,0.6022,0.5154,0.4189,0.04851807655625124
161615623,33.2127,29.5921,29.3394,0.5167,0.4441,0.3542,0.05302170881884524
161615775,30.5183,27.1917,27.3046,0.4583,0.3929,0.3164,0.05463535211139932
161615853,24.6182,22.0477,23.245,0.3565,0.3003,0.2586,0.0607056738604871
161615928,24.8743,22.3572,23.3812,0.3745,0.3134,0.2641,0.0607056738604871
161616007,23.4552,20.9938,22.2938,0.3244,0.27,0.2352,0.06411244968272661
161616083,22.0729,19.7517,21.2542,0.3584,0.3047,0.2634,0.06510896233025722
161616163,23.0922,20.7807,21.8591,0.4484,0.3932,0.3215,0.06251769380643689
161616709,16.0747,14.7307,17.706,0.4072,0.3695,0.3588,0.07953076456813789
161616790,16.85,15.2853,18.7925,0.5305,0.4783,0.4627,0.07662132709270902
161616870,16.8227,15.2632,18.7498,0.5317,0.4798,0.4581,0.077091360650504
161617258,9.814,9.1367,14.1104,0.3751,0.3528,0.3989,0.07435458803139107
161617498,6.689,6.4771,10.7578,0.2185,0.2165,0.2648,0.09519422993221213
161617655,14.2034,14.1233,21.1134,0.551,0.5499,0.6934,0.06684048540909966
161618043,8.3843,8.2625,13.972,0.6106,0.6045,0.7253,0.07221810771057427
161618122,8.0616,7.9515,13.5642,0.547,0.5405,0.6527,0.07305779571290515
161618201,10.7197,10.6521,17.3766,0.5724,0.5688,0.6904,0.06159836113714365
161618279,10.2509,10.1549,16.6041,0.4802,0.4761,0.5805,0.06444121395927624
161618357,9.0269,8.9561,14.8933,0.7409,0.7352,0.8783,0.06866661880204716
161618436,8.9955,8.9109,14.8884,0.6804,0.6748,0.8088,0.06829345312829196
