detection_id,B,G,R,nB,nG,nR,Compactness
433073659,14.7736,16.3923,7.7561,0.2201,0.2503,0.0327,0.09239471398211957
433073634,11.5315,13.5126,6.2243,0.3171,0.3824,0.0679,0.10299600257653854
433073635,14.6867,16.6608,7.2429,0.2782,0.3335,0.0436,0.09307904275505513
433073636,18.9274,20.3273,7.9638,0.4007,0.4276,0.0495,0.08055030487456037
433073637,20.7551,21.8833,8.6939,0.3841,0.3916,0.054,0.0675591583065621
433073638,16.8751,17.6972,8.0592,0.399,0.3902,0.0588,0.059274001684944774
433073639,15.5668,16.3078,8.2796,0.1947,0.1938,0.0379,0.05257802831020273
433073643,8.6084,10.1754,6.1903,0.1871,0.2205,0.0462,0.08490398027194407
433073644,15.7144,18.7672,8.2151,0.3879,0.4431,0.0706,0.07139750161301212
433073645,15.5959,18.9751,8.2768,0.2959,0.3354,0.0595,0.07180546030797123
433073646,16.3739,21.9802,10.4343,0.1541,0.187,0.0476,0.06346488289866778
433073628,16.5797,19.1246,9.6301,0.2799,0.3334,0.0839,0.09105580497377844
433073611,19.9482,23.5136,12.1005,0.3332,0.4104,0.1253,0.08321729873508964
433073613,43.5625,53.725,20.0711,0.4581,0.5512,0.0813,0.04706439330664793
433073615,42.5812,48.9355,18.8004,0.628,0.7036,0.1314,0.05129044711249124
433073617,37.491,45.2179,18.6892,0.548,0.6912,0.1336,0.05463535211139932
433073618,28.585,32.3551,12.465,0.2621,0.2815,0.0386,0.058176383157876974
433073620,8.5429,9.7716,5.2477,0.0,0.0,0.0192,0.06477336728387235
433073594,4.9754,5.4007,3.4076,0.0,0.0,0.0117,0.10559216905199818
433073595,8.2208,7.8299,4.2131,0.0,0.0,0.0145,0.08548150399146558
433073596,9.7783,9.4356,5.2861,0.0,0.0,0.0178,0.06981099120988524
433073597,9.3043,8.9484,4.8232,0.0154,0.0141,0.0189,0.07263552511680024
433073598,10.2069,10.2935,4.864,0.0276,0.0277,0.0208,0.08003728818317192
433073599,9.1182,9.1509,4.3782,0.0201,0.0201,0.0203,0.08433420746488306
433073600,7.9962,8.3094,4.8786,0.0354,0.0404,0.0272,0.07348500463068167
433073601,6.8934,6.6588,5.0986,0.0138,0.0112,0.0194,0.0661369411690469
433073605,17.4243,14.4097,6.3398,0.5591,0.454,0.0636,0.08787235948346774
433073609,10.7117,14.8183,12.4439,0.1481,0.2241,0.132,0.09447856694680049
433073557,8.5236,11.3464,7.0175,0.1564,0.2041,0.0799,0.08849111644335216
433073562,9.6359,13.6978,8.8051,0.1873,0.2699,0.1039,0.1021587506273488
433073567,13.5159,20.4422,12.1078,0.2794,0.4478,0.179,0.07221810771057427
433073569,16.1544,24.5602,14.2447,0.3342,0.5162,0.1917,0.07020097205976435
433073570,16.2184,24.6303,14.4768,0.2466,0.3971,0.142,0.07139750161301212
433073571,16.5683,24.125,14.3164,0.203,0.3644,0.1335,0.07804894248762141
433073574,14.7587,21.4183,12.5604,0.1414,0.2588,0.0975,0.08003728818317192
433073575,13.8702,19.9279,11.7178,0.0999,0.2003,0.0716,0.08666044549832956
433073576,10.952,16.5989,11.3606,0.0916,0.1706,0.0728,0.07435458803139107
433073577,10.759,15.4967,10.8247,0.1437,0.2087,0.084,0.07139750161301212
433073578,11.106,15.9315,11.615,0.15,0.2102,0.0875,0.0661369411690469
433073590,17.7531,24.6785,14.5379,0.1638,0.2965,0.1059,0.08106994029334431
433073591,14.2496,19.6407,11.5382,0.1076,0.1915,0.0513,0.0937735836449438
433073592,9.7142,13.8471,8.9955,0.1195,0.1927,0.0745,0.08849111644335216
433073593,7.7952,10.5166,6.3957,0.0793,0.1178,0.0348,0.11634512054520679
433073532,19.6462,28.8686,19.6087,0.2716,0.4552,0.2249,0.06220821570931003
433073531,8.1703,15.3253,11.1085,0.1353,0.2105,0.0936,0.06904388481989716
433073518,13.858,23.2691,15.3394,0.2623,0.3902,0.1663,0.06190178642991358
433073522,15.6308,28.926,21.6082,0.2537,0.4406,0.2383,0.05660411406725943
433073500,22.9985,26.6769,14.0409,0.9992,1.0717,0.2314,0.07180546030797123
433073501,27.4404,31.1737,14.7265,1.008,1.1062,0.2376,0.06346488289866778
433073503,30.4572,33.7705,14.922,1.2059,1.2564,0.228,0.05790830079919458
433073504,24.9453,30.4976,16.0418,0.3939,0.5502,0.2345,0.06444121395927624
433073505,17.2374,23.2025,13.7962,0.2659,0.43,0.1814,0.077091360650504
433073506,21.52,29.0529,18.2305,0.3501,0.5252,0.2377,0.059274001684944774
433073510,4.038,11.2053,10.3212,0.0055,0.0158,0.0254,0.06579069379816853
433073517,1.3455,3.3383,3.8979,0.0,0.0,0.0115,0.10739689511380088
433073473,4.6428,10.7879,8.915,0.0071,0.0169,0.0242,0.07180546030797123
433073488,8.3333,16.2575,16.2514,0.1843,0.3608,0.2758,0.06100034753906654
433073490,6.3779,12.0064,12.0545,0.1908,0.3518,0.2583,0.06220821570931003
433073491,5.2015,10.3183,9.8295,0.1112,0.2181,0.1465,0.07756719641593564
433073492,4.2707,8.1378,8.5035,0.0897,0.1612,0.1162,0.08606693785815557
433073493,6.8454,8.8306,7.0804,0.1361,0.1704,0.1107,0.08787235948346774
433073465,11.2299,14.8169,10.9711,0.221,0.3025,0.1702,0.08212958633865283
433073466,10.8959,14.9046,10.7851,0.1708,0.2437,0.1178,0.08787235948346774
