detection_id,B,G,R,nB,nG,nR,Compactness
432954149,2.8656,3.0952,4.0962,0.0199,0.0227,0.025,0.1794818739290955
432954155,1.3012,1.3909,2.6817,0.0064,0.007,0.0108,0.18208192715442573
432954201,2.4831,2.452,3.7867,0.0412,0.041,0.0407,0.1963000700655754
432954219,13.2267,13.9062,11.627,0.3131,0.3342,0.1965,0.09816868357674101
432954222,2.7222,2.8538,3.7487,0.0236,0.026,0.0191,0.1903544897796419
432954231,3.1354,3.3134,4.0251,0.1178,0.1269,0.0953,0.19328157927359077
432954234,2.1473,2.2019,3.4336,0.0752,0.0776,0.0693,0.18208192715442573
432954237,2.095,2.1076,3.4357,0.0531,0.054,0.0504,0.1903544897796419
432954239,2.2674,2.4276,3.2285,0.1171,0.1252,0.0854,0.18751471302418415
432954241,2.1376,2.2254,2.9551,0.0594,0.0615,0.041,0.1963000700655754
432954242,1.5134,1.7049,2.8168,0.0204,0.0219,0.0174,0.1903544897796419
432954244,2.7609,2.9508,3.4303,0.088,0.0947,0.0561,0.19328157927359077
432954245,1.6125,1.7839,2.7884,0.0304,0.0313,0.0242,0.19328157927359077
432954247,1.8753,2.0618,2.8472,0.0366,0.0384,0.0284,0.19328157927359077
432954248,2.0279,2.1862,2.959,0.0219,0.0239,0.0181,0.19328157927359077
432954250,1.5522,1.6398,2.6429,0.0347,0.0344,0.0258,0.19328157927359077
432954251,1.7953,1.8796,2.7171,0.0096,0.01,0.011,0.19328157927359077
432954306,23.3461,25.2462,16.1537,0.0366,0.0911,0.0303,0.08490398027194407
432954307,37.608,38.2905,32.2401,0.3998,0.4129,0.2615,0.05214171140333059
432954308,26.7183,28.9547,20.1622,0.067,0.1023,0.0598,0.06579069379816853
432954309,17.7894,18.2182,15.5977,0.2243,0.228,0.161,0.10926437976474195
432954310,3.6764,4.1849,6.473,0.0346,0.0417,0.0491,0.11119795425652645
432954314,5.016,5.3867,6.1723,0.0369,0.0398,0.0292,0.12691981982432735
432954316,6.6647,7.0535,6.1765,0.1238,0.1329,0.0758,0.1336693370934263
432954318,3.3284,3.5818,3.6538,0.0527,0.0568,0.0367,0.19941430995731257
432954323,2.9341,3.0819,3.8882,0.045,0.0481,0.0418,0.2059488517353309
432954324,0.882,1.0219,2.804,0.0028,0.003,0.0088,0.19941430995731257
432954327,3.2618,3.2359,4.6387,0.0484,0.0483,0.0525,0.1963000700655754
432954362,0.9049,0.9926,2.6085,0.0242,0.0258,0.0321,0.17695501477362918
432954376,16.8583,17.5919,15.4266,0.3769,0.4016,0.2914,0.09592081711552267
432954384,33.6463,35.1451,32.9623,0.7005,0.7415,0.5499,0.06283026644890574
