detection_id,B,G,R,nB,nG,nR,Compactness
432977132,5.6783,7.8029,5.1352,0.0142,0.0169,0.0181,0.08548150399146558
432977142,2.5971,6.1681,4.3011,0.0,0.0034,0.0134,0.09239471398211957
432977150,22.9075,28.2011,10.778,0.1907,0.2779,0.0748,0.06444121395927624
432977156,12.0997,13.828,6.3609,0.0486,0.0764,0.027,0.09740778003073822
432977162,16.1441,19.3085,8.0215,0.0625,0.0939,0.0268,0.08003728818317192
432977169,3.5697,4.4651,3.4526,0.0084,0.0107,0.0138,0.1021587506273488
432977189,14.1417,15.4147,7.8731,0.2002,0.2272,0.0689,0.09172037375316221
432977191,6.9561,8.8862,4.4566,0.0539,0.0656,0.023,0.10471236017896915
432977193,8.6196,10.1299,4.9785,0.0898,0.1027,0.0354,0.10052442674077641
432977199,8.2748,9.4728,5.0186,0.4835,0.5157,0.139,0.09307904275505513
432977201,4.8305,8.279,4.0068,0.0445,0.0651,0.0195,0.09519422993221213
432977202,11.4399,14.1934,5.796,0.0985,0.1468,0.0439,0.09592081711552267
432977204,10.1708,15.1047,6.0782,0.4124,0.525,0.1275,0.08975514439115811
432977205,15.3458,19.2965,7.106,0.0856,0.1398,0.0374,0.0815963233535219
432977221,3.1002,6.4723,4.0541,0.0036,0.0117,0.0181,0.08212958633865283
432977222,2.9516,6.9738,3.7772,0.015,0.0279,0.019,0.09105580497377844
432977246,10.9733,13.8975,7.318,0.2633,0.2512,0.0681,0.05844695914181379
432977247,5.3794,6.5255,4.6765,0.0371,0.0519,0.0297,0.07391723900466864
432977248,10.5573,15.3315,6.5252,0.2681,0.3642,0.0594,0.06579069379816853
432977249,10.3382,12.1894,5.4642,0.2509,0.265,0.047,0.07348500463068167
432977253,13.267,15.8457,6.9207,0.1461,0.181,0.0315,0.06942531913488556
432977255,7.1238,8.7862,5.1716,0.0782,0.093,0.0273,0.07059533429497317
432977265,3.128,5.4804,3.3404,0.0058,0.01,0.0123,0.10926437976474195
432977267,4.1165,4.6535,3.2126,0.0057,0.0065,0.0129,0.10648688664370398
432977268,3.6195,4.2498,3.1119,0.008,0.0078,0.0136,0.10739689511380088
