detection_id,B,G,R,nB,nG,nR,Compactness
432392479,5.355,5.975,9.9738,0.0452,0.0523,0.0748,0.10052442674077641
432392480,5.5971,6.0523,10.4855,0.0649,0.0736,0.1051,0.10299600257653854
432392483,6.1182,6.6131,11.63,0.1862,0.1935,0.2505,0.09307904275505513
432392484,6.7178,7.3367,12.4672,0.2385,0.2567,0.3234,0.08849111644335216
432392487,8.0315,8.7104,13.5529,0.2988,0.3193,0.392,0.09592081711552267
432392490,6.8654,7.5019,13.5463,0.1682,0.1862,0.2379,0.07348500463068167
432392491,6.7849,7.781,13.1004,0.1567,0.1788,0.2251,0.07756719641593564
432392493,7.3319,8.1604,13.3101,0.1179,0.1367,0.1619,0.0752449975094086
432392494,6.5712,7.9546,12.691,0.1501,0.1893,0.2268,0.08321729873508964
432392495,6.1354,7.4695,12.4922,0.1147,0.1411,0.1753,0.08003728818317192
432392500,15.4511,19.1147,34.1119,0.5243,0.6548,0.8937,0.04569528448132631
432392506,6.4882,7.4865,12.8319,0.145,0.17,0.2152,0.07139750161301212
432392508,0.5023,0.696,6.4578,0.0013,0.0096,0.0531,0.06220821570931003
432392509,0.6724,0.8282,6.8595,0.0084,0.0105,0.0554,0.05872006370526449
432392515,8.1684,9.6612,18.4962,0.1565,0.1869,0.2788,0.06012478543760053
432392516,5.2579,5.3969,11.1302,0.3395,0.3426,0.4838,0.09447856694680049
432392517,8.3143,8.3765,15.8721,0.514,0.5202,0.7295,0.08106994029334431
432392519,5.0349,5.1916,12.3513,0.1172,0.1188,0.1813,0.08266986501266944
432392520,4.9755,4.9572,12.5886,0.1507,0.1479,0.2431,0.07756719641593564
432392522,11.7941,15.3186,14.8832,0.157,0.216,0.1618,0.07804894248762141
432392528,22.2231,23.5084,26.3227,0.137,0.1521,0.1563,0.09040079679516942
432392529,22.1202,23.3868,27.046,0.1291,0.1402,0.1538,0.07903061153879146
432392530,16.482,17.3925,22.8904,0.3341,0.3572,0.4215,0.09105580497377844
432392531,17.8086,18.7334,26.6046,0.3468,0.3711,0.461,0.07139750161301212
432392533,53.013,58.3467,80.9385,1.2827,1.4235,1.8407,0.038546784180377484
432392534,42.9022,45.3572,63.3717,0.6004,0.6461,0.9212,0.05370144932732833
432392535,26.1004,27.9056,42.2157,0.5447,0.5952,0.8583,0.05635029433027713
432392536,1.1354,2.1038,9.5305,0.0021,0.0019,0.0311,0.07020097205976435
432392537,0.9509,1.9313,9.6603,0.0078,0.0091,0.046,0.06904388481989716
432392538,0.4829,1.0406,13.6566,0.0,0.0,0.0948,0.0607056738604871
432392540,0.7573,0.62,16.6241,0.0005,0.0005,0.096,0.0607056738604871
432392547,0.8278,1.533,10.2386,0.0004,0.0005,0.066,0.06684048540909966
432392549,0.4174,0.9614,7.5052,0.0147,0.0173,0.0658,0.08787235948346774
432392550,0.2894,0.7376,5.1076,0.0011,0.0,0.0405,0.10832258979485408
432392551,0.7662,1.0545,8.4098,0.0022,0.0016,0.0668,0.07804894248762141
432392552,0.3565,0.4478,8.2455,0.0004,0.0003,0.0596,0.07662132709270902
432392554,1.8451,1.6744,21.9345,0.0193,0.0202,0.1477,0.04348172702451151
432392559,0.9061,1.5149,17.0461,0.0091,0.0095,0.0714,0.06283026644890574
432392560,0.8433,0.9388,14.3032,0.0205,0.0208,0.0792,0.06904388481989716
432392561,0.8309,1.3549,10.0133,0.0,0.0,0.0194,0.07435458803139107
432392562,1.545,2.3884,12.8795,0.0116,0.0149,0.0459,0.07756719641593564
432392563,1.0524,1.8271,10.5859,0.0029,0.0036,0.021,0.09307904275505513
432392564,11.6321,10.1942,12.9349,0.2767,0.2458,0.2369,0.08321729873508964
432392565,11.7317,10.3471,12.9746,0.2899,0.2556,0.2377,0.08377203058083679
432392567,14.6198,13.0786,16.2935,0.3572,0.3337,0.3228,0.077091360650504
432392568,15.7639,14.1451,18.2048,0.3352,0.3045,0.3282,0.06942531913488556
432392590,0.4994,0.8429,7.825,0.001,0.0011,0.09,0.06314598028335774
432392591,0.6163,1.388,8.7185,0.0023,0.0036,0.0816,0.06346488289866778
432392592,0.6624,1.3535,8.3183,0.0025,0.0025,0.076,0.0661369411690469
432392593,1.0519,1.9985,14.3205,0.0045,0.0051,0.1107,0.0406674373693737
432392594,0.8093,1.572,12.3192,0.0013,0.0018,0.1081,0.048146301614186766
432392598,0.629,1.5094,9.92,0.0029,0.005,0.0957,0.05584942297118333
432392599,0.5673,1.2703,9.0307,0.0013,0.003,0.0887,0.06012478543760053
432392600,0.4868,0.923,7.984,0.0008,0.0011,0.0824,0.06378702284985524
432392601,0.5703,1.0211,7.7098,0.0004,0.0006,0.0774,0.0675591583065621
432392602,0.5586,1.0477,7.6905,0.0071,0.0108,0.0779,0.0675591583065621
432392603,0.5941,1.1095,7.6622,0.003,0.0045,0.071,0.06829345312829196
432392604,0.5469,1.2282,7.6792,0.0016,0.0041,0.0668,0.06866661880204716
432392605,0.5491,1.2819,7.7698,0.0055,0.0097,0.0735,0.06866661880204716
432392606,0.5098,1.1987,8.2681,0.0016,0.0023,0.0749,0.06648685222060789
432392607,0.4462,1.0697,8.1993,0.0035,0.0043,0.0761,0.06477336728387235
432392608,0.4991,1.1642,8.3995,0.0007,0.0011,0.0708,0.06444121395927624
432392609,0.4581,1.0732,8.4183,0.0,0.0,0.0682,0.06411244968272661
432392610,0.5138,1.1382,8.6623,0.0,0.0,0.0702,0.06411244968272661
432392612,11.8915,16.99,23.4528,0.1126,0.1958,0.2446,0.05872006370526449
432392613,7.6443,12.2735,19.3636,0.3345,0.5677,0.6537,0.05790830079919458
432392614,4.4655,7.2051,12.3876,0.2741,0.4922,0.6043,0.08490398027194407
432392615,2.8259,6.4044,12.1565,0.0601,0.1564,0.2167,0.09172037375316221
432392616,15.94,20.3416,25.5699,0.3527,0.4504,0.5047,0.077091360650504
432392617,16.0442,21.4165,26.8893,0.4283,0.5766,0.6205,0.06544805286939072
432392618,9.714,14.6655,20.8372,0.2276,0.3813,0.4347,0.06942531913488556
432392619,2.238,2.4467,8.466,0.0206,0.0225,0.0629,0.07615699026400004
432392633,4.7248,4.0775,19.5327,0.0363,0.036,0.1865,0.042027522098831975
432392634,4.2632,4.7477,14.3036,0.0521,0.0593,0.2122,0.05129044711249124
432392635,2.4718,2.2298,12.2375,0.0147,0.0152,0.0997,0.051712576293637055
432392636,0.1589,0.1499,5.7389,0.0,0.0002,0.0882,0.07853670966610296
432392637,2.3197,2.5793,14.6175,0.0124,0.015,0.1472,0.047962542530693694
432392638,2.157,2.1226,11.6916,0.0274,0.0326,0.1533,0.05192625725187585
432392640,0.968,0.8775,13.1459,0.0008,0.0009,0.1691,0.0427422593087034
432392641,2.9259,3.6121,12.8484,0.0355,0.0459,0.1116,0.07020097205976435
432392642,0.675,0.6047,8.7211,0.0,0.0,0.0877,0.06544805286939072
432392643,0.5133,0.3927,9.3075,0.0055,0.0056,0.1008,0.06444121395927624
432392644,1.7088,1.8591,12.1311,0.0257,0.0297,0.163,0.04947312713553582
432392645,5.876,6.2543,17.0181,0.0677,0.0781,0.2295,0.047962542530693694
432392646,0.947,1.3757,11.1508,0.004,0.0081,0.1564,0.047419586082077345
432392647,1.1005,1.0549,10.0265,0.0065,0.0069,0.1349,0.05790830079919458
432392649,0.3827,0.3709,9.7574,0.0037,0.0058,0.1242,0.05046653131091824
432392652,0.1034,0.1036,5.2382,0.0,0.0,0.079,0.09307904275505513
432392655,1.3957,1.6099,7.5921,0.0382,0.0435,0.128,0.08055030487456037
432392656,1.3765,1.663,11.3889,0.0328,0.0375,0.1509,0.05324636892277132
432392661,1.2778,1.6369,15.3489,0.005,0.0045,0.1508,0.046199262889625364
432392666,12.2992,15.3623,19.6894,0.3423,0.4414,0.4654,0.07953076456813789
432392667,14.0985,20.034,26.6287,0.2595,0.3664,0.4352,0.06251769380643689
432392669,2.3024,6.3092,12.275,0.05,0.1363,0.2031,0.10299600257653854
432392673,0.8841,2.0168,7.8305,0.0084,0.0095,0.0397,0.077091360650504
432392674,0.8374,1.3039,8.1348,0.0019,0.0031,0.0701,0.07756719641593564
432392681,0.1111,0.199,8.2817,0.0007,0.0008,0.1141,0.06411244968272661
432392683,0.517,1.2195,7.1197,0.0028,0.0033,0.028,0.08433420746488306
432392684,0.3465,0.9542,6.6739,0.0002,0.0002,0.0252,0.08212958633865283
432392685,4.4582,7.304,18.9761,0.051,0.0645,0.1192,0.06579069379816853
432392686,3.0316,5.2336,14.9099,0.0483,0.0601,0.1067,0.06792432131461863
432392687,1.9905,4.0795,12.6683,0.0155,0.0212,0.0517,0.07059533429497317
432392691,2.4619,3.555,9.5222,0.0279,0.0333,0.0636,0.06981099120988524
432392692,3.3047,4.8849,10.2086,0.0412,0.0513,0.0735,0.11022268844923072
432392693,3.3302,4.9616,10.9135,0.0915,0.1158,0.1493,0.10133499999681532
432392694,3.4409,5.3269,11.6175,0.0621,0.0819,0.1071,0.09519422993221213
432392695,4.5731,7.0796,14.7833,0.0351,0.0432,0.0701,0.07263552511680024
432392696,4.1443,6.4107,13.9917,0.029,0.0349,0.0605,0.07263552511680024
