detection_id,B,G,R,nB,nG,nR,Compactness
431176252,4.8081,7.4988,14.557,0.0,0.0,0.0222,0.056098740702361524
431176257,8.1626,8.6593,7.5793,0.1355,0.1406,0.0862,0.10133499999681532
431176258,12.9177,13.4741,10.732,0.6338,0.6468,0.384,0.08975514439115811
431176259,14.5379,15.1691,11.8504,0.6253,0.6419,0.3793,0.08787235948346774
431176264,18.6762,19.0668,17.2905,0.5109,0.5317,0.3497,0.07059533429497317
431176266,20.6622,20.3524,17.5553,0.1798,0.1783,0.1038,0.07853670966610296
431176268,27.842,27.2707,22.2557,0.2889,0.284,0.1602,0.07479714303071543
431176270,36.6016,36.2474,28.1653,0.5223,0.5229,0.2828,0.06129789587454133
431176271,40.5116,40.3021,30.6891,0.8658,0.8736,0.4767,0.056098740702361524
431176272,43.5811,50.4643,66.248,0.704,0.8431,1.0511,0.05487392523583279
431176273,39.8835,39.5049,30.4683,0.9508,0.9607,0.5437,0.05660411406725943
431176274,42.4517,48.6022,63.6165,0.8862,1.0428,1.2771,0.05686023067241032
431176278,30.8831,35.2263,47.2516,0.5357,0.6187,0.7883,0.06510896233025722
431176279,28.5023,28.7009,22.1927,1.7079,1.7593,0.9281,0.06444121395927624
431176280,30.6731,35.5051,48.1175,0.3361,0.4079,0.5477,0.06251769380643689
431176281,28.0859,28.083,21.9463,1.3224,1.3649,0.719,0.06346488289866778
431176283,32.7358,33.1182,25.8283,1.8236,1.884,1.0427,0.0607056738604871
431176284,27.6161,31.3286,42.7285,0.205,0.2409,0.3439,0.06719790044098876
431176285,22.9964,23.2108,18.5408,1.2148,1.2454,0.6995,0.07479714303071543
431176286,21.5547,24.4331,33.8004,0.0168,0.0278,0.0882,0.07853670966610296
431176295,9.1492,9.2271,8.9798,0.5974,0.6051,0.3709,0.09816868357674101
431176296,11.2642,11.5482,10.5299,0.6566,0.6778,0.4033,0.09307904275505513
431176298,9.9599,10.5561,9.4857,0.3879,0.4048,0.2428,0.08666044549832956
431176301,7.8592,8.2025,7.3587,0.0431,0.0443,0.0375,0.09447856694680049
431176304,5.6527,6.0659,5.8035,0.0233,0.0139,0.0207,0.0937735836449438
431176314,6.8163,9.1939,16.9935,0.0,0.0,0.0269,0.04636973518878762
431176315,15.7547,18.307,29.9626,0.3126,0.3631,0.5107,0.043784728166320654
431176328,7.2396,8.6814,14.4011,0.1081,0.1422,0.199,0.08377203058083679
431176334,10.4715,10.0452,12.0252,0.1068,0.1024,0.0925,0.06684048540909966
431176335,12.6713,13.0731,12.322,0.1018,0.1077,0.0689,0.11634512054520679
431176338,7.3284,6.8169,7.6059,0.0069,0.0066,0.0168,0.10471236017896915
431176349,12.3346,13.9378,19.9092,0.0233,0.03,0.0753,0.09894156757337469
