detection_id,B,G,R,nB,nG,nR,Compactness
430146822,4.924,4.9803,14.3335,0.0946,0.0908,0.2087,0.06444121395927624
430146824,9.1875,10.0026,19.2984,0.1403,0.1524,0.2923,0.07348500463068167
430146827,16.1551,16.402,25.4361,0.2161,0.2137,0.3491,0.08548150399146558
430146828,11.5338,11.441,19.6957,0.1481,0.1502,0.2576,0.09665858053229819
430146829,9.724,8.4632,6.9241,0.1735,0.1513,0.072,0.09816868357674101
430146830,10.3704,9.07,7.2035,0.3637,0.3224,0.1404,0.10832258979485408
430146831,11.2728,9.8523,8.6394,0.3444,0.2894,0.1476,0.10299600257653854
430146832,13.0785,11.5259,9.1927,0.3689,0.3152,0.1393,0.08433420746488306
430146833,10.8912,9.4932,7.8842,0.4163,0.3366,0.1684,0.1021587506273488
430146834,10.7229,9.2949,7.8264,0.2852,0.2409,0.1221,0.10471236017896915
430146835,11.664,9.885,7.0518,0.3869,0.3197,0.1186,0.11119795425652645
430146836,12.6752,10.7631,7.5781,0.5118,0.4312,0.1596,0.10739689511380088
430146837,13.1017,11.2345,7.9877,0.6133,0.5159,0.1908,0.1038470904936626
430146838,14.1562,12.0409,10.0084,0.2885,0.2343,0.1166,0.10471236017896915
430146839,14.0178,12.5385,10.3052,0.3031,0.2644,0.1275,0.1038470904936626
430146840,11.1616,9.7548,6.9591,0.4222,0.3597,0.1422,0.11022268844923072
430146841,11.3537,9.9429,7.3274,0.5201,0.4416,0.1911,0.10299600257653854
430146842,10.0362,8.897,6.1,0.2358,0.2061,0.0921,0.10926437976474195
430146843,11.6345,10.1125,6.7779,0.3418,0.2933,0.0892,0.10832258979485408
430146844,11.6142,9.9421,6.7086,0.3386,0.2887,0.0921,0.11022268844923072
430146845,11.4024,9.7398,6.5804,0.3238,0.2748,0.0942,0.10648688664370398
430146846,13.3278,11.6144,8.804,0.4613,0.3945,0.1561,0.09816868357674101
430146847,12.747,10.8755,8.6301,0.3846,0.3138,0.149,0.1021587506273488
430146848,12.7925,10.911,8.176,0.3832,0.3175,0.1346,0.10052442674077641
430146849,11.9185,10.0569,7.4628,0.368,0.3069,0.1227,0.10299600257653854
430146850,11.7633,10.0692,7.4468,0.241,0.2007,0.0934,0.10299600257653854
430146851,10.3221,8.9561,6.5405,0.2315,0.1954,0.0888,0.10832258979485408
430146852,10.4047,9.0139,6.5248,0.1797,0.157,0.0673,0.10648688664370398
430146853,10.4948,9.1345,6.6413,0.1851,0.1636,0.0717,0.1038470904936626
430146854,9.5196,8.2616,5.7268,0.1993,0.1734,0.0708,0.10832258979485408
430146855,10.1937,8.8663,5.6506,0.2337,0.2029,0.0733,0.11119795425652645
430146856,12.0214,10.1393,7.7686,0.388,0.3284,0.1474,0.10559216905199818
430146857,12.3089,10.5112,7.358,0.286,0.2401,0.0958,0.1038470904936626
430146858,11.4605,9.4945,11.7795,0.4488,0.365,0.2882,0.08321729873508964
430146859,13.2263,10.7623,12.6805,0.4824,0.3792,0.324,0.08975514439115811
430146876,11.3413,9.4622,10.3309,0.1571,0.1223,0.0993,0.11423011752805243
430146877,12.5206,10.5044,11.699,0.2165,0.1763,0.1393,0.1038470904936626
430146878,13.3003,11.407,13.4502,0.2318,0.1938,0.1837,0.10052442674077641
430146879,11.4625,9.7569,10.8169,0.2446,0.2015,0.1582,0.09894156757337469
430146880,12.0966,10.3596,11.2364,0.3122,0.259,0.1883,0.09519422993221213
430146881,9.1154,7.5251,8.7302,0.3224,0.2608,0.1931,0.09519422993221213
430146882,9.4668,7.8601,10.4071,0.3777,0.3177,0.3063,0.11527791973048969
430146883,9.4637,8.2155,9.9885,0.3956,0.3438,0.2952,0.11022268844923072
430146884,9.5221,8.5641,11.6552,0.2453,0.2166,0.2124,0.09239471398211957
430146885,9.8323,8.7253,11.7739,0.1169,0.1001,0.1084,0.09592081711552267
430146886,9.3506,8.1214,11.2876,0.1829,0.1501,0.1601,0.09740778003073822
430146887,9.1095,7.7041,11.3262,0.0521,0.0441,0.0571,0.08548150399146558
430146889,7.6323,6.3816,10.2813,0.058,0.0463,0.0643,0.08666044549832956
430146892,14.1191,12.2088,7.5493,0.559,0.4847,0.1515,0.0752449975094086
430146899,13.0367,11.2472,7.2991,0.1916,0.1639,0.0791,0.10133499999681532
430146900,14.0189,12.097,8.0911,0.178,0.1575,0.0728,0.09740778003073822
430146901,14.9682,12.9732,8.7173,0.159,0.1379,0.0646,0.09740778003073822
