detection_id,B,G,R,nB,nG,nR,Compactness
66156545,24.4934,23.9426,27.163,0.2252,0.2148,0.2424,0.05129044711249124
66156550,10.3632,10.1971,9.9016,0.1377,0.1322,0.1111,0.1256508846247525
66156555,11.0738,10.9331,11.2269,0.1407,0.1354,0.1225,0.09592081711552267
66156557,0.9313,1.234,6.3026,0.0068,0.0082,0.0312,0.08911864874469005
66156558,4.8398,7.3265,13.3184,0.1355,0.2173,0.3342,0.10926437976474195
66156565,4.6093,4.4493,4.5977,0.0888,0.0851,0.0657,0.23701364694242527
66156570,4.4008,4.2741,4.5453,0.0525,0.0497,0.0415,0.224325293611701
66156571,0.6747,0.8217,2.6881,0.0126,0.0171,0.0307,0.224325293611701
66156572,1.3471,1.9324,4.043,0.009,0.0221,0.0376,0.22840111198938143
66156575,4.2475,4.2208,4.4155,0.0493,0.0467,0.0458,0.224325293611701
66156577,4.4503,4.3019,4.6599,0.0495,0.0469,0.041,0.22039234176969208
66156579,4.4136,4.3595,4.8077,0.0527,0.0492,0.0447,0.2129260181386661
66156581,3.8367,3.6555,3.9259,0.0648,0.0602,0.0471,0.2415680625597688
66156590,3.5008,3.6011,5.3638,0.0334,0.0355,0.0488,0.21659487670178934
66156594,1.5578,3.0956,7.7396,0.0134,0.0393,0.096,0.14442151192814084
66156595,3.5335,5.9109,13.6992,0.0495,0.0852,0.1878,0.09172037375316221
66156596,7.8986,8.1226,9.7936,0.0983,0.1017,0.1134,0.13657449043501094
66156597,7.0159,7.1843,7.6464,0.1044,0.1073,0.0895,0.14442151192814084
66156600,8.9975,8.9283,8.4823,0.083,0.0795,0.0728,0.13807493637999585
66156602,0.6967,1.46,4.2398,0.016,0.0363,0.0746,0.20262892686416292
66156604,4.2672,4.5207,5.2991,0.0735,0.0796,0.0775,0.1903544897796419
66156606,7.7872,7.6778,7.3711,0.1207,0.1168,0.0903,0.16108014280507627
66156608,1.661,2.437,7.2185,0.0292,0.0441,0.0868,0.11853991327830876
66156609,2.9358,4.2522,8.7777,0.0226,0.0426,0.0826,0.11966865507387159
