detection_id,B,G,R,nB,nG,nR,Compactness
431260109,44.6272,44.6988,54.1004,0.3106,0.311,0.3689,0.046541470193173916
431260117,19.5449,19.4536,24.1038,0.1166,0.115,0.1369,0.08321729873508964
431260118,11.3076,11.6992,17.5543,0.1476,0.1523,0.1804,0.05686023067241032
431260121,7.701,8.6506,13.9831,0.0648,0.0838,0.1173,0.08606693785815557
431260122,14.5269,14.79,20.7051,0.289,0.2915,0.3379,0.0675591583065621
431260123,8.9664,10.1515,16.0428,0.0741,0.1081,0.1441,0.07953076456813789
431260127,12.2043,12.51,16.3727,0.1268,0.1341,0.1567,0.09307904275505513
431260128,24.5104,24.3638,29.4869,0.1624,0.1588,0.1843,0.07756719641593564
431260130,14.3253,14.133,17.8723,0.1437,0.1423,0.1646,0.08548150399146558
431260132,21.5884,21.8477,26.0252,0.0903,0.0903,0.1073,0.07953076456813789
431260133,22.2207,22.1018,27.4242,0.1936,0.1897,0.225,0.07756719641593564
431260134,20.774,20.5185,25.3714,0.2415,0.2368,0.2607,0.07348500463068167
431260135,17.1682,17.5133,23.1901,0.3439,0.3507,0.3963,0.07263552511680024
431260136,23.1326,23.4048,27.3993,0.0925,0.0925,0.1089,0.07569824722699373
431260137,21.3598,21.5807,26.4755,0.2189,0.2187,0.2539,0.07435458803139107
431260138,17.533,17.6382,22.4834,0.1953,0.1955,0.2266,0.07435458803139107
431260139,17.4427,17.6615,23.1413,0.4413,0.4494,0.5015,0.07903061153879146
431260140,15.4337,15.6367,20.6733,0.3596,0.3628,0.4122,0.08106994029334431
431260141,22.9109,22.7517,27.4043,0.169,0.1638,0.1845,0.07853670966610296
431260143,24.5386,24.8259,28.7423,0.1083,0.1083,0.1278,0.08055030487456037
431260144,15.548,15.0983,20.3208,0.2577,0.2514,0.2866,0.07662132709270902
431260147,10.0683,9.9645,13.0846,0.2912,0.2874,0.2734,0.0815963233535219
431260154,18.8449,18.9436,25.0177,0.1259,0.1261,0.1522,0.057118675464029094
431260176,38.1307,38.4114,45.4504,0.1603,0.1594,0.1877,0.04603003942056844
431260181,26.3254,26.2218,33.7464,0.2509,0.2472,0.2956,0.0541643755046309
431260183,30.8319,30.7395,36.243,0.1311,0.1286,0.1518,0.06190178642991358
431260188,49.0919,48.8618,57.943,0.2974,0.2884,0.335,0.0404059159192194
431260190,37.0698,33.8898,39.7072,0.4339,0.39,0.4117,0.05511459098459456
431260194,23.3659,22.8372,30.3396,0.593,0.5817,0.6584,0.0589957324588329
431260195,25.9115,24.2459,30.627,0.2461,0.2249,0.2509,0.049086630312145024
431260196,18.0931,17.3769,24.2961,0.1631,0.1539,0.1866,0.05560231145909046
431260197,24.8058,24.7264,30.848,0.2225,0.2135,0.2505,0.05764267775279962
431260198,16.1086,16.5446,22.7227,0.2886,0.3001,0.3444,0.05790830079919458
