detection_id,B,G,R,nB,nG,nR,Compactness
164510841,3.6055,3.3458,5.9771,0.0038,0.0034,0.0178,0.08666044549832956
164513739,5.3964,5.5855,6.668,0.0943,0.0941,0.0785,0.09239471398211957
164513833,5.3974,5.5864,6.6647,0.1209,0.1228,0.0881,0.09239471398211957
164513930,5.3974,5.5864,6.6659,0.1268,0.1296,0.0883,0.09239471398211957
164514028,5.4162,5.6126,6.7855,0.0434,0.0475,0.0365,0.09307904275505513
164514123,5.4055,5.6097,6.7954,0.0461,0.0505,0.0372,0.09307904275505513
164514218,5.4054,5.6096,6.7953,0.0461,0.0505,0.0372,0.09307904275505513
164514313,5.4054,5.6096,6.7953,0.0461,0.0505,0.0372,0.09307904275505513
164514789,5.9359,6.0368,7.1167,0.0898,0.097,0.0557,0.09447856694680049
164514890,5.9359,6.0368,7.1167,0.0898,0.097,0.0557,0.09447856694680049
164514985,6.9995,6.9629,8.8363,0.0529,0.055,0.0521,0.07756719641593564
164515081,6.9977,6.9543,8.852,0.0487,0.0505,0.0493,0.07756719641593564
164515179,7.1255,7.134,8.8524,0.0819,0.0876,0.0666,0.07804894248762141
164515277,7.0795,7.085,8.8522,0.0699,0.077,0.056,0.07756719641593564
164519023,30.462,29.987,28.741,0.2495,0.2303,0.2072,0.0752449975094086
164519119,16.6406,17.2457,14.3831,0.1343,0.1423,0.099,0.0675591583065621
164519213,33.6123,33.317,32.5461,0.2166,0.204,0.1977,0.0675591583065621
164519310,16.6406,17.2457,14.3831,0.1343,0.1423,0.099,0.0675591583065621
164519406,33.6123,33.317,32.5461,0.2166,0.204,0.1977,0.0675591583065621
164519503,16.6406,17.2457,14.3831,0.1343,0.1423,0.099,0.0675591583065621
164519596,66.245,64.871,59.9977,0.6081,0.5587,0.4727,0.049086630312145024
164519686,15.9341,16.1979,14.8065,0.1509,0.152,0.0694,0.049086630312145024
164519782,18.8203,19.4988,15.6251,0.2688,0.2719,0.0994,0.04927912092245134
164519882,18.8071,19.49,15.6087,0.2671,0.2695,0.0983,0.04927912092245134
164521894,9.0747,9.4277,9.1771,0.0722,0.0798,0.0484,0.06904388481989716
164521989,7.9793,8.1389,7.9659,0.1127,0.1207,0.0391,0.06904388481989716
164522084,7.8665,8.0332,7.8589,0.1123,0.1203,0.0392,0.06942531913488556
164523999,3.3143,3.2716,6.5123,0.0,0.0,0.0174,0.07139750161301212
164524095,3.3164,3.2683,6.5074,0.0,0.0,0.0174,0.07139750161301212
164524193,3.3092,3.2669,6.5052,0.0,0.0,0.0174,0.07139750161301212
164524287,3.2929,3.2521,6.4974,0.0,0.0,0.0174,0.07139750161301212
164524384,3.2366,3.2568,6.4314,0.0,0.0,0.0173,0.07180546030797123
164524481,3.2381,3.2551,6.4316,0.0,0.0,0.0173,0.07180546030797123
164524580,3.2103,3.2283,6.3647,0.0,0.0,0.0171,0.07263552511680024
164524775,20.3598,20.2084,20.6016,0.1032,0.0988,0.1047,0.06220821570931003
164524870,20.2274,20.0707,20.4384,0.1009,0.0953,0.1029,0.06251769380643689
164524965,19.9739,19.8161,20.2304,0.0998,0.0941,0.1019,0.06251769380643689
164525061,19.9739,19.8161,20.2304,0.0998,0.0941,0.1019,0.06251769380643689
164525155,19.9739,19.8161,20.2304,0.0998,0.0941,0.1019,0.06251769380643689
164525250,21.8288,21.3778,22.1904,0.1973,0.1832,0.1694,0.06041383338136221
164525344,21.8294,21.3802,22.1882,0.1808,0.1691,0.1595,0.06041383338136221
164525441,21.4,20.9491,21.9101,0.1791,0.1674,0.1581,0.0595549083537657
164525539,21.4,20.9491,21.9101,0.1791,0.1674,0.1581,0.0595549083537657
164525637,21.5716,20.9897,21.7374,0.1812,0.165,0.1542,0.06129789587454133
164525730,21.4862,20.9491,21.6695,0.1661,0.1541,0.1451,0.06159836113714365
164525823,21.1468,20.626,21.418,0.165,0.1534,0.1439,0.06129789587454133
164525921,18.5823,18.0473,17.8584,0.2377,0.2189,0.1681,0.06904388481989716
164526016,18.6337,18.0918,17.8655,0.207,0.1911,0.1498,0.06904388481989716
164526109,18.5341,17.9924,17.8118,0.207,0.191,0.1494,0.06866661880204716
164526201,18.4835,17.9418,17.7443,0.2068,0.1908,0.1491,0.06904388481989716
164526297,18.4835,17.9418,17.7443,0.2068,0.1908,0.1491,0.06904388481989716
164526486,21.1984,20.0518,20.9278,0.3737,0.3418,0.2894,0.06866661880204716
164526577,21.0658,19.8745,20.8027,0.3668,0.3352,0.2729,0.06866661880204716
164526671,21.0142,19.8567,20.7203,0.3072,0.2808,0.2345,0.06866661880204716
164526766,21.0142,19.8567,20.7203,0.3072,0.2808,0.2345,0.06866661880204716
164526954,13.7985,12.9977,12.7643,0.128,0.1118,0.0656,0.09172037375316221
164527051,13.8457,13.0397,12.7713,0.1146,0.1018,0.0565,0.09307904275505513
164527146,13.8461,13.0401,12.7717,0.1133,0.1003,0.0557,0.09307904275505513
164527244,13.8455,13.0395,12.7711,0.1133,0.1003,0.0558,0.09307904275505513
164530870,65.7077,63.9688,55.0998,1.4948,1.4703,1.1018,0.05108195634991484
164530963,65.764,63.9061,55.3053,1.8879,1.8482,1.39,0.050875153686925724
164532017,63.8596,61.2372,52.1804,1.7665,1.6949,1.2824,0.051500646728563054
164533275,60.4099,58.4667,49.5304,2.3174,2.2426,1.6448,0.05214171140333059
164533370,60.1998,58.3964,49.2901,2.3225,2.2486,1.6451,0.05235896091135454
164539055,17.1481,15.7504,14.3874,0.1076,0.0962,0.0801,0.1038470904936626
164540027,18.2555,17.2022,15.8063,0.2245,0.2092,0.1521,0.08490398027194407
164540125,13.5255,12.5778,13.3933,0.1296,0.1175,0.0962,0.0815963233535219
164540224,13.6498,12.7041,13.4699,0.1233,0.1108,0.0923,0.0815963233535219
164542282,32.2415,28.9709,25.3526,0.5393,0.4512,0.3013,0.06719790044098876
164547292,21.0486,19.6381,17.2992,1.099,1.034,0.77,0.09972671719555438
164547391,21.2282,19.7217,17.7287,0.8455,0.7917,0.5908,0.09816868357674101
164550794,12.9136,11.6258,11.939,0.1563,0.1382,0.0833,0.09592081711552267
164550893,12.779,11.672,13.2321,0.1752,0.1426,0.1119,0.07853670966610296
164556308,17.274,16.2634,15.7078,0.1425,0.118,0.0861,0.08548150399146558
164556406,17.2551,16.245,15.6941,0.1425,0.118,0.0861,0.08548150399146558
164556507,16.8269,15.816,15.2808,0.1713,0.1425,0.1017,0.08433420746488306
164556604,18.0015,17.0131,16.0526,0.1237,0.1028,0.0615,0.08266986501266944
164556705,17.8962,16.8931,15.9427,0.1302,0.1091,0.0638,0.08266986501266944
164556807,17.8962,16.8931,15.9427,0.1302,0.1091,0.0638,0.08266986501266944
164560792,14.971,13.5003,14.037,0.1201,0.1047,0.0643,0.09239471398211957
164561285,18.3619,16.7089,16.4271,0.1365,0.1106,0.0628,0.09239471398211957
164561383,18.3757,16.6699,15.6586,0.2302,0.1853,0.1334,0.09592081711552267
164562367,19.4457,17.5538,15.6892,0.9122,0.8171,0.608,0.10648688664370398
164562559,23.8539,21.8513,19.7452,0.9331,0.8375,0.6294,0.09307904275505513
164562960,23.3726,21.2068,19.1258,1.276,1.1551,0.8449,0.09105580497377844
164563162,23.9199,21.7345,19.7726,1.1023,0.9919,0.7275,0.08787235948346774
