detection_id,B,G,R,nB,nG,nR,Compactness
432256135,9.5542,10.6832,12.8875,0.1812,0.2125,0.2063,0.11219063124580061
432256137,1.0269,13.0536,6.7666,0.0322,0.102,0.0651,0.05763267864238279
432256146,1.8275,3.8346,3.7059,0.0298,0.0666,0.0402,0.18208192715442573
432256147,9.2612,18.7802,14.1037,0.0601,0.1404,0.082,0.06346488289866778
432256149,12.7332,49.7883,21.0306,0.1501,0.4426,0.1813,0.03663633579132449
432256152,3.0885,7.1628,6.0734,0.0572,0.1509,0.0777,0.1256508846247525
432256153,6.198,8.3653,10.677,0.1137,0.1536,0.1539,0.08544841129555572
432256154,9.0086,12.257,13.2396,0.0721,0.133,0.0959,0.08726219508235135
432256155,6.2302,10.4775,10.0105,0.0619,0.1149,0.0792,0.07953076456813789
432256156,5.9106,9.6518,11.771,0.1369,0.1755,0.1885,0.06684048540909966
432256159,1.2639,2.5714,3.5183,0.0253,0.0412,0.0353,0.1427807996875266
432256160,0.7295,2.6132,2.9239,0.0123,0.0288,0.0216,0.14781870195462177
432256161,0.4263,2.765,2.6093,0.0029,0.0198,0.0124,0.14781870195462177
432256162,0.0089,2.2157,1.8651,0.0,0.0135,0.0073,0.16752101074657041
432256163,0.6103,4.0966,3.1037,0.0114,0.0345,0.0223,0.12821464331793822
432256164,5.2911,5.4099,7.295,0.0343,0.0415,0.0424,0.1396087127968195
432256167,5.5483,8.7976,10.2503,0.1027,0.1544,0.144,0.08787235948346774
432256168,6.5631,16.5474,11.3969,0.0365,0.1028,0.0572,0.06378702284985524
432256169,17.2126,23.5114,23.0416,0.1409,0.2268,0.1635,0.04947312713553582
432256171,9.908,29.1876,17.444,0.1694,0.3878,0.2187,0.05046653131091824
432256172,23.0266,27.4365,32.6564,0.4229,0.5132,0.5218,0.05257802831020273
