detection_id,B,G,R,nB,nG,nR,Compactness
432850387,12.6394,12.9953,6.7108,0.2504,0.2685,0.0301,0.08055030487456037
432850388,7.4351,12.2189,11.7821,0.1415,0.2866,0.1613,0.08266986501266944
432850389,11.7524,11.6531,6.5378,0.2124,0.2181,0.0264,0.07903061153879146
432850390,7.9216,13.0662,12.2915,0.1295,0.2684,0.1566,0.08548150399146558
432850395,37.369,34.3666,13.4718,0.326,0.3224,0.0319,0.04603003942056844
432850396,19.727,32.2477,28.4963,0.5344,0.9626,0.609,0.04520218287170602
432850398,36.7619,33.2227,11.9796,0.2757,0.2656,0.0222,0.056098740702361524
432850399,17.5809,30.1628,25.7102,0.338,0.6623,0.4449,0.04027641246938456
432850400,53.0784,47.2724,17.8132,0.3391,0.328,0.0343,0.03674345773498782
432850401,21.7862,36.2517,29.3334,0.7866,1.2526,0.71,0.03642395484658258
432850402,54.3909,47.5178,17.9644,0.3401,0.3257,0.0338,0.03695959196015872
432850403,8.9762,15.998,12.3628,0.2614,0.3973,0.2205,0.06648685222060789
432850407,13.6346,17.7471,12.9858,0.8309,1.0278,0.5151,0.07221810771057427
432850489,7.9805,11.7483,9.0221,0.197,0.2592,0.1463,0.08911864874469005
432850493,7.21,10.1426,8.3531,0.4296,0.558,0.2831,0.09040079679516942
432850506,8.7924,11.8201,9.5841,0.7165,0.9279,0.4642,0.08212958633865283
432850514,8.062,10.5003,9.0313,0.5655,0.6797,0.3641,0.08321729873508964
432850522,12.0407,18.1548,14.5873,0.1657,0.299,0.1548,0.08212958633865283
432850523,7.6573,10.4471,9.0261,0.5251,0.6703,0.357,0.08212958633865283
432850524,12.415,17.6234,15.2769,0.1044,0.1803,0.1028,0.08212958633865283
432850531,6.9072,9.5658,8.0772,0.6771,0.8669,0.4332,0.09040079679516942
432850534,6.0591,8.7537,7.7923,0.2226,0.2948,0.1698,0.09239471398211957
432850535,6.4952,9.2967,8.2087,0.1688,0.2177,0.1289,0.08849111644335216
432850536,7.6447,10.2932,8.589,0.7,0.9288,0.4575,0.09105580497377844
432850537,8.3835,11.4968,9.1252,0.7964,1.0333,0.517,0.08606693785815557
432850538,8.5549,12.1439,9.5898,0.5487,0.714,0.3628,0.08055030487456037
432850539,8.1843,11.7157,8.946,0.3416,0.434,0.2278,0.0937735836449438
432850540,6.6933,9.2292,7.5058,0.4179,0.5557,0.2876,0.10052442674077641
432850549,1.9418,9.4725,9.7355,0.0327,0.1066,0.0676,0.059274001684944774
432850550,2.0262,10.4782,10.1185,0.0106,0.0681,0.0345,0.0595549083537657
432850551,2.2847,10.7599,10.6685,0.0094,0.0792,0.0374,0.05463535211139932
432850552,2.5265,10.8286,11.0549,0.0189,0.1108,0.0513,0.05302170881884524
432850553,2.6939,11.7735,12.3277,0.0151,0.1188,0.0487,0.046541470193173916
432850556,0.9591,5.6548,6.7425,0.0006,0.0017,0.0159,0.08490398027194407
432850557,1.1723,6.3847,7.1124,0.0003,0.0008,0.0175,0.07348500463068167
432850558,1.0764,6.2026,7.3238,0.0,0.0,0.0185,0.06719790044098876
432850559,1.1556,8.328,9.1789,0.0087,0.0376,0.0411,0.06012478543760053
432850562,30.1179,25.981,11.0194,0.1531,0.1227,0.0214,0.058176383157876974
432850571,27.7542,24.3164,10.9644,0.1517,0.1398,0.0228,0.05463535211139932
432850572,3.843,9.5504,10.632,0.0483,0.0991,0.0821,0.05324636892277132
432850578,28.8121,23.4534,10.8828,0.1466,0.0881,0.0221,0.05635029433027713
432850580,23.9085,20.6229,9.6044,0.1219,0.1105,0.0195,0.06378702284985524
432850582,25.711,21.8121,10.0852,0.1304,0.1057,0.0201,0.06190178642991358
432850583,3.1353,8.7757,9.5254,0.0397,0.1022,0.0771,0.0607056738604871
