detection_id,B,G,R,nB,nG,nR,Compactness
67824781,2.5853,2.4796,3.2771,0.1455,0.1381,0.1178,0.2129260181386661
67824790,7.2574,7.2742,9.4475,0.0539,0.0536,0.0698,0.1427807996875266
67824792,10.5528,10.5516,10.605,0.0417,0.0417,0.0524,0.11527791973048969
67824820,3.0247,2.889,4.2105,0.0288,0.0277,0.0314,0.19941430995731257
67824831,12.4497,12.3099,11.8901,0.1693,0.1635,0.133,0.10133499999681532
67824843,48.6935,48.629,42.8827,0.2263,0.2193,0.2382,0.04706439330664793
67824845,48.5863,48.545,43.6239,0.2944,0.2891,0.3028,0.05370144932732833
67824849,18.2153,18.1416,16.3853,0.1037,0.0998,0.1041,0.09447856694680049
67824881,21.2063,21.0702,18.8111,0.2464,0.2349,0.2119,0.08606693785815557
67824912,3.2776,3.1693,4.2448,0.1064,0.1034,0.1002,0.23701364694242527
67824915,4.1911,4.2141,4.7283,0.0292,0.0294,0.03,0.2129260181386661
67824921,2.8802,2.7701,3.8061,0.086,0.0817,0.0723,0.2129260181386661
67824966,5.2357,5.2519,5.4155,0.0207,0.0207,0.0264,0.2129260181386661
67824968,5.5858,5.6029,5.726,0.0221,0.0221,0.028,0.2059488517353309
67824972,7.0286,7.0374,6.9128,0.0278,0.0278,0.034,0.1963000700655754
67825013,3.1827,2.9013,4.2826,0.0374,0.0318,0.0373,0.23701364694242527
67825028,3.2303,3.0999,4.4145,0.0301,0.0271,0.0306,0.2129260181386661
67825038,12.6136,12.533,14.8169,0.129,0.1279,0.1502,0.10926437976474195
67825042,4.0574,4.098,5.6662,0.1133,0.1154,0.113,0.16978395275546265
67825048,5.2109,5.1865,6.8445,0.0321,0.0314,0.0364,0.15904183716398032
67825050,8.9838,8.9982,9.1176,0.0357,0.0357,0.043,0.16752101074657041
67825080,6.5822,6.6148,6.6953,0.0261,0.0261,0.032,0.2059488517353309
67825084,6.5996,6.6083,6.6622,0.0261,0.0261,0.032,0.2059488517353309
67825104,5.9999,6.01,6.0624,0.0237,0.0237,0.0295,0.2093793437612272
67825120,3.3934,3.2605,4.5174,0.0237,0.0222,0.0263,0.22840111198938143
67825122,2.9737,2.8848,3.0412,0.0577,0.0566,0.0353,0.22840111198938143
