detection_id,B,G,R,nB,nG,nR,Compactness
432415587,3.0553,2.9708,5.2608,0.0299,0.0282,0.0388,0.14442151192814084
432415589,5.8772,6.0794,8.5676,0.0263,0.0337,0.0408,0.12081909724428652
432415596,7.2445,7.1648,9.2096,0.2013,0.2001,0.1947,0.11743226366213184
432415597,2.4046,2.2998,3.7661,0.0313,0.0295,0.033,0.1903544897796419
432415603,25.2267,25.0026,29.3648,0.9288,0.9288,0.9078,0.05463535211139932
432415605,18.9025,18.6959,24.0189,0.4372,0.4312,0.4784,0.07756719641593564
432415607,9.5852,11.1868,16.2159,0.2365,0.251,0.2873,0.09519422993221213
432415608,16.7764,15.7545,19.2608,0.1579,0.1509,0.1598,0.09972671719555438
432415615,15.9991,16.6696,24.4774,0.2785,0.2947,0.3475,0.047419586082077345
432415616,27.3134,27.1193,30.8575,0.111,0.1109,0.1253,0.08606693785815557
432415618,12.0318,12.4378,18.3386,0.1287,0.1316,0.1681,0.06444121395927624
432415619,32.2562,35.1085,45.7473,0.4916,0.5503,0.6098,0.03762352482182404
432415627,3.5907,3.4041,15.2554,0.1716,0.1585,0.2258,0.027801568214815206
432415629,37.1953,35.6785,46.5376,0.8326,0.7838,0.8675,0.037068615393710314
432415636,24.3817,24.5301,31.7973,0.0937,0.0928,0.1257,0.05108195634991484
432415637,19.5961,19.3755,24.6318,0.7824,0.7705,0.8419,0.07391723900466864
432415640,3.9376,3.7357,6.4092,0.1108,0.1057,0.1354,0.1411769425941694
432415641,6.0387,6.1969,9.6168,0.0483,0.049,0.0619,0.09816868357674101
432415645,7.4391,7.4986,11.1101,0.0325,0.035,0.0572,0.13088518977836702
432415646,9.5449,9.1634,11.5153,0.1324,0.1312,0.1405,0.13226261511265314
432415648,15.2383,15.3185,20.3777,0.0181,0.0173,0.0398,0.06684048540909966
432415649,11.9472,11.4579,15.0664,0.0014,0.0006,0.0144,0.09972671719555438
432415650,8.523,8.9476,13.7766,0.3286,0.345,0.4626,0.1336693370934263
432415651,2.0647,2.0124,3.4302,0.0548,0.0522,0.0587,0.22039234176969208
432415652,9.3208,9.4624,13.0125,0.0812,0.0791,0.0936,0.08849111644335216
432415653,5.3486,5.097,7.2446,0.0003,0.0,0.0079,0.15705446369492315
432415654,1.4928,1.5946,3.0463,0.1435,0.1552,0.1668,0.22039234176969208
432415657,8.3603,8.174,11.3993,0.1766,0.172,0.1779,0.08787235948346774
432415658,2.5633,2.5126,4.1508,0.0374,0.035,0.0376,0.1794818739290955
432415670,2.8191,2.4297,4.0009,0.0793,0.0656,0.0703,0.18751471302418415
432415673,2.1069,2.0707,3.8557,0.0463,0.0446,0.0487,0.16317136358672749
432415677,17.8447,16.9829,23.6079,0.2383,0.2187,0.2587,0.05487392523583279
432415680,23.7039,23.3341,28.4226,0.4906,0.4697,0.4749,0.05686023067241032
432415683,17.152,17.1116,26.2469,0.4895,0.4928,0.5751,0.04636973518878762
432415686,6.7171,7.0303,10.0955,0.0936,0.0955,0.1115,0.11423011752805243
432415696,8.3946,8.0931,10.8106,0.4588,0.4397,0.4271,0.10052442674077641
432415701,7.0642,6.8728,11.0447,0.1126,0.1094,0.1429,0.10471236017896915
432415705,5.1765,4.9988,7.1816,0.0354,0.0341,0.0427,0.16752101074657041
432415706,24.2026,23.4459,27.267,0.1842,0.1826,0.1921,0.09307904275505513
432415714,12.5067,11.9948,15.1622,0.0,0.0,0.0137,0.09040079679516942
432415715,9.2371,8.6895,11.7151,0.4442,0.4157,0.4097,0.09447856694680049
432415724,8.5029,8.2783,10.5617,0.0338,0.0338,0.0429,0.1351063003197879
432415726,28.1452,30.2611,38.5057,0.6826,0.7057,0.7693,0.06012478543760053
432415727,49.2214,46.6378,58.0538,0.9006,0.8379,0.9527,0.04456103357379679
432415730,15.3614,16.7535,24.1359,0.4919,0.5137,0.5824,0.06041383338136221
432415731,4.0318,3.8636,5.7183,0.1187,0.1133,0.1247,0.18208192715442573
432415732,3.0274,2.8689,4.502,0.0194,0.0166,0.0221,0.1794818739290955
432415733,4.1933,3.8798,5.6913,0.0191,0.0188,0.0248,0.2129260181386661
432415734,1.9453,2.9638,4.9855,0.0309,0.0461,0.0651,0.23262772230212783
432415737,7.6091,9.1597,14.4839,0.2794,0.3077,0.3755,0.09307904275505513
432415738,6.3984,7.9388,13.5502,0.098,0.1056,0.1646,0.09239471398211957
