detection_id,B,G,R,nB,nG,nR,Compactness
429261035,30.2133,25.378,35.0348,0.2972,0.2579,0.3104,0.06129789587454133
429261053,18.3341,15.7192,24.5641,0.2162,0.1804,0.2661,0.07662132709270902
429261107,19.812,19.8821,29.8626,0.4188,0.4147,0.5723,0.07059533429497317
429261134,40.4701,44.5792,61.3195,0.6723,0.7382,0.9756,0.040932366155960825
429261204,20.8152,18.3567,25.6818,0.1133,0.1052,0.1323,0.06444121395927624
429261205,23.0593,20.7211,27.1237,0.0992,0.0971,0.1167,0.06792432131461863
429261209,16.377,14.4829,13.2207,0.1697,0.1374,0.1048,0.10926437976474195
429261210,18.7504,16.4352,15.2106,0.2417,0.1945,0.1432,0.09894156757337469
429261213,23.4478,20.9314,19.1101,0.1555,0.1198,0.0894,0.07391723900466864
429261214,23.1043,20.4004,18.8255,0.1225,0.0814,0.0688,0.077091360650504
429261215,23.302,20.5137,19.3622,0.2266,0.176,0.1396,0.07180546030797123
429261216,18.7309,16.7108,16.5799,0.1103,0.0912,0.0779,0.07180546030797123
429261217,17.1231,15.2984,15.6034,0.1156,0.0973,0.0857,0.06981099120988524
429261220,16.5673,14.9332,13.0555,0.6108,0.5492,0.377,0.11634512054520679
429261221,18.966,17.4088,15.0011,0.4173,0.382,0.2648,0.10832258979485408
429261222,26.4611,23.9665,21.3412,0.8461,0.7475,0.5417,0.08975514439115811
429261223,27.2702,24.6843,22.3245,0.7638,0.6776,0.5053,0.08212958633865283
429261224,27.6326,25.3284,22.5448,0.7505,0.6685,0.4953,0.08787235948346774
429261225,26.8618,24.5801,22.6625,0.7044,0.6389,0.4883,0.07853670966610296
429261226,26.6552,24.3635,22.4867,0.6844,0.614,0.4675,0.07853670966610296
429261228,20.8395,18.6435,17.4525,0.5928,0.5341,0.4116,0.09519422993221213
429261305,24.7625,22.5421,28.4206,0.4153,0.3642,0.4058,0.06648685222060789
429261306,18.5175,16.8845,22.0979,0.3528,0.3111,0.3504,0.07263552511680024
429261307,18.8532,17.1266,23.2334,0.6213,0.5589,0.6618,0.08266986501266944
429261308,19.1087,17.5851,23.7464,0.6548,0.5988,0.7077,0.0815963233535219
429261309,19.3,17.6663,23.6109,0.6347,0.5783,0.6861,0.08849111644335216
429261310,19.1893,17.1544,23.204,0.4935,0.4366,0.5216,0.08975514439115811
429261311,20.2951,18.1955,24.1308,0.4166,0.3739,0.4435,0.0937735836449438
429261312,18.4397,16.7851,22.4645,0.3752,0.34,0.4016,0.0937735836449438
429261319,15.7372,15.5449,22.5771,0.536,0.5304,0.6695,0.09040079679516942
429261320,22.7843,22.4752,32.1614,1.0115,0.9996,1.295,0.08377203058083679
429261321,24.4017,24.0885,34.6036,1.2169,1.2006,1.5482,0.07853670966610296
429261322,25.1386,24.9254,35.54,1.1746,1.1677,1.4908,0.0752449975094086
429261323,25.6346,25.386,36.3334,1.3389,1.3249,1.6871,0.07435458803139107
429261324,25.5691,25.3297,36.1261,1.1965,1.1793,1.4933,0.07391723900466864
429261325,31.4789,31.0092,44.2923,1.0414,1.0185,1.2895,0.05511459098459456
429261326,30.4776,29.9907,42.2832,1.0972,1.0674,1.348,0.06251769380643689
429261327,33.1203,32.4149,46.5612,0.892,0.8614,1.1031,0.051712576293637055
429261328,33.7002,33.0382,47.2886,0.9416,0.9159,1.1669,0.05006442052760694
429261329,37.5443,36.4153,53.0082,1.1071,1.0668,1.3705,0.0404059159192194
429261330,33.7294,32.9259,46.7926,1.0942,1.0696,1.3156,0.048331474165630606
