detection_id,B,G,R,nB,nG,nR,Compactness
431605118,29.4846,27.8284,25.2988,0.2182,0.1868,0.1387,0.077091360650504
431605121,49.5043,46.7896,40.4803,0.2969,0.2499,0.1818,0.06251769380643689
431605122,53.504,50.9567,43.6847,0.2065,0.157,0.1223,0.05790830079919458
431605155,18.1705,16.816,15.7277,1.6149,1.5041,1.121,0.10133499999681532
431605156,16.9806,15.7098,14.8962,1.4493,1.3514,1.0168,0.1038470904936626
431605162,66.6812,62.3431,37.6233,0.4232,0.4044,0.025,0.04986575853700407
431605164,68.4634,64.1831,39.3179,0.4517,0.4288,0.0486,0.04851807655625124
431605183,31.2366,29.5524,24.3995,0.0945,0.0596,0.0253,0.07099415216660818
431605184,30.8508,29.3005,24.0118,0.0847,0.0555,0.0172,0.07221810771057427
431605185,30.4723,28.8492,24.27,0.0947,0.0564,0.019,0.06544805286939072
431605186,26.6572,25.1726,21.8039,0.0738,0.0385,0.0192,0.06477336728387235
431605187,23.2838,21.9645,19.6746,0.0605,0.0312,0.0195,0.06378702284985524
431605188,18.9499,17.8546,16.5465,0.0443,0.0179,0.0182,0.06829345312829196
431605192,16.5952,15.0177,16.3079,0.078,0.0229,0.0135,0.09816868357674101
431605199,13.1383,11.7863,12.6666,0.0497,0.0074,0.0109,0.1132011898318306
431605200,12.6992,11.4136,12.3723,0.0515,0.0092,0.011,0.11219063124580061
431605214,11.4786,10.9044,10.8374,0.1617,0.1528,0.1034,0.09172037375316221
431605222,16.1538,15.1958,14.5092,0.4043,0.3846,0.2582,0.07221810771057427
431605226,25.9807,24.6701,20.9131,1.0363,0.9932,0.6216,0.058176383157876974
431605227,25.881,24.4864,20.9809,0.963,0.9243,0.5875,0.058176383157876974
431605230,27.4595,25.8818,21.4144,1.1319,1.0808,0.6848,0.06041383338136221
431605233,28.4357,26.8896,21.9199,1.9818,1.932,1.2078,0.06129789587454133
431605251,40.6299,37.9269,41.822,1.0192,0.9335,0.8469,0.0427422593087034
431605252,22.1446,20.3006,23.3874,0.2361,0.1874,0.1698,0.07221810771057427
431605267,16.5111,15.2329,16.0115,0.0148,0.0139,0.0241,0.10133499999681532
431605274,18.0549,16.978,17.1298,0.6283,0.5828,0.441,0.077091360650504
431605280,38.5076,35.9636,31.6041,0.1618,0.1092,0.0212,0.06346488289866778
431605281,40.251,37.4977,32.9145,0.1887,0.1314,0.0255,0.06012478543760053
431605282,36.6994,34.7725,29.9943,0.1822,0.1467,0.0226,0.06477336728387235
431605283,30.6992,29.1374,25.7906,0.1618,0.1301,0.0321,0.0661369411690469
431605289,41.7891,39.374,33.7135,0.1912,0.1474,0.0352,0.05347294092237722
431605299,24.5933,22.7728,21.3556,0.414,0.3885,0.27,0.06411244968272661
431605317,31.5771,28.8226,23.9268,0.4629,0.4243,0.2582,0.06283026644890574
431605329,11.7298,10.4028,10.7083,1.1517,1.0391,0.6403,0.07479714303071543
431605330,9.2685,8.2132,8.608,0.9216,0.8287,0.5125,0.08975514439115811
431605331,8.7485,7.8933,8.514,0.8195,0.7503,0.454,0.08433420746488306
431605335,34.8734,31.4524,23.0536,0.1809,0.1289,0.0195,0.06378702284985524
431605419,12.547,10.5506,14.1377,0.4061,0.3266,0.3171,0.07221810771057427
431605429,11.3759,9.5787,12.3954,2.4812,2.0816,1.8773,0.08266986501266944
431605438,14.582,13.1093,13.3113,0.0873,0.0599,0.0206,0.0650944959801985
431605439,15.3294,13.8156,13.7573,0.0931,0.065,0.0206,0.0650944959801985
431605440,19.9975,18.1289,16.6057,0.1308,0.1089,0.0477,0.06648685222060789
431605442,26.9014,24.5716,22.0279,0.2057,0.1827,0.1014,0.05279893651282317
431605447,37.2208,33.9919,28.0349,0.3799,0.3498,0.1694,0.04927912092245134
431605448,37.0337,33.686,28.4562,0.366,0.339,0.1675,0.04456103357379679
431605449,35.1159,31.6122,25.6617,0.4325,0.3964,0.223,0.05584942297118333
431605451,33.5836,30.0837,24.4622,0.4444,0.3949,0.2267,0.05560231145909046
431605452,31.062,27.7714,22.7334,0.3959,0.363,0.2051,0.05737948033237819
431605453,28.544,25.5982,21.4315,0.3504,0.3153,0.1681,0.05635029433027713
431605455,19.7431,17.7405,15.7292,0.2227,0.2033,0.1054,0.06477336728387235
431605457,14.1299,12.6281,11.9357,0.1628,0.1498,0.0768,0.07569824722699373
431605461,19.6064,17.3226,14.9441,0.2248,0.2018,0.102,0.07391723900466864
431605463,23.2084,20.71,17.3405,0.293,0.2565,0.1345,0.07099415216660818
431605465,25.8953,23.0976,19.4529,0.3565,0.3156,0.169,0.06411244968272661
431605466,28.8663,25.7911,21.9889,0.435,0.3941,0.222,0.05737948033237819
431605468,30.1938,26.9449,24.0787,0.475,0.4252,0.2673,0.0502646717369248
431605469,29.2101,26.1061,23.6798,0.486,0.4282,0.2768,0.0502646717369248
431605473,28.3477,25.1681,24.2781,0.5502,0.4782,0.3309,0.04778018079289879
431605477,21.9155,19.8353,19.8752,0.4146,0.3724,0.2588,0.051500646728563054
431605478,20.2062,18.1738,18.8842,0.3678,0.3235,0.2338,0.05257802831020273
431605493,15.4393,13.8022,15.572,0.3049,0.2614,0.2059,0.05439884443645084
431605511,14.6555,13.2537,13.5701,0.2152,0.1938,0.1311,0.06579069379816853
431605513,15.426,13.9976,13.4344,0.2509,0.2247,0.1393,0.07180546030797123
431605515,25.2626,22.8371,23.2021,1.2458,1.117,0.7292,0.035903621265810565
431605526,13.1484,11.8001,12.5422,1.0475,0.9364,0.6001,0.05872006370526449
431605527,15.9626,14.6053,14.4101,0.0831,0.0381,0.0163,0.08433420746488306
431605528,17.2114,15.3716,16.9738,0.0577,0.0152,0.0207,0.06314598028335774
431605529,16.5446,14.8687,15.9475,0.0118,0.0018,0.0157,0.08212958633865283
431605530,19.9125,16.6314,15.8422,1.6148,1.3422,1.0575,0.10926437976474195
431605531,20.6868,17.3936,16.7048,1.6766,1.3976,1.1004,0.10133499999681532
431605532,21.0591,17.685,17.0383,1.6675,1.3805,1.0907,0.09894156757337469
431605533,20.5422,17.2765,16.4033,2.1647,1.7874,1.4118,0.11119795425652645
431605534,22.248,19.0555,17.9225,0.8278,0.6939,0.5468,0.09894156757337469
431605540,27.0373,23.3796,21.5049,0.6806,0.5759,0.4407,0.09172037375316221
431605545,11.6979,9.7573,11.0441,0.2859,0.2317,0.1984,0.09447856694680049
431605547,11.9157,9.8776,11.0509,0.3734,0.3003,0.2464,0.09592081711552267
431605560,21.4632,19.5372,18.0506,0.1304,0.1062,0.0278,0.07099415216660818
431605564,17.7959,15.9556,14.6947,0.1094,0.0751,0.0156,0.09105580497377844
431605565,28.8982,25.7111,23.6002,0.7896,0.694,0.5305,0.07435458803139107
431605595,27.4434,24.4375,20.9398,0.1354,0.071,0.0446,0.06510896233025722
431605597,21.9566,19.7286,17.2494,0.1057,0.0438,0.0385,0.07953076456813789
431605602,49.5208,44.4741,36.1004,0.5139,0.3881,0.2293,0.05686023067241032
431605608,53.782,48.1392,39.7265,0.7769,0.6216,0.3639,0.04870612541107282
431605609,53.9225,48.3396,39.9637,0.9229,0.7515,0.4449,0.04759920052280796
431605611,45.2176,40.458,33.854,0.1867,0.0809,0.0356,0.058176383157876974
