detection_id,B,G,R,nB,nG,nR,Compactness
432971454,5.9584,6.5203,8.916,0.0705,0.0791,0.0832,0.1411769425941694
432971460,2.199,2.1293,3.196,0.042,0.0431,0.0416,0.18208192715442573
432971461,2.7475,2.6838,3.7044,0.0016,0.0015,0.0091,0.15322506464696445
432971463,1.5813,1.5339,2.8368,0.0286,0.0289,0.03,0.1794818739290955
432971464,1.5379,1.5045,2.5553,0.0084,0.0087,0.0134,0.19941430995731257
432971465,2.5974,2.4848,4.4309,0.0849,0.0804,0.0801,0.1351063003197879
432971466,2.763,2.689,4.6592,0.0394,0.0383,0.0417,0.12318763468639518
432971467,1.2811,1.2893,2.7563,0.0057,0.0054,0.0118,0.1794818739290955
432971468,3.753,3.8203,5.0341,0.0043,0.0044,0.0135,0.13088518977836702
432971469,3.6121,3.6851,5.6023,0.0026,0.0031,0.0148,0.10299600257653854
432971470,3.7374,3.7833,5.7091,0.0,0.0,0.0124,0.09972671719555438
432971471,3.6464,3.6456,5.6279,0.0004,0.0005,0.013,0.09894156757337469
432971473,1.6923,1.6016,2.8318,0.0002,0.0002,0.0071,0.17695501477362918
432971474,2.149,2.0796,3.452,0.0,0.0,0.0078,0.15705446369492315
432971475,5.3669,5.3147,6.9996,0.0,0.0,0.014,0.08849111644335216
