detection_id,B,G,R,nB,nG,nR,Compactness
427789048,19.2914,19.9591,23.3447,0.3375,0.3509,0.3639,0.08548150399146558
427789049,23.2737,23.8444,27.6096,0.2124,0.2213,0.2355,0.07953076456813789
427789050,27.4827,28.1172,32.1696,0.4273,0.4397,0.4591,0.07139750161301212
427789051,31.9073,32.6184,36.8919,0.5891,0.6071,0.6292,0.0661369411690469
427789052,39.86,40.6003,45.1144,0.7322,0.7508,0.7858,0.06100034753906654
427789121,29.0472,29.3586,33.1062,0.0926,0.0923,0.0925,0.05844695914181379
427789122,24.1082,24.4817,28.1524,0.0816,0.0822,0.0978,0.06190178642991358
427789123,23.6645,23.8937,27.3447,0.0822,0.0823,0.0975,0.06314598028335774
427789124,19.9969,20.3017,23.4462,0.0787,0.0793,0.0917,0.06904388481989716
427789125,15.6304,15.7587,18.4808,0.0564,0.0571,0.0674,0.08490398027194407
427789126,14.6148,14.7807,17.2778,0.0363,0.0362,0.0457,0.09447856694680049
427789127,12.8938,12.8266,15.4563,0.0266,0.0252,0.0352,0.09816868357674101
427789128,11.6683,12.0958,14.5794,0.2343,0.2367,0.2263,0.09665858053229819
427789129,12.2878,12.6303,15.1732,0.2862,0.2815,0.2662,0.0937735836449438
427789130,15.7041,16.3136,18.987,0.4915,0.4865,0.435,0.08003728818317192
427789131,17.9207,18.5921,21.0538,0.6399,0.6316,0.5544,0.07662132709270902
427789132,19.8861,20.6023,22.5629,0.6236,0.6245,0.5443,0.077091360650504
427789133,20.2412,20.7054,22.1336,0.6829,0.6818,0.6055,0.07662132709270902
427789134,29.4724,29.7052,35.001,0.4534,0.4637,0.5,0.07435458803139107
427789135,19.0174,19.1713,21.7137,0.6114,0.6098,0.5428,0.06648685222060789
427789136,27.6036,27.8828,32.9945,0.5077,0.5201,0.5474,0.07059533429497317
427789137,18.5034,19.0415,20.934,0.4255,0.4456,0.3988,0.07569824722699373
427789138,31.2572,31.7109,36.9077,1.093,1.1158,1.1489,0.07263552511680024
427789139,40.7915,41.2933,47.0008,2.1253,2.1601,2.2238,0.0675591583065621
427789140,41.959,42.6073,47.7249,2.6906,2.7205,2.7476,0.06444121395927624
427789142,34.679,35.1508,40.9336,4.1616,4.1979,4.265,0.05872006370526449
427789144,17.8147,18.1817,22.1229,0.9153,0.9233,0.9366,0.08266986501266944
427789145,14.6087,14.8107,18.3951,0.0,0.0,0.0127,0.09740778003073822
427789146,15.5883,15.8591,19.5041,0.0,0.0013,0.014,0.09592081711552267
427789152,14.1584,14.3211,17.5422,0.0004,0.0021,0.0122,0.10299600257653854
427789153,11.0096,11.1819,12.545,0.0801,0.0811,0.0813,0.11022268844923072
427789154,12.5659,12.727,15.9361,0.0,0.0,0.0115,0.10739689511380088
427789156,13.8591,14.1609,17.8249,0.2313,0.2314,0.2497,0.09447856694680049
427789158,13.5221,13.7887,17.4536,0.0,0.0,0.0133,0.09307904275505513
427789159,13.2514,13.5743,15.4978,0.0516,0.0512,0.0619,0.09172037375316221
427789162,12.4485,12.6355,16.3487,0.0202,0.0203,0.034,0.09519422993221213
427789163,9.6481,9.6304,11.0597,0.0815,0.0817,0.0896,0.11634512054520679
427789164,12.5027,12.7291,15.7725,0.3699,0.3731,0.3912,0.11527791973048969
427789165,10.2125,10.2617,11.5985,0.0862,0.0868,0.0941,0.11119795425652645
427789166,12.5426,12.7179,15.7474,0.0084,0.0085,0.0197,0.11219063124580061
427789167,10.9192,11.0576,12.1267,0.0872,0.0879,0.0931,0.1132011898318306
427789168,12.7736,12.8019,15.6256,0.0,0.0001,0.0107,0.11527791973048969
427789169,10.2229,10.3789,11.4782,0.0827,0.0835,0.0896,0.1132011898318306
427789170,12.6178,12.596,15.3057,0.0,0.0,0.0111,0.11119795425652645
427789171,10.3445,10.4461,11.6032,0.0864,0.0864,0.0931,0.11022268844923072
427789172,12.2924,12.4365,15.3622,0.0,0.0,0.0112,0.11022268844923072
427789173,9.9486,10.2146,11.343,0.0845,0.0847,0.0911,0.11119795425652645
427789174,12.2162,12.3306,15.2362,0.0,0.0,0.0113,0.10926437976474195
427789175,10.3489,10.51,11.8612,0.0869,0.0869,0.0914,0.10739689511380088
427789176,10.732,10.8955,12.2143,0.0897,0.0904,0.0945,0.10739689511380088
427789177,10.5511,10.9021,11.9733,0.0882,0.0884,0.0903,0.10299600257653854
427789178,10.1402,10.4896,11.4221,0.0838,0.0842,0.0821,0.10739689511380088
427789179,10.5946,10.6995,12.0225,0.0855,0.0857,0.0829,0.1132011898318306
427789180,10.7061,10.687,12.1832,0.0852,0.0851,0.0767,0.11119795425652645
427789181,8.8,9.0907,10.3063,0.1579,0.1583,0.1379,0.11423011752805243
427789182,8.6377,8.8705,10.3404,0.1539,0.1575,0.1438,0.11219063124580061
427789184,9.4511,9.6921,10.5542,0.1851,0.1946,0.1618,0.10832258979485408
427789185,9.7119,9.9328,10.7968,0.2058,0.2138,0.1729,0.10739689511380088
427789186,10.1793,10.4455,11.103,0.2659,0.2773,0.22,0.10832258979485408
427789187,9.0213,9.4166,10.5764,0.3247,0.342,0.271,0.1021587506273488
