detection_id,B,G,R,nB,nG,nR,Compactness
427588106,9.9698,22.7978,16.1058,0.1527,0.3331,0.1509,0.06220821570931003
427588107,9.339,20.0521,14.7699,0.2469,0.5651,0.3076,0.07569824722699373
427588108,9.3628,21.4094,14.9266,0.1961,0.427,0.1957,0.07059533429497317
427588109,4.0494,9.122,6.9639,0.1278,0.2792,0.1787,0.11423011752805243
427588110,2.8454,10.6621,9.0898,0.0562,0.1118,0.0761,0.10832258979485408
427588111,3.5752,12.6623,10.7236,0.0345,0.0838,0.0656,0.09972671719555438
427588112,5.0219,20.8288,16.3102,0.0746,0.322,0.2409,0.0815963233535219
427588134,9.7497,16.5174,9.4404,0.0271,0.0363,0.0279,0.06129789587454133
427588135,10.5158,15.2773,9.2561,0.0886,0.1063,0.0539,0.06251769380643689
427588136,11.4292,15.3425,9.2177,0.0727,0.0901,0.0422,0.06648685222060789
427588137,10.3028,15.6465,9.0744,0.067,0.0809,0.0447,0.0675591583065621
427588138,9.6039,15.8119,8.8443,0.0494,0.0683,0.041,0.06444121395927624
427588139,11.247,15.4929,8.5693,0.0643,0.0688,0.0341,0.06684048540909966
427588140,9.2448,13.7037,8.2477,0.0367,0.0447,0.0276,0.07221810771057427
427588142,8.9503,12.2275,7.6925,0.0322,0.0366,0.0246,0.07479714303071543
427588152,6.932,13.4773,7.6881,0.0521,0.0734,0.0346,0.06544805286939072
427588202,25.969,49.0134,28.6249,0.6582,1.223,0.4955,0.05560231145909046
427588204,23.9656,45.8112,26.0314,0.4192,0.8595,0.3184,0.056098740702361524
427588206,23.1639,44.0492,24.0264,0.3362,0.6991,0.232,0.0595549083537657
427588210,17.474,30.8891,18.4647,0.2383,0.4453,0.1469,0.07221810771057427
427588212,10.6399,17.1787,10.6256,0.2035,0.3172,0.1163,0.09894156757337469
427588213,5.843,8.064,5.6117,0.0817,0.0777,0.0331,0.11423011752805243
427588215,4.6426,7.7549,5.253,0.0445,0.0536,0.0238,0.1038470904936626
427588217,5.3412,7.8161,5.2287,0.0919,0.0993,0.0368,0.10471236017896915
427588218,4.1419,7.2635,4.8549,0.0322,0.0322,0.0188,0.10299600257653854
427588219,3.2561,6.9966,4.5116,0.0414,0.0548,0.0284,0.10559216905199818
427588220,2.2854,7.5482,4.8995,0.0097,0.02,0.0166,0.10648688664370398
427588221,2.9864,6.9104,4.7139,0.0199,0.0261,0.0182,0.11022268844923072
427588222,0.4979,4.9912,5.99,0.0,0.001,0.0175,0.07099415216660818
427588223,0.649,5.3096,5.9164,0.0,0.0003,0.017,0.07305779571290515
427588224,0.5902,5.2493,5.5892,0.0,0.0004,0.0153,0.08106994029334431
427588227,9.91,13.2194,7.2951,0.0538,0.0539,0.0385,0.07569824722699373
427588228,11.3354,13.9962,7.7146,0.1004,0.1098,0.0466,0.07569824722699373
427588229,10.3143,13.7761,7.9084,0.0687,0.0779,0.0387,0.0752449975094086
427588230,8.0028,11.6641,6.4877,0.099,0.1074,0.0473,0.07662132709270902
427588231,6.3606,11.2642,6.552,0.0397,0.0444,0.0284,0.07756719641593564
427588232,6.1569,10.7055,6.5303,0.0634,0.0708,0.0375,0.08003728818317192
427588233,5.4202,9.6292,6.075,0.0342,0.0492,0.0266,0.08849111644335216
427588234,5.3661,7.9968,5.2354,0.0731,0.0891,0.0308,0.10299600257653854
427588235,5.1883,7.4265,4.9209,0.0563,0.0558,0.0239,0.10648688664370398
427588236,10.9092,21.667,14.494,0.2035,0.4593,0.2362,0.10052442674077641
427588237,9.109,18.4128,12.5959,0.1195,0.2773,0.1285,0.10133499999681532
427588238,8.3782,18.3346,12.3945,0.088,0.2513,0.1103,0.09816868357674101
427588239,16.777,32.7489,22.9302,0.3235,0.8063,0.4754,0.08321729873508964
427588240,20.6062,41.2653,27.7765,0.3627,0.8917,0.4882,0.06510896233025722
427588258,3.5303,12.3136,8.0479,0.0412,0.0742,0.0485,0.07479714303071543
427588260,1.2034,5.288,5.1466,0.0085,0.0314,0.0265,0.07435458803139107
