detection_id,B,G,R,nB,nG,nR,Compactness
432500924,8.4725,18.5276,13.858,0.1695,0.4409,0.1951,0.06129789587454133
432500925,6.4578,13.9069,11.9161,0.0843,0.2601,0.1116,0.06190178642991358
432500934,4.4032,5.1517,3.0895,0.0131,0.012,0.0147,0.10739689511380088
432500935,5.1226,5.5426,3.3467,0.0127,0.0115,0.0141,0.09816868357674101
432500940,13.2168,14.4531,4.8552,0.0244,0.0236,0.0205,0.06648685222060789
432500947,11.3485,29.11,18.7334,0.2225,0.6601,0.3111,0.06792432131461863
432500949,9.1908,20.7199,16.2754,0.1672,0.3739,0.2281,0.06314598028335774
432500951,9.0152,23.0582,14.6331,0.1647,0.4149,0.1856,0.05439884443645084
432500952,14.1747,32.5234,20.1037,0.3066,0.7563,0.3291,0.05737948033237819
432500957,1.6071,8.1664,6.7856,0.0108,0.0354,0.0302,0.07391723900466864
432500960,14.5098,34.5759,22.7133,0.2525,0.6106,0.2801,0.04318289069619264
432500961,5.1738,16.5799,12.7386,0.1541,0.3208,0.1947,0.04947312713553582
432500962,21.9528,38.9558,29.5391,0.3855,0.7958,0.4442,0.05302170881884524
432500964,20.7347,32.3339,26.2009,0.3115,0.581,0.3317,0.048146301614186766
432500965,7.8242,16.1885,12.8371,0.2074,0.4282,0.2223,0.06411244968272661
432500968,2.244,4.4168,5.4605,0.0,0.0171,0.0189,0.06579069379816853
432500969,6.5137,19.8961,11.3134,0.1097,0.4028,0.1207,0.10052442674077641
432500970,7.46,22.0054,12.487,0.1078,0.4021,0.1239,0.10133499999681532
432500971,7.939,22.3308,13.0283,0.0811,0.3239,0.0965,0.09447856694680049
432500972,7.6224,22.4972,13.2026,0.102,0.3492,0.1126,0.0937735836449438
432500973,8.2505,25.0101,14.4871,0.0851,0.3516,0.1081,0.07953076456813789
432500974,11.0892,27.5173,15.7288,0.1513,0.4403,0.132,0.07853670966610296
432500975,11.8409,26.7984,14.8834,0.2499,0.5983,0.2392,0.08321729873508964
432500976,11.8743,26.8143,15.0076,0.221,0.5418,0.2086,0.08212958633865283
432500977,12.2965,21.2064,11.8405,0.5269,0.9273,0.3799,0.0661369411690469
432500978,9.7606,15.6383,9.4449,0.1992,0.3445,0.1506,0.07804894248762141
432500979,8.97,15.9975,10.0602,0.1883,0.3761,0.1463,0.07305779571290515
432500980,10.5336,25.6871,14.9732,0.1128,0.3306,0.1289,0.06129789587454133
432500981,11.6248,29.5883,16.4426,0.2193,0.5905,0.2569,0.07305779571290515
432500982,10.8418,30.4976,16.7903,0.0711,0.292,0.0841,0.07180546030797123
432500983,12.044,32.9162,18.5569,0.0768,0.323,0.0747,0.06684048540909966
432500984,11.4606,30.7271,18.1809,0.1026,0.3392,0.1065,0.05737948033237819
432500985,10.1845,28.5782,17.4266,0.1411,0.4576,0.1575,0.05844695914181379
432500986,8.9591,24.2413,15.6902,0.1007,0.3157,0.1227,0.05983849013957345
432500987,7.3763,17.7415,12.5877,0.1655,0.3699,0.1705,0.05686023067241032
432500989,10.9944,24.2592,15.9004,0.259,0.567,0.2721,0.051712576293637055
432500990,12.6818,27.6785,18.2461,0.3609,0.7719,0.3731,0.049668666921834095
432500993,8.1247,24.0141,15.059,0.064,0.2672,0.1014,0.05660411406725943
432500995,10.8996,28.7719,20.1402,0.0791,0.2915,0.1021,0.03739957928443719
432500998,12.0193,28.0582,19.4616,0.371,0.8536,0.4636,0.04851807655625124
432500999,11.5776,25.7276,18.5114,0.4632,1.0244,0.5497,0.0607056738604871
432501001,7.2,8.633,4.7609,0.1347,0.1429,0.0278,0.08055030487456037
432501002,8.1448,8.9026,3.562,0.0868,0.0961,0.022,0.10926437976474195
432501003,8.3621,9.4908,3.7071,0.0639,0.0698,0.0199,0.10832258979485408
432501004,16.8297,18.9864,7.9523,0.3313,0.3693,0.0725,0.0541643755046309
432501005,13.3058,13.9915,5.4472,0.1283,0.1259,0.0233,0.08975514439115811
432501006,15.1449,13.5954,4.9545,0.3944,0.3469,0.0505,0.09105580497377844
432501007,15.9323,15.2698,5.9083,0.1073,0.1011,0.0217,0.08975514439115811
432501008,16.3074,14.4801,6.2675,0.3787,0.3269,0.065,0.08726219508235135
432501009,13.4766,12.6412,5.2537,0.1008,0.0932,0.0201,0.09519422993221213
432501010,23.1976,21.9269,8.8367,0.2786,0.2468,0.0432,0.07059533429497317
432501011,23.2162,23.2736,9.7656,0.3535,0.3458,0.0749,0.06904388481989716
432501012,27.961,26.2414,11.561,1.7297,1.5383,0.3983,0.0661369411690469
432501022,13.1543,15.5312,6.0441,0.1968,0.2076,0.0393,0.07953076456813789
432501058,9.9847,9.2456,3.8599,0.3835,0.3556,0.0471,0.09816868357674101
432501067,8.9168,8.3027,3.6486,0.1114,0.1088,0.0178,0.09447856694680049
432501068,8.7508,8.1704,3.6183,0.0848,0.0772,0.0145,0.09665858053229819
432501069,4.3109,3.9627,4.3728,0.0,0.0139,0.0167,0.07435458803139107
432501072,3.9828,4.7217,3.4363,0.0029,0.0028,0.0131,0.09972671719555438
432501074,10.4985,9.2682,4.5116,0.144,0.124,0.0303,0.08321729873508964
432501075,9.3178,8.3827,4.1051,0.1888,0.1642,0.0369,0.09665858053229819
432501076,9.6415,8.6605,4.0383,0.2302,0.2056,0.0358,0.10559216905199818
432501080,9.9284,8.0376,4.5179,0.1483,0.1155,0.029,0.08377203058083679
432501085,6.0902,10.4014,5.506,0.0319,0.0424,0.0219,0.09040079679516942
