detection_id,B,G,R,nB,nG,nR,Compactness
126238919,36.0729,38.1122,17.8396,0.8444,0.8818,0.3031,0.056098740702361524
126239500,33.783,34.5581,17.9782,0.3882,0.4123,0.1201,0.06346488289866778
126239609,55.9644,56.5592,26.2196,0.7676,0.8011,0.2518,0.0595549083537657
126239982,27.9112,28.436,14.9559,0.2096,0.2198,0.0589,0.07569824722699373
126240036,40.5047,44.9924,23.1093,0.6446,0.7316,0.2347,0.05129044711249124
126240139,13.1504,12.303,7.0981,0.2161,0.2008,0.0491,0.10648688664370398
126240193,24.6614,21.6626,11.748,0.4602,0.3822,0.0911,0.07020097205976435
126240246,37.5775,36.7832,19.8973,0.5298,0.5076,0.1374,0.04520218287170602
126240453,78.0218,89.0802,44.3815,1.0794,1.3125,0.4027,0.045040172094838404
126240714,6.2516,8.5713,6.1426,0.0,0.0,0.0183,0.06792432131461863
126240872,6.2685,8.8737,6.5689,0.0009,0.001,0.0168,0.07569824722699373
