detection_id,B,G,R,nB,nG,nR,Compactness
427993137,9.042,9.4585,13.06,0.3181,0.3413,0.3742,0.10471236017896915
427993139,12.8781,12.985,17.6558,1.1729,1.1884,1.3133,0.08433420746488306
427993141,11.3649,11.3706,16.0578,0.7909,0.7859,0.866,0.08321729873508964
427993146,7.0409,7.4785,11.6692,0.373,0.3962,0.4495,0.09239471398211957
427993154,10.4047,11.014,16.4374,0.1532,0.1714,0.2215,0.09519422993221213
427993156,9.4781,10.1867,15.4813,0.179,0.2055,0.2631,0.1021587506273488
427993157,12.4413,13.3482,19.0523,0.2178,0.2398,0.3141,0.09040079679516942
427993158,14.0835,15.2259,21.1171,0.2821,0.3146,0.3911,0.08849111644335216
427993160,9.2544,9.6418,12.6847,0.0849,0.0859,0.0964,0.10648688664370398
427993162,9.8338,10.308,13.2033,0.0836,0.085,0.095,0.10832258979485408
427993165,12.6084,13.8989,19.6086,0.4385,0.4987,0.6275,0.08490398027194407
427993166,7.6863,8.573,12.9662,0.2033,0.2318,0.2821,0.10299600257653854
427993170,13.496,13.1728,16.5308,0.0,0.0,0.013,0.09519422993221213
427993171,13.5316,13.1655,16.6747,0.0,0.0,0.0129,0.09592081711552267
427993172,13.9536,13.4711,17.1294,0.0206,0.0196,0.0329,0.0937735836449438
427993176,18.2147,17.477,21.9253,0.5956,0.5764,0.6035,0.07953076456813789
427993177,8.4429,9.2071,15.1836,0.2663,0.2951,0.3906,0.08266986501266944
427993178,17.1885,16.4765,20.9166,1.0715,1.0253,1.0857,0.08433420746488306
427993179,8.3257,8.9111,13.1001,0.1759,0.1999,0.2406,0.08911864874469005
427993180,14.4132,13.8253,18.5734,0.7244,0.6951,0.7408,0.07953076456813789
427993206,11.0411,11.7264,17.6543,0.1259,0.1289,0.1721,0.08726219508235135
427993209,11.7987,12.8351,18.1456,0.1442,0.1618,0.1996,0.09040079679516942
427993211,11.2105,12.2069,17.3487,0.1358,0.1464,0.193,0.09447856694680049
427993212,10.9658,11.9482,17.2058,0.1333,0.149,0.1931,0.09239471398211957
427993214,7.6615,7.7183,12.1831,0.3865,0.3826,0.4409,0.08490398027194407
427993217,9.6233,9.8808,13.6974,0.367,0.3813,0.4258,0.09519422993221213
427993218,11.5268,11.8989,16.1237,0.4273,0.4419,0.4845,0.09239471398211957
427993231,11.1439,11.2072,13.9608,0.0201,0.0135,0.0179,0.10133499999681532
427993233,21.0265,21.3506,25.1635,0.2464,0.2556,0.26,0.07662132709270902
427993241,33.6689,33.3171,37.9877,0.3984,0.3958,0.4151,0.07348500463068167
427993242,20.2011,21.6694,33.8058,0.2554,0.2946,0.4322,0.07221810771057427
427993245,12.2867,11.7968,14.6166,0.0693,0.061,0.0664,0.10299600257653854
427993247,18.8256,18.2874,21.4678,0.3581,0.3394,0.3296,0.07804894248762141
427993248,19.8859,19.4703,22.6161,0.3714,0.3595,0.344,0.07615699026400004
427993249,20.0059,19.4045,22.6342,0.3349,0.3209,0.305,0.07221810771057427
427993264,15.1616,15.7985,17.5351,0.4455,0.4747,0.4148,0.08433420746488306
427993265,23.387,22.8655,27.6934,0.2348,0.2303,0.2453,0.077091360650504
427993266,18.5171,19.1463,21.165,0.3798,0.3959,0.3556,0.077091360650504
427993267,24.8527,24.5294,29.0422,0.8435,0.8404,0.8191,0.07615699026400004
427993268,14.6435,15.6075,18.5871,0.465,0.5106,0.4622,0.07756719641593564
