detection_id,B,G,R,nB,nG,nR,Compactness
432953986,5.6507,9.9816,5.0078,0.0715,0.1034,0.0329,0.07221810771057427
432953987,4.319,9.3322,4.3254,0.0497,0.066,0.0252,0.08266986501266944
432953988,3.4635,8.8834,4.6436,0.0267,0.0584,0.0252,0.07479714303071543
432953989,2.7547,8.1818,4.6608,0.0182,0.0501,0.0228,0.07391723900466864
432953991,3.2397,7.7399,4.6567,0.0029,0.0216,0.0182,0.07348500463068167
432953992,2.1146,5.977,4.0694,0.0227,0.0597,0.0231,0.08433420746488306
432953993,1.3748,4.5563,3.6105,0.0129,0.035,0.0165,0.09447856694680049
432953994,3.1624,6.5312,5.1868,0.0256,0.0412,0.0298,0.07662132709270902
432953997,2.5308,5.8178,4.803,0.0199,0.0481,0.0357,0.07348500463068167
432953998,2.2799,5.6056,4.704,0.0074,0.0235,0.0213,0.07435458803139107
432953999,2.3291,5.3206,4.5793,0.0143,0.0294,0.0247,0.07756719641593564
432954004,0.2922,1.5765,4.7329,0.0005,0.0352,0.0188,0.06942531913488556
432954005,3.8778,7.4323,5.0036,0.0161,0.0309,0.0224,0.07221810771057427
432954006,3.5593,7.2939,4.9873,0.0191,0.0367,0.0237,0.07180546030797123
432954010,4.8683,10.9136,5.8729,0.052,0.0888,0.0399,0.06792432131461863
432954013,4.2617,8.3327,5.0869,0.024,0.0443,0.0243,0.06942531913488556
432954015,3.5463,6.4807,4.5382,0.0097,0.0181,0.0202,0.077091360650504
432954016,2.5832,6.168,4.1575,0.0046,0.0189,0.0172,0.08266986501266944
432954018,1.15,4.6569,4.1538,0.0292,0.0683,0.0329,0.08377203058083679
432954019,0.9549,4.1256,4.3746,0.0012,0.0311,0.0167,0.07903061153879146
432954020,0.6182,3.1039,5.221,0.0001,0.0261,0.0188,0.06648685222060789
432954031,6.9622,8.9117,3.5559,0.0182,0.0223,0.0123,0.10471236017896915
432954032,6.5766,9.5811,3.7288,0.047,0.0663,0.0152,0.1021587506273488
432954033,7.3429,9.8323,3.6576,0.0481,0.074,0.017,0.09894156757337469
432954036,10.8221,13.2001,5.313,0.1225,0.1571,0.0414,0.09519422993221213
432954037,6.8698,9.9967,4.3616,0.0709,0.0968,0.0319,0.09665858053229819
432954040,5.7301,8.6734,3.2977,0.0139,0.0194,0.0128,0.1132011898318306
432954041,6.1906,8.8793,3.666,0.0409,0.0595,0.0186,0.11219063124580061
432954048,12.0433,15.1502,6.3006,0.326,0.3848,0.1269,0.0937735836449438
432954049,11.1853,13.8113,5.4638,0.1076,0.1244,0.0419,0.09040079679516942
432954055,12.5356,16.0518,6.8431,0.1926,0.2494,0.0873,0.08433420746488306
432954065,6.3551,9.9181,3.6473,0.0271,0.0424,0.0143,0.10299600257653854
432954066,6.7025,9.629,3.6742,0.0272,0.0415,0.0147,0.09972671719555438
432954072,6.721,10.9034,4.1917,0.0153,0.0258,0.0163,0.09519422993221213
432954080,9.4612,12.7741,6.3059,0.0951,0.1194,0.0385,0.0937735836449438
432954083,19.3657,21.6932,9.6446,0.3248,0.3367,0.0969,0.07139750161301212
432954086,16.2729,17.8309,9.7566,0.1877,0.1895,0.0765,0.06129789587454133
432954118,9.3086,13.2054,6.018,0.1971,0.2627,0.083,0.08606693785815557
432954119,6.6548,9.8651,5.3842,0.2141,0.2772,0.0946,0.08212958633865283
432954120,6.4968,9.7077,5.2239,0.1388,0.186,0.0694,0.08321729873508964
432954121,6.9046,10.0675,4.8993,0.1017,0.1367,0.0467,0.08490398027194407
432954122,7.0862,11.0117,5.3725,0.1375,0.1804,0.0673,0.08106994029334431
432954125,0.6537,1.5769,2.7967,0.0,0.0261,0.0108,0.11423011752805243
432954126,0.6755,1.5698,3.098,0.0,0.0266,0.012,0.10299600257653854
432954127,0.73,1.5124,3.1784,0.0,0.0275,0.0123,0.10052442674077641
432954128,0.7379,1.5008,3.1551,0.0,0.0259,0.0122,0.10133499999681532
432954129,0.5465,1.6511,3.3056,0.0,0.0253,0.0128,0.09665858053229819
