detection_id,B,G,R,nB,nG,nR,Compactness
126783362,19.8454,20.8774,15.1079,0.2186,0.2437,0.1332,0.0661369411690469
126783534,9.7292,16.8007,12.737,0.338,0.6375,0.3272,0.07348500463068167
126783561,10.1697,16.003,12.1182,0.388,0.6458,0.3378,0.08321729873508964
126783586,10.5688,16.0037,12.3843,0.3092,0.4634,0.2414,0.08490398027194407
126783662,12.4307,18.3283,14.667,0.3471,0.5323,0.2953,0.07305779571290515
126783686,14.15,19.2744,15.1729,0.5054,0.674,0.3752,0.07139750161301212
126783712,13.2623,18.5724,13.6434,0.3634,0.5056,0.2519,0.07903061153879146
126783738,14.0322,19.316,13.6199,0.3962,0.5641,0.2697,0.07756719641593564
126783787,14.2881,18.4942,12.9422,0.4449,0.5809,0.2633,0.07662132709270902
126783812,13.0003,17.6256,12.9646,0.2812,0.3809,0.1857,0.06579069379816853
126783837,14.074,18.4634,12.5275,0.251,0.3403,0.1584,0.07662132709270902
126783864,13.9868,18.7415,12.8059,0.2563,0.3724,0.1774,0.07263552511680024
126783889,13.4745,20.1641,13.0443,0.2243,0.3453,0.1753,0.07479714303071543
126783913,11.5583,17.2265,11.8098,0.2377,0.3489,0.1778,0.07263552511680024
126783937,9.8809,14.9806,10.6045,0.1353,0.2106,0.1091,0.07903061153879146
126783962,7.4688,12.3664,8.912,0.1419,0.218,0.1182,0.09105580497377844
126783988,7.1944,11.8555,8.5302,0.0911,0.1358,0.0764,0.09239471398211957
126784013,7.13,11.7171,8.7689,0.0771,0.1234,0.0762,0.08911864874469005
126784065,11.4209,17.7223,12.3291,0.2421,0.3444,0.1841,0.07391723900466864
126784091,10.3403,15.7489,12.5265,0.3159,0.4849,0.2632,0.06648685222060789
126784116,10.0715,13.7764,11.799,0.3602,0.4458,0.2414,0.06719790044098876
126784141,11.2965,14.5889,12.3234,0.3536,0.4729,0.2516,0.06942531913488556
126784240,18.4718,32.3118,26.124,0.4865,0.8525,0.5513,0.07221810771057427
126784391,14.9767,29.1629,23.4156,0.5502,1.0483,0.6652,0.06981099120988524
126784415,16.0761,27.8817,22.5883,0.5319,0.9467,0.6133,0.07569824722699373
126784441,11.0294,18.9688,15.5883,0.4085,0.7338,0.468,0.09665858053229819
126784489,4.2933,10.5989,9.4895,0.1573,0.3889,0.2348,0.08975514439115811
126784514,7.1512,15.8958,12.7933,0.405,0.9137,0.5291,0.08212958633865283
