detection_id,B,G,R,nB,nG,nR,Compactness
432430353,23.2347,23.4807,27.4585,0.2979,0.3002,0.326,0.07615699026400004
432430355,18.1205,17.9607,21.117,0.2693,0.2744,0.2863,0.07804894248762141
432430357,10.6577,10.2981,13.8098,0.134,0.1363,0.1577,0.07435458803139107
432430362,4.6129,4.2448,6.4968,0.0675,0.0646,0.0645,0.09447856694680049
432430368,2.586,2.2285,3.8179,0.0211,0.0195,0.0231,0.1411769425941694
432430371,6.7161,5.9622,6.6328,0.332,0.3004,0.1797,0.1132011898318306
432430379,3.4006,3.066,4.3278,0.0289,0.0269,0.0285,0.15322506464696445
432430380,4.4679,4.1118,5.954,0.0755,0.0694,0.063,0.11119795425652645
432430381,6.0984,5.8495,7.9224,0.1252,0.1228,0.1139,0.1021587506273488
432430383,4.1259,3.9062,5.3533,0.0701,0.0639,0.0585,0.15705446369492315
432430384,3.2907,3.1926,4.6521,0.0597,0.057,0.0548,0.17449830252036147
432430389,8.5115,8.1412,13.0859,0.1111,0.1086,0.1383,0.07569824722699373
432430391,3.0126,2.751,3.8304,0.0122,0.0063,0.0076,0.22039234176969208
432430395,3.8237,3.413,5.0468,0.035,0.0256,0.0325,0.1903544897796419
432430467,35.6094,32.7078,35.5258,0.4191,0.39,0.3402,0.05584942297118333
432430469,12.3186,11.4283,14.7651,0.3021,0.2816,0.2892,0.08787235948346774
432430470,4.0205,3.9719,7.8307,0.0529,0.0532,0.0817,0.10648688664370398
432430472,3.0683,3.0424,5.7726,0.0292,0.028,0.0412,0.1427807996875266
432430476,2.8584,2.7491,4.7726,0.011,0.0089,0.0214,0.18208192715442573
432430478,4.7369,4.693,6.861,0.0773,0.076,0.0848,0.14781870195462177
432430479,3.27,3.229,5.5623,0.0077,0.0067,0.0193,0.14781870195462177
432430481,5.0518,5.1223,7.2159,0.0,0.0006,0.0088,0.1427807996875266
432430482,13.863,12.8873,20.1265,0.5936,0.5364,0.5277,0.0404059159192194
432430484,9.3923,8.4381,12.7661,0.1343,0.1153,0.139,0.07804894248762141
432430500,9.3811,9.8764,16.7241,0.1196,0.1317,0.1747,0.057118675464029094
432430502,4.8735,4.4776,5.9794,0.0481,0.0387,0.037,0.16108014280507627
432430503,15.8911,14.6536,17.1728,0.2418,0.2194,0.2077,0.08849111644335216
432430504,24.1271,22.0791,24.4678,0.4322,0.3846,0.3809,0.08321729873508964
432430506,2.7003,2.5625,4.3129,0.0824,0.078,0.0847,0.18208192715442573
432430508,3.2615,2.984,4.5507,0.1097,0.1026,0.1014,0.15511613727099602
432430514,4.8659,4.586,7.6016,0.0401,0.0387,0.0494,0.09972671719555438
432430515,4.8463,4.4901,7.5431,0.0239,0.0227,0.0342,0.10052442674077641
432430517,4.8506,4.4281,7.5949,0.0237,0.0218,0.034,0.10052442674077641
432430520,4.7034,4.2506,7.3385,0.0531,0.0492,0.0626,0.09519422993221213
432430521,5.0409,4.6689,7.7155,0.0655,0.0624,0.0741,0.09447856694680049
432430522,4.7622,4.4347,7.2744,0.0549,0.0503,0.0629,0.10648688664370398
432430550,18.1711,17.4681,23.5437,0.1991,0.1964,0.2197,0.044403578072467774
432430579,14.7584,13.7485,18.7552,0.141,0.1239,0.16,0.09172037375316221
432430581,6.2907,6.4324,9.33,0.1637,0.1677,0.1879,0.11853991327830876
432430582,7.1717,7.2687,10.3322,0.1576,0.1612,0.1809,0.1132011898318306
432430583,9.8771,9.9452,13.6574,0.1713,0.172,0.1962,0.09592081711552267
432430588,9.6128,9.546,13.0172,0.1217,0.12,0.1334,0.08787235948346774
432430600,2.0352,1.86,3.5883,0.0265,0.0256,0.031,0.14610036423614817
432430602,11.7427,11.5567,13.4875,0.1314,0.1294,0.1307,0.10648688664370398
432430604,18.5013,16.9867,17.8789,0.526,0.4771,0.3698,0.07139750161301212
432430614,8.7814,8.6908,10.0973,0.0596,0.0581,0.0621,0.1256508846247525
432430620,6.6751,6.4055,8.9385,0.1173,0.1142,0.1247,0.10052442674077641
432430622,1.8905,1.6846,2.5666,0.0257,0.0242,0.0214,0.2129260181386661
432430624,2.1354,1.95,2.9921,0.0533,0.0495,0.0417,0.18751471302418415
432430630,3.5322,3.2564,4.5898,0.1802,0.164,0.1268,0.1411769425941694
432430636,30.9778,28.6349,26.5522,0.7281,0.6659,0.4484,0.04259737366383495
432430643,19.527,19.5208,24.2283,0.3437,0.3445,0.3795,0.08003728818317192
432430670,4.1133,3.5941,4.4169,0.0861,0.0742,0.0577,0.1653175867489029
432430672,6.9754,5.9257,6.5077,0.1737,0.1473,0.1014,0.11634512054520679
432430675,10.1864,8.7694,8.712,0.1558,0.1282,0.0755,0.11527791973048969
432430677,6.8703,6.4489,8.6188,0.1127,0.1051,0.1109,0.1336693370934263
432430683,1.2531,1.078,2.9174,0.0182,0.0161,0.023,0.15511613727099602
432430697,3.8608,3.7849,6.4299,0.1299,0.1271,0.1454,0.13226261511265314
432430716,6.4954,6.2532,9.9078,0.0962,0.094,0.0985,0.06792432131461863
432430753,12.3835,11.9154,18.5502,0.4089,0.3794,0.3828,0.04456103357379679
432430780,11.1507,10.8089,14.2976,0.3364,0.3235,0.33,0.08433420746488306
432430790,2.0877,2.0037,3.0894,0.0957,0.0938,0.0765,0.1963000700655754
432430803,2.7164,2.4131,3.4552,0.0452,0.0385,0.0322,0.16317136358672749
432430814,9.8826,9.8193,15.0106,0.2083,0.2074,0.2409,0.05463535211139932
432430816,18.1135,16.2573,21.0222,0.1067,0.0613,0.0743,0.06314598028335774
432430827,19.9939,18.88,21.9012,0.4176,0.3819,0.3824,0.08975514439115811
432430835,1.9208,1.7835,2.8624,0.0087,0.0083,0.0126,0.18751471302418415
432430839,10.3147,10.0727,11.3955,0.1344,0.1336,0.121,0.09519422993221213
432430843,7.2091,6.8458,8.5151,0.0924,0.0928,0.0864,0.09239471398211957
432430855,1.338,1.2351,2.4003,0.0021,0.0018,0.0074,0.20262892686416292
432430858,5.4353,5.1715,6.4751,0.0581,0.0558,0.0531,0.13226261511265314
432430859,2.4806,2.3408,3.4329,0.0632,0.0599,0.0528,0.1963000700655754
432430862,3.6927,3.4837,5.0039,0.0227,0.0221,0.0263,0.12691981982432735
432430863,4.4541,4.2924,5.8814,0.0298,0.0291,0.0326,0.11743226366213184
432430864,5.0135,4.8396,6.5329,0.0246,0.0248,0.0309,0.10559216905199818
432430870,5.2887,5.0518,6.9476,0.0423,0.0434,0.0462,0.09740778003073822
432430877,3.9068,3.673,5.1881,0.0611,0.0597,0.0595,0.13657449043501094
432430884,2.0023,1.9252,2.9103,0.0288,0.0283,0.0253,0.19941430995731257
432430887,1.9287,1.8287,2.8372,0.024,0.0234,0.0217,0.20262892686416292
432430889,0.7309,0.6651,1.8816,0.0,0.0,0.0062,0.1963000700655754
432430894,4.0792,3.8011,5.1903,0.0805,0.0778,0.0692,0.12691981982432735
432430895,3.8335,3.567,5.0114,0.0325,0.0306,0.0326,0.12953615542145414
432430896,3.9059,3.6267,5.0427,0.0656,0.063,0.0578,0.13088518977836702
432430897,3.7972,3.5784,5.0211,0.0453,0.0443,0.0439,0.13088518977836702
432430899,3.4917,3.3156,4.6977,0.0207,0.0202,0.0237,0.13807493637999585
432430903,4.5014,4.3474,6.0071,0.0917,0.0904,0.0773,0.11219063124580061
432430905,2.9717,2.799,4.061,0.0357,0.0341,0.0336,0.15511613727099602
432430907,2.3009,2.2549,4.1094,0.0938,0.0923,0.0904,0.1495779344429456
432430911,1.9391,1.8912,3.2128,0.0819,0.0816,0.0807,0.21659487670178934
432430920,6.4236,5.9742,8.1926,0.0574,0.0558,0.0628,0.12199187159268324
432430922,7.8171,7.4677,10.7711,0.0389,0.0361,0.0524,0.11743226366213184
