detection_id,B,G,R,nB,nG,nR,Compactness
432906718,4.3255,4.3812,5.9167,0.0658,0.0673,0.074,0.2059488517353309
432906726,2.6682,2.5405,2.8759,0.0,0.0,0.0104,0.11853991327830876
432906728,5.5872,5.6249,7.4047,0.0679,0.0669,0.0737,0.11527791973048969
432906730,4.0403,4.2908,5.7024,0.0213,0.0234,0.0266,0.18751471302418415
432906736,16.2902,16.4522,21.7632,0.1861,0.1876,0.2295,0.04927912092245134
432906738,4.4337,4.5014,7.4555,0.129,0.131,0.1615,0.1427807996875266
432906760,25.4391,26.3161,31.5422,0.4878,0.5118,0.5556,0.06981099120988524
432906761,23.4185,24.1619,29.28,0.378,0.393,0.4269,0.07099415216660818
432906762,18.7877,19.5218,23.3104,0.5472,0.5705,0.5632,0.06719790044098876
432906770,1.8495,1.8746,3.022,0.0604,0.0622,0.0593,0.224325293611701
432906771,1.8248,1.8695,2.9368,0.0651,0.0686,0.0625,0.23262772230212783
432906772,6.66,6.3802,6.6173,0.0268,0.0277,0.0467,0.08055030487456037
432906778,3.1282,3.1126,5.1948,0.1085,0.1094,0.1109,0.1336693370934263
