detection_id,B,G,R,nB,nG,nR,Compactness
432556727,1.9932,18.3552,13.9845,0.0245,0.3703,0.1819,0.08212958633865283
432556728,2.2836,19.2431,14.6243,0.0395,0.4185,0.2082,0.07903061153879146
432556729,2.189,18.5074,14.2655,0.057,0.4188,0.2245,0.077091360650504
432556730,2.204,18.998,14.496,0.0666,0.5455,0.2885,0.07662132709270902
432556731,2.5431,19.5679,14.8738,0.032,0.341,0.1705,0.077091360650504
432556732,2.5363,19.5959,14.8534,0.0415,0.3889,0.1962,0.077091360650504
432556733,2.484,18.2196,14.2012,0.0506,0.4651,0.2426,0.07853670966610296
432556734,9.6746,12.3735,7.8111,0.1171,0.1677,0.0471,0.10133499999681532
432556735,15.9784,18.0736,11.2549,0.1594,0.1868,0.0409,0.0752449975094086
432556736,23.6455,25.5451,14.5473,0.2309,0.2581,0.0711,0.07180546030797123
432556737,26.2024,28.0534,15.6501,0.2538,0.2744,0.0787,0.07479714303071543
432556738,27.6808,29.8509,16.4085,0.2411,0.2818,0.0738,0.07059533429497317
432556739,31.9107,35.167,18.9216,0.4077,0.4804,0.1264,0.059274001684944774
432556740,33.0971,36.1271,20.77,0.4024,0.4814,0.1245,0.044879318492720414
432556760,8.3811,7.6382,5.1095,0.0627,0.0553,0.0316,0.07180546030797123
432556761,9.8105,8.4277,5.5343,0.0612,0.0533,0.0303,0.06684048540909966
432556762,9.8728,8.5719,5.4667,0.1047,0.0946,0.039,0.07139750161301212
432556763,8.3042,7.6412,4.6307,0.0682,0.0566,0.0256,0.08321729873508964
432556764,7.3086,7.5256,4.4876,0.1006,0.0812,0.0254,0.09447856694680049
432556765,6.5874,4.5346,3.1743,0.0213,0.0155,0.0137,0.11119795425652645
432556766,6.4493,4.9489,3.3846,0.0499,0.0373,0.0209,0.1038470904936626
432556767,6.4912,4.1959,3.2811,0.0482,0.0346,0.0191,0.10471236017896915
432556768,6.0902,4.3359,3.5075,0.0466,0.038,0.0194,0.09740778003073822
432556769,6.6096,4.6409,3.5236,0.0183,0.0129,0.0145,0.09665858053229819
432556770,7.6282,4.79,3.9231,0.0448,0.0339,0.0209,0.09040079679516942
432556771,8.1974,5.2151,4.0976,0.0492,0.035,0.0257,0.08975514439115811
432556778,3.0054,1.273,4.0698,0.0469,0.0038,0.0157,0.07903061153879146
432556779,2.2328,1.3046,4.149,0.0544,0.0164,0.0162,0.07756719641593564
432556785,5.9653,4.7517,3.9965,0.0032,0.0025,0.0146,0.08849111644335216
432556793,8.5838,6.9491,5.6832,0.1306,0.0997,0.0383,0.08726219508235135
432556794,8.7227,7.1252,5.4086,0.1078,0.0821,0.0296,0.09239471398211957
432556796,8.4183,6.8408,5.1396,0.0649,0.0527,0.0244,0.09172037375316221
432556798,8.0137,5.8801,4.9268,0.075,0.0566,0.028,0.0937735836449438
432556821,1.5232,5.899,6.6156,0.0093,0.0507,0.0315,0.05790830079919458
432556828,12.5959,21.9537,21.6711,0.3986,0.6893,0.5463,0.07263552511680024
432556829,16.8047,28.1047,26.0321,0.5091,0.8831,0.672,0.07853670966610296
