detection_id,B,G,R,nB,nG,nR,Compactness
432719472,3.4312,3.5111,5.014,0.0003,0.0005,0.0071,0.1963000700655754
432719473,3.538,3.6094,5.0915,0.0003,0.0006,0.0069,0.19941430995731257
432719474,4.0679,4.0069,5.5411,0.2977,0.2945,0.2935,0.19941430995731257
432719475,3.5452,3.5755,5.1155,0.0008,0.0009,0.0071,0.1963000700655754
432719476,4.0443,3.9828,5.5051,0.0979,0.0967,0.101,0.19941430995731257
432719477,3.6671,3.7217,5.2525,0.0005,0.0008,0.0072,0.1963000700655754
432719478,3.9796,3.9107,5.4766,0.069,0.0688,0.0728,0.1963000700655754
432719479,3.7318,3.7983,5.336,0.0013,0.0015,0.0081,0.1963000700655754
432719481,3.7367,3.7432,5.2891,0.0058,0.0059,0.0126,0.19941430995731257
432719482,3.3751,3.3395,4.8947,0.0299,0.0251,0.0345,0.19941430995731257
432719483,4.7728,4.6982,6.2468,0.0321,0.032,0.038,0.2059488517353309
432719484,3.5589,3.6388,5.1446,0.0,0.0,0.0062,0.19941430995731257
432719485,4.5859,4.502,6.0371,0.0573,0.0564,0.0625,0.20262892686416292
432719487,4.0431,3.9972,5.36,0.0949,0.0931,0.0966,0.2129260181386661
432719488,3.2556,3.3558,4.8231,0.0008,0.0009,0.0074,0.20262892686416292
432719492,2.9688,3.0121,4.428,0.0006,0.0007,0.0065,0.22039234176969208
432719495,3.3968,3.3325,4.7859,0.049,0.0479,0.0532,0.2129260181386661
432719496,4.0781,4.0261,5.4343,0.1146,0.1121,0.1166,0.2093793437612272
432719499,4.0572,3.982,5.424,0.0953,0.0928,0.0981,0.2093793437612272
432719505,3.2621,3.3112,4.8268,0.0008,0.0013,0.0076,0.2059488517353309
432719506,3.2174,3.1869,4.6613,0.0,0.0,0.0059,0.2059488517353309
432719507,3.8326,3.7462,5.2372,0.0778,0.0764,0.082,0.2129260181386661
432719513,5.8325,5.9572,7.7871,0.0076,0.0085,0.0179,0.1721088567938853
432719514,4.4784,4.5822,6.3151,0.0059,0.0067,0.015,0.18208192715442573
432719515,3.8125,3.7429,5.4149,0.0071,0.0068,0.0116,0.1903544897796419
432719518,8.2601,8.1256,10.3974,0.0307,0.0286,0.0354,0.13657449043501094
432719521,3.1174,3.0488,4.7217,0.0012,0.0005,0.0071,0.18475840065665078
432719524,7.6316,7.5047,9.8112,0.0182,0.0162,0.0257,0.13807493637999585
432719527,9.0376,8.7829,11.2808,0.016,0.0121,0.0253,0.13226261511265314
432719533,3.4189,3.512,5.0799,0.0019,0.0029,0.0098,0.1903544897796419
432719536,3.0024,3.0722,4.7285,0.0083,0.0092,0.0163,0.19328157927359077
432719539,5.8933,6.0244,8.0428,0.0032,0.0042,0.0136,0.15137953892966877
