detection_id,B,G,R,nB,nG,nR,Compactness
429392656,17.122,17.7297,21.3959,0.2105,0.2215,0.227,0.07804894248762141
429392657,18.6767,19.3212,23.1891,0.2384,0.2485,0.2569,0.07435458803139107
429392659,17.8294,18.4768,22.1979,0.0886,0.0914,0.1056,0.08433420746488306
429392660,19.5128,20.2687,24.2936,0.0992,0.1022,0.1177,0.077091360650504
429392764,3.4294,5.6736,11.552,0.0,0.0019,0.0238,0.05324636892277132
429392765,46.6959,53.7855,52.4435,0.8986,1.0546,0.9054,0.05347294092237722
429392766,3.9606,6.1886,11.6779,0.0266,0.0356,0.0469,0.05324636892277132
429392778,4.6855,5.6647,9.1994,0.091,0.1026,0.0959,0.08490398027194407
429392781,8.1149,11.3491,15.1015,0.1994,0.2865,0.2889,0.07348500463068167
429392782,4.6378,5.6817,11.4859,0.0401,0.0453,0.0608,0.07391723900466864
429392783,8.5749,11.4373,14.7443,0.2826,0.3672,0.3327,0.07348500463068167
429392784,4.3524,5.5034,11.3266,0.0288,0.0334,0.0505,0.0752449975094086
429392785,7.3479,10.0595,13.9917,0.2497,0.3426,0.3569,0.08003728818317192
429392786,3.8635,5.0961,11.0438,0.0214,0.0255,0.0428,0.07853670966610296
429392787,7.513,10.9598,14.5028,0.1905,0.2655,0.2454,0.07615699026400004
429392788,7.7252,11.2731,15.0989,0.1675,0.2407,0.2408,0.07569824722699373
429392789,7.9813,11.7706,15.7919,0.1558,0.2239,0.225,0.07180546030797123
429392790,8.5267,12.3784,16.4742,0.161,0.2259,0.2318,0.07020097205976435
429392791,9.3219,13.5284,18.0312,0.1793,0.2508,0.2583,0.06251769380643689
429392863,7.6765,9.6967,14.4976,0.168,0.2075,0.2121,0.06579069379816853
429392864,4.4154,6.0904,10.0967,0.1033,0.1301,0.1531,0.08911864874469005
429392865,5.4824,7.5108,11.9893,0.2014,0.25,0.3184,0.08490398027194407
429392866,5.9937,8.2768,12.4149,0.256,0.3331,0.4089,0.09172037375316221
429392867,5.8062,7.9597,12.4333,0.2529,0.3258,0.3956,0.09172037375316221
429392869,2.0026,6.4246,13.7445,0.021,0.124,0.2114,0.09307904275505513
429392870,2.3906,7.9806,17.336,0.0367,0.167,0.2815,0.06829345312829196
429392871,2.4719,8.1533,17.5574,0.0393,0.1844,0.3063,0.06719790044098876
429392872,2.0879,6.9678,14.6069,0.0541,0.2069,0.3342,0.08433420746488306
429392889,7.8808,10.3647,18.6974,0.0,0.0,0.0275,0.04536536335524013
429392890,8.2442,14.5252,24.1807,0.0104,0.0546,0.104,0.05046653131091824
429392969,9.7968,19.1913,32.502,0.1272,0.3042,0.4445,0.051712576293637055
429392983,5.9543,10.6845,17.0963,0.0619,0.2231,0.3303,0.06866661880204716
429393077,0.1101,0.3168,3.4538,0.0,0.0307,0.0136,0.09307904275505513
429393079,0.7762,1.8016,5.111,0.0,0.0924,0.0201,0.06829345312829196
429393080,0.7779,1.916,5.1934,0.0,0.0855,0.023,0.0675591583065621
429393081,1.4384,2.8176,5.7384,0.0,0.0748,0.0206,0.06648685222060789
429393082,1.7213,3.0643,5.9631,0.0,0.0536,0.0201,0.0661369411690469
429393083,2.0678,3.4746,6.1462,0.0003,0.0372,0.0206,0.0661369411690469
429393084,2.5058,4.0483,6.4937,0.0,0.0088,0.0185,0.06792432131461863
429393088,3.5395,5.14,7.696,0.0123,0.0179,0.0276,0.07435458803139107
429393089,3.7285,5.6094,7.7448,0.0387,0.0478,0.0463,0.07569824722699373
429393090,3.9703,5.9527,8.4345,0.0036,0.0093,0.0198,0.07348500463068167
429393091,4.4147,6.2399,8.7502,0.0138,0.0195,0.0275,0.07804894248762141
429393092,4.1822,5.6699,7.7933,0.012,0.0152,0.0241,0.08975514439115811
429393093,4.1886,5.5678,7.5999,0.0272,0.032,0.0372,0.09519422993221213
429393094,4.5432,5.8541,8.0344,0.0353,0.0427,0.0429,0.0937735836449438
429393095,4.283,5.6828,7.3268,0.0134,0.0166,0.0241,0.10052442674077641
429393096,4.3552,5.6474,7.3793,0.027,0.0323,0.0354,0.10052442674077641
429393097,4.4677,5.806,7.6068,0.0439,0.0524,0.0518,0.10133499999681532
429393098,4.4945,6.0347,7.6197,0.0348,0.0459,0.0448,0.10648688664370398
429393099,4.695,7.0411,8.4664,0.0244,0.0376,0.0382,0.10052442674077641
429393100,5.5889,7.8039,10.2431,0.0305,0.0417,0.0484,0.09740778003073822
429393101,5.4924,7.7451,9.8806,0.0391,0.0553,0.0531,0.09816868357674101
429393102,6.5318,8.8248,10.9577,0.1017,0.1382,0.1338,0.10471236017896915
429393103,6.8966,9.0675,11.7079,0.2766,0.363,0.3694,0.10299600257653854
429393104,7.0914,9.2312,12.0786,0.3643,0.4715,0.4778,0.10133499999681532
429393155,7.3638,9.7339,12.1199,0.2399,0.3251,0.3188,0.10559216905199818
429393156,7.5606,9.9084,12.5072,0.2334,0.3211,0.3193,0.10471236017896915
429393157,8.1348,10.5691,12.822,0.2051,0.2812,0.2697,0.10648688664370398
429393268,48.8159,52.5758,54.0638,0.7835,0.837,0.8102,0.05487392523583279
429393270,19.0535,19.5233,23.7105,0.0837,0.0853,0.1006,0.07263552511680024
429393290,41.5537,41.7565,48.1513,0.6721,0.6748,0.706,0.05108195634991484
429393291,11.9759,12.4424,15.9647,0.0175,0.0184,0.0366,0.0595549083537657
429393293,18.2846,18.563,22.6287,0.1329,0.1339,0.1521,0.08003728818317192
429393294,15.6174,16.2528,17.5547,0.1412,0.1479,0.1408,0.08666044549832956
429393295,13.7938,14.4669,15.9047,0.0927,0.0981,0.1008,0.08975514439115811
429393302,27.3999,29.3142,31.6399,0.4324,0.4705,0.4269,0.05737948033237819
429393303,21.4277,21.8843,26.2912,0.0881,0.0881,0.1056,0.07099415216660818
429393304,23.6778,24.9342,28.1699,0.0998,0.0998,0.1193,0.06378702284985524
