detection_id,B,G,R,nB,nG,nR,Compactness
428278622,20.3193,22.0774,32.6433,0.2523,0.2903,0.3921,0.06477336728387235
428278623,19.5433,21.2371,31.3687,0.2451,0.282,0.3791,0.06719790044098876
428278624,18.921,20.628,31.3919,0.2368,0.2711,0.3836,0.05872006370526449
428278625,18.3701,20.0688,29.899,0.2241,0.262,0.3686,0.06792432131461863
428278626,18.3382,19.9399,29.9323,0.2249,0.2593,0.3651,0.06719790044098876
428278627,27.7538,26.5618,32.6389,0.081,0.0733,0.1059,0.06792432131461863
428278628,17.1847,18.545,28.0112,0.2393,0.2837,0.3775,0.06942531913488556
428278629,27.52,26.4392,32.4914,0.0224,0.0216,0.0587,0.06942531913488556
428278630,16.9376,18.3332,27.6494,0.2762,0.318,0.4272,0.06904388481989716
428278636,17.4422,18.9022,28.8258,0.2679,0.3103,0.4118,0.06378702284985524
428278639,18.1033,19.5437,29.5915,0.2728,0.3176,0.4143,0.06648685222060789
428278665,15.1235,16.3602,24.4912,0.1888,0.2159,0.2952,0.07569824722699373
428278666,14.9636,16.1207,24.2263,0.184,0.2097,0.2855,0.07615699026400004
428278670,13.2772,14.2087,21.6818,0.1653,0.1858,0.2588,0.07756719641593564
428278673,9.7937,10.6139,16.5047,0.1274,0.1466,0.2001,0.09519422993221213
428278682,7.8767,8.5751,14.0017,0.0775,0.0796,0.1191,0.09239471398211957
428278689,9.824,10.1207,16.071,0.3039,0.3021,0.3899,0.08975514439115811
428278691,9.761,10.1442,16.2562,0.2215,0.2212,0.2987,0.08787235948346774
428278692,9.1956,9.2147,15.113,0.2734,0.2626,0.3473,0.08849111644335216
428278697,7.7032,8.2364,13.5744,0.0809,0.0816,0.117,0.10133499999681532
428278699,8.5307,9.0953,15.8191,0.0932,0.095,0.1427,0.0752449975094086
428278701,3.0873,4.3059,8.8741,0.0,0.0,0.0156,0.07953076456813789
428278753,27.657,23.0072,25.1295,0.5647,0.4663,0.448,0.07756719641593564
428278754,26.0132,21.5835,23.8079,0.5636,0.4679,0.4455,0.07853670966610296
428278755,23.6567,19.6567,21.8577,0.4436,0.3636,0.3498,0.08003728818317192
428278756,17.1371,14.1773,16.5634,0.2247,0.1771,0.1773,0.08666044549832956
428278757,11.9211,10.4669,12.3772,0.0717,0.0504,0.0379,0.09519422993221213
428278758,13.3688,11.6345,13.5279,0.0991,0.0642,0.0509,0.09239471398211957
428278759,15.3216,13.267,14.8364,0.1029,0.0544,0.052,0.08849111644335216
428278760,16.1146,14.0187,15.7725,0.1335,0.1015,0.1027,0.08666044549832956
428278761,16.7808,14.6385,16.4782,0.073,0.0532,0.0612,0.08377203058083679
428278762,17.2616,15.0149,16.8279,0.1152,0.0917,0.0957,0.08490398027194407
428278763,17.8071,15.6021,17.3859,0.1023,0.0875,0.0925,0.08433420746488306
428278764,18.1525,16.0298,18.1159,0.0855,0.0749,0.0834,0.08490398027194407
428278765,18.0343,15.8372,17.8964,0.1978,0.175,0.1723,0.08849111644335216
428278766,17.8893,15.6725,17.7958,0.2226,0.1965,0.1922,0.08975514439115811
428278768,18.2757,16.0398,18.3728,0.2039,0.1808,0.1784,0.08726219508235135
428278769,19.0207,16.6924,19.1282,0.3569,0.3156,0.3016,0.08377203058083679
428278770,18.5991,16.2326,18.5506,0.4614,0.4047,0.3841,0.08975514439115811
428278771,18.4862,16.1938,18.4306,0.5606,0.4915,0.4639,0.09040079679516942
428278772,18.6716,16.3277,18.6044,0.4222,0.3709,0.3535,0.09040079679516942
428278775,16.8471,15.0842,16.9133,1.28,1.1429,1.0357,0.09307904275505513
428278776,16.8213,15.0787,16.8396,1.2152,1.0874,0.9837,0.09447856694680049
428278777,16.4213,14.722,16.2501,0.8284,0.7396,0.6718,0.10471236017896915
428278778,18.3679,16.2776,18.368,0.7095,0.6287,0.582,0.09307904275505513
428278779,19.2618,17.0925,19.0284,0.9362,0.8258,0.7603,0.0937735836449438
428278791,18.2798,16.0419,18.2317,0.1533,0.1099,0.1112,0.07305779571290515
428278792,18.4495,16.1345,18.6034,0.0941,0.0636,0.0692,0.06942531913488556
428278793,19.4159,16.9873,19.4706,0.1089,0.0793,0.0842,0.06792432131461863
428278794,20.6067,17.9918,20.3434,0.0692,0.0436,0.0548,0.06829345312829196
428278795,24.8081,21.539,23.2263,0.1059,0.0761,0.0792,0.07180546030797123
428278797,27.0481,23.5746,25.1346,0.2102,0.1722,0.1705,0.07139750161301212
428278798,28.3324,24.5874,26.2799,0.1571,0.1261,0.1256,0.07263552511680024
428278799,28.7635,25.1831,26.4712,0.4144,0.3549,0.3257,0.07180546030797123
428278800,29.3316,25.9423,27.576,0.3774,0.3223,0.3019,0.06981099120988524
428278801,29.5789,26.3364,27.6756,0.4765,0.4192,0.3823,0.07180546030797123
428278802,29.6166,27.2064,28.2046,0.5821,0.5385,0.4706,0.07059533429497317
428278803,29.3234,26.9547,28.1163,0.4884,0.452,0.4025,0.07139750161301212
428278804,30.0532,27.5953,28.9995,0.7639,0.7098,0.6195,0.06792432131461863
428278806,30.3519,27.792,29.7192,0.6151,0.5683,0.5134,0.06579069379816853
428278807,11.6638,12.9938,21.3705,0.4139,0.4569,0.6074,0.06648685222060789
428278808,30.2886,28.1558,30.4783,0.7731,0.7281,0.6584,0.06477336728387235
