detection_id,B,G,R,nB,nG,nR,Compactness
259802963,16.9624,18.068,24.4437,0.2495,0.2663,0.3138,0.06981099120988524
259802964,16.9624,18.068,24.4437,0.2495,0.2663,0.3142,0.06981099120988524
259802965,16.9624,18.068,24.4437,0.2495,0.2663,0.3142,0.06981099120988524
259802987,15.7237,14.1527,17.1205,0.3227,0.2788,0.2779,0.08787235948346774
259802990,16.2705,14.9887,17.7344,0.1702,0.1538,0.1578,0.09040079679516942
259802991,16.2659,14.9841,17.7298,0.1706,0.1538,0.1579,0.09040079679516942
259802992,16.2664,14.9846,17.7303,0.1705,0.1539,0.1579,0.09040079679516942
259802993,16.8429,15.5971,18.6962,0.1946,0.1771,0.1803,0.08377203058083679
259802994,16.845,15.5993,18.6984,0.1874,0.1697,0.1735,0.08377203058083679
259802995,16.8452,15.5995,18.6986,0.1875,0.1698,0.1735,0.08377203058083679
259802996,16.7396,15.3685,18.6551,0.2171,0.1946,0.1973,0.07804894248762141
259802997,16.8233,15.452,18.6962,0.2146,0.193,0.1948,0.07853670966610296
259802998,16.8238,15.4525,18.6967,0.2154,0.1936,0.1954,0.07853670966610296
259802999,15.0035,13.9163,17.1194,0.1777,0.157,0.162,0.07953076456813789
259803000,15.3567,14.2167,17.3452,0.1839,0.1612,0.1647,0.08106994029334431
259803001,15.1182,13.999,17.1229,0.1807,0.1586,0.1621,0.0815963233535219
259803002,13.6561,12.5059,17.1051,0.1703,0.1501,0.1572,0.06129789587454133
259803003,13.6561,12.5059,17.1051,0.1703,0.1501,0.1572,0.06129789587454133
259803004,13.6561,12.5059,17.1051,0.1703,0.1501,0.1572,0.06129789587454133
259803005,13.6023,12.7159,17.1848,0.2224,0.2037,0.212,0.06411244968272661
259803006,13.5871,12.7019,17.1929,0.2625,0.2419,0.2499,0.06378702284985524
259803007,13.5871,12.7019,17.1929,0.2625,0.2419,0.2499,0.06378702284985524
259804179,20.4799,18.5708,16.5054,0.3769,0.3226,0.2234,0.08975514439115811
259804180,20.2782,18.401,16.3399,0.3702,0.3186,0.2189,0.09040079679516942
259804181,20.2782,18.401,16.3399,0.3702,0.3186,0.2189,0.09040079679516942
259804182,20.0962,18.1528,16.5347,0.3708,0.319,0.2197,0.07853670966610296
259804183,20.1647,18.2402,16.6215,0.3699,0.3177,0.2194,0.07804894248762141
259804184,20.1651,18.2406,16.6219,0.3699,0.3177,0.2194,0.07804894248762141
259804191,16.633,14.6872,13.3151,0.2025,0.1627,0.1091,0.09592081711552267
259804192,16.6366,14.6854,13.3189,0.1864,0.1478,0.0983,0.09592081711552267
259804193,16.6366,14.6854,13.3189,0.1864,0.1478,0.0983,0.09592081711552267
259804194,16.9758,14.9281,13.5823,0.1866,0.1485,0.1011,0.09172037375316221
259804195,16.9928,14.952,13.6088,0.1919,0.1532,0.1048,0.09172037375316221
259804196,16.8653,14.8529,13.5521,0.1913,0.1532,0.1047,0.09239471398211957
259804197,16.7613,14.8707,13.4414,0.2871,0.2364,0.1644,0.09447856694680049
259804198,16.1338,14.2533,13.1695,0.3045,0.2517,0.1708,0.09172037375316221
259804199,16.137,14.2526,13.1696,0.304,0.2513,0.1682,0.09172037375316221
259804206,17.9363,16.2266,13.6258,0.2823,0.2378,0.1604,0.08975514439115811
259804207,17.9363,16.2251,13.6026,0.2791,0.235,0.1591,0.09040079679516942
