detection_id,B,G,R,nB,nG,nR,Compactness
432560835,4.2713,4.7336,6.269,0.2541,0.2707,0.229,0.1721088567938853
432560836,2.5028,2.8535,4.7104,0.0224,0.0288,0.0405,0.1721088567938853
432560837,3.7187,4.0978,5.6764,0.2546,0.2673,0.2106,0.17449830252036147
432560838,1.1605,1.4341,3.5314,0.0086,0.0103,0.0173,0.16978395275546265
432560839,3.2626,3.7272,5.4866,0.0212,0.0263,0.0401,0.16317136358672749
432560840,1.4317,1.738,3.618,0.0226,0.0267,0.0351,0.1653175867489029
432560841,3.434,3.917,5.5327,0.0237,0.03,0.0451,0.16978395275546265
432560842,1.4741,1.7189,3.6242,0.019,0.0213,0.0312,0.1653175867489029
432560843,3.1269,3.5651,5.2362,0.0243,0.0313,0.0479,0.16978395275546265
432560844,1.4534,1.7606,3.549,0.0218,0.0266,0.0335,0.16978395275546265
432560845,3.2919,3.7798,5.5801,0.0134,0.0187,0.0346,0.1653175867489029
432560846,1.3805,1.6279,3.4123,0.0202,0.023,0.0313,0.17695501477362918
432560847,2.8873,3.2738,4.8191,0.0226,0.0293,0.0458,0.17695501477362918
432560848,1.5174,1.7319,3.5638,0.013,0.0157,0.0214,0.16978395275546265
432560849,3.0064,3.4327,5.0117,0.0123,0.0174,0.0309,0.16978395275546265
432560850,1.4517,1.7374,3.516,0.0225,0.0273,0.0318,0.16978395275546265
432560851,4.1539,4.3636,4.7054,0.0,0.0,0.0071,0.17695501477362918
432560852,1.4124,1.6656,3.492,0.0126,0.0148,0.0204,0.16978395275546265
432560853,2.9351,3.4111,5.148,0.0245,0.0317,0.0504,0.16978395275546265
432560895,3.7608,4.2374,5.3715,0.0352,0.0475,0.0507,0.1721088567938853
432560896,3.7736,4.2524,5.3924,0.0357,0.0484,0.0509,0.1721088567938853
432560897,3.7552,4.2425,5.3694,0.0357,0.0474,0.0488,0.1721088567938853
432560903,12.1032,13.7313,14.5599,0.1034,0.1304,0.1387,0.10299600257653854
432560904,5.109,5.3011,9.4288,0.0874,0.0906,0.0961,0.0815963233535219
432560908,17.179,18.2576,21.1544,0.6326,0.665,0.4712,0.0404059159192194
432560909,0.73,1.078,4.6447,0.0,0.003,0.0161,0.08106994029334431
432560913,2.1507,3.4763,7.6799,0.019,0.0334,0.0606,0.09105580497377844
432560914,0.2766,0.3148,4.7589,0.0121,0.011,0.0456,0.07348500463068167
432560927,0.2531,0.7042,6.6426,0.0013,0.0009,0.0561,0.07853670966610296
432560928,0.3454,0.5993,4.771,0.0057,0.0054,0.0465,0.09665858053229819
432560929,4.602,4.6642,9.2984,0.0636,0.0641,0.068,0.07804894248762141
432560930,5.0255,5.0038,9.7642,0.0583,0.0611,0.0659,0.06251769380643689
432560934,4.4456,4.5023,6.6378,0.0647,0.0631,0.0619,0.11743226366213184
432560961,2.7682,3.0939,4.2633,0.0084,0.0136,0.0165,0.18751471302418415
432560962,2.7711,3.0849,4.2284,0.0075,0.0129,0.0154,0.1903544897796419
432560963,2.8564,3.1912,4.2977,0.0063,0.0116,0.0144,0.1903544897796419
