detection_id,B,G,R,nB,nG,nR,Compactness
432751552,12.1193,13.2019,17.0904,0.0588,0.0588,0.0701,0.11119795425652645
432751553,5.0903,5.8863,9.5222,0.0021,0.0029,0.0296,0.12440706908215582
432751554,26.5571,28.6361,33.9518,0.761,0.8265,0.8644,0.0752449975094086
432751555,20.61,22.4374,26.68,0.6018,0.6605,0.6903,0.09447856694680049
432751556,27.3734,29.6967,36.4577,0.1799,0.1873,0.2143,0.08911864874469005
432751558,25.9032,28.413,35.684,0.4337,0.473,0.5558,0.08377203058083679
432751559,7.104,8.0841,12.276,0.0,0.0088,0.0703,0.10648688664370398
432751560,3.3734,3.6878,5.647,0.018,0.0197,0.0338,0.21659487670178934
432751561,24.4324,26.745,34.3198,0.259,0.2794,0.3355,0.08975514439115811
432751562,20.7538,23.7784,32.2829,0.0007,0.0064,0.0835,0.07435458803139107
432751563,26.687,28.8133,34.3745,0.5456,0.5907,0.6326,0.07662132709270902
432751564,28.6042,31.8429,39.3837,0.4299,0.4698,0.5204,0.08377203058083679
432751565,18.6419,19.5483,24.7408,0.1665,0.1752,0.204,0.0937735836449438
432751568,6.8121,7.4949,11.1904,0.1082,0.1196,0.1388,0.10052442674077641
432751569,10.9233,12.1193,16.3377,0.6067,0.6774,0.7465,0.09519422993221213
432751571,29.5322,32.0677,39.3892,0.8532,0.8936,0.9372,0.07139750161301212
432751576,20.3762,22.4795,28.6883,0.2081,0.2156,0.236,0.0815963233535219
432751579,42.8255,47.3198,58.8,0.803,0.8759,0.966,0.04636973518878762
432751580,7.2545,7.9314,10.5483,0.5125,0.5641,0.6067,0.14610036423614817
432751581,17.2893,18.8419,23.8968,0.0897,0.0915,0.1079,0.10052442674077641
432751582,5.8654,6.6931,9.9889,0.0,0.0025,0.0223,0.12440706908215582
432751584,25.5108,28.2284,37.0885,0.5419,0.6019,0.6737,0.05511459098459456
432751585,8.9411,10.1174,15.7183,0.0,0.0168,0.0716,0.07569824722699373
432751588,17.8029,19.6511,26.7468,0.3175,0.3516,0.4092,0.07139750161301212
432751590,3.3027,3.6591,6.3261,0.3664,0.4059,0.4429,0.12953615542145414
432751593,8.3785,9.0441,13.2296,0.0776,0.0867,0.1113,0.09447856694680049
432751597,49.2016,53.5615,65.2059,0.2859,0.2942,0.3423,0.05463535211139932
432751599,39.835,43.5069,53.9835,0.2085,0.2144,0.2517,0.058176383157876974
432751600,26.7883,29.6005,37.0566,0.1952,0.2117,0.2468,0.08490398027194407
432751601,8.4281,9.6323,13.8147,0.0898,0.1074,0.139,0.11853991327830876
432751603,10.1486,11.3574,15.5259,0.0806,0.0906,0.1193,0.12953615542145414
432751605,18.0478,20.0311,26.371,0.1401,0.1524,0.187,0.0937735836449438
432751606,20.9256,23.0697,30.0192,0.1465,0.1574,0.1917,0.08606693785815557
432751607,7.1831,7.922,11.5309,0.0587,0.0667,0.1008,0.1336693370934263
432751608,9.7197,10.7022,15.0418,0.0737,0.0831,0.1082,0.11527791973048969
432751609,6.702,7.3497,10.7812,0.0432,0.0468,0.0713,0.13807493637999585
432751610,16.9171,18.5224,24.1298,0.1323,0.1451,0.175,0.09172037375316221
432751611,32.5805,34.7019,40.8423,0.1523,0.1548,0.176,0.08106994029334431
432751613,20.5468,21.7155,26.5082,0.1055,0.1098,0.1274,0.09447856694680049
432751614,18.0539,19.4619,25.5908,0.1103,0.115,0.1436,0.09592081711552267
432751616,15.8514,17.3131,22.3706,0.0839,0.0854,0.1041,0.10559216905199818
432751621,11.3151,12.5883,17.4836,0.0735,0.0804,0.106,0.10926437976474195
