detection_id,B,G,R,nB,nG,nR,Compactness
432419331,4.2269,4.4081,6.1033,0.128,0.1351,0.1384,0.17695501477362918
432419333,4.7084,4.8866,6.6202,0.1281,0.1343,0.14,0.17449830252036147
432419334,4.8498,5.015,6.7315,0.1211,0.1259,0.1325,0.18208192715442573
432419335,3.2867,3.4347,4.8425,0.0648,0.0685,0.0685,0.1903544897796419
432419340,4.3846,4.5785,5.8977,0.0778,0.082,0.0796,0.18208192715442573
432419342,6.1096,6.2524,8.6864,0.2367,0.241,0.2533,0.13226261511265314
432419343,6.274,6.4379,8.8896,0.2124,0.2164,0.2297,0.12953615542145414
432419344,5.9406,6.116,8.3449,0.193,0.1963,0.208,0.1411769425941694
432419345,4.3258,4.4319,6.2834,0.1392,0.1411,0.1507,0.16978395275546265
432419356,4.2078,4.4044,6.7186,0.0531,0.0575,0.0653,0.13226261511265314
432419370,1.3954,1.7877,2.98,0.0219,0.0267,0.0251,0.15322506464696445
432419371,2.6293,3.0725,4.6225,0.0073,0.0081,0.0166,0.11527791973048969
432419374,2.9486,3.2763,5.2261,0.0035,0.0041,0.015,0.10133499999681532
432419376,3.0466,3.4485,5.4604,0.0233,0.029,0.031,0.10052442674077641
432419378,3.4992,4.1244,6.0211,0.0318,0.0398,0.0386,0.10052442674077641
432419379,3.9226,4.6014,6.473,0.0274,0.0342,0.0344,0.09519422993221213
432419414,6.9418,6.7612,9.1924,0.1507,0.1462,0.1198,0.08106994029334431
432419416,18.5051,20.4625,29.9423,0.4494,0.5017,0.6311,0.051500646728563054
432419417,1.1215,0.9046,2.9996,0.0,0.0,0.0093,0.13226261511265314
432419419,34.633,35.5821,48.1782,1.4662,1.5161,1.821,0.04409198179755562
432419421,22.8262,21.9129,28.5541,0.3442,0.3312,0.3803,0.06100034753906654
432419452,15.1569,16.4102,24.9005,0.154,0.1714,0.2484,0.06283026644890574
432419459,9.1563,9.9747,13.7061,0.0788,0.0887,0.1251,0.1336693370934263
432419462,8.1704,8.7985,11.9115,0.0889,0.1045,0.1402,0.15705446369492315
432419467,14.113,15.2348,17.8149,0.0752,0.0795,0.0901,0.12199187159268324
432419469,5.155,5.8934,8.0269,0.0769,0.0923,0.1061,0.16317136358672749
432419471,6.0093,6.0463,9.7825,0.0496,0.0492,0.0647,0.09816868357674101
432419479,24.2144,23.7577,29.4684,0.3189,0.3092,0.352,0.06579069379816853
432419483,7.0781,8.1288,10.2168,0.0425,0.0448,0.0524,0.14610036423614817
432419491,4.1825,4.7922,6.7837,0.0297,0.032,0.0396,0.15137953892966877
432419524,1.2967,1.404,2.7144,0.0041,0.0052,0.0102,0.1903544897796419
432419531,5.1489,5.5982,8.5616,0.0596,0.0679,0.0911,0.1427807996875266
432419556,2.3732,2.4773,4.6574,0.0948,0.1057,0.1147,0.14442151192814084
432419557,2.0525,2.2037,3.915,0.1122,0.1184,0.124,0.1794818739290955
432419559,1.1988,1.275,2.6594,0.0119,0.0125,0.0162,0.1903544897796419
432419561,1.1746,1.1036,3.3935,0.0,0.0,0.0123,0.10052442674077641
432419570,3.747,3.4183,5.7484,0.0016,0.0019,0.0165,0.08106994029334431
