detection_id,B,G,R,nB,nG,nR,Compactness
432272898,6.4903,13.9056,8.7685,0.1071,0.173,0.0825,0.0686496172451103
432272899,13.9337,23.2943,12.7131,0.1167,0.2009,0.0903,0.0815963233535219
432272904,2.3446,16.3261,5.494,0.0297,0.1325,0.0358,0.07569824722699373
432272906,15.9485,16.6302,13.6986,0.1047,0.1298,0.097,0.10832258979485408
432272907,13.4023,18.2892,12.7084,0.0809,0.1166,0.081,0.08787235948346774
432272909,1.6217,23.5067,8.9152,0.0,0.129,0.0313,0.03989283543241531
432272914,27.0179,39.7335,26.3648,0.1521,0.2268,0.1562,0.040536254848845585
432272922,2.1089,3.8351,3.9325,0.0131,0.0242,0.0176,0.11219063124580061
432272923,3.1894,8.3492,4.8783,0.0415,0.092,0.0335,0.1132011898318306
432272924,0.3556,5.8918,2.9944,0.0,0.0348,0.0109,0.1132011898318306
432272925,12.9841,13.3968,11.7986,0.0569,0.0629,0.065,0.1132011898318306
432272926,2.3122,4.3611,4.138,0.0131,0.0246,0.0219,0.11219063124580061
432272927,4.5616,8.6986,6.9897,0.0629,0.126,0.0508,0.07953076456813789
432272928,0.3422,6.0566,4.263,0.0,0.0364,0.0159,0.07804894248762141
432272930,2.1167,4.6439,5.2632,0.0128,0.0337,0.0248,0.07853670966610296
432272931,4.8995,9.2717,7.2149,0.0822,0.1686,0.0633,0.07804894248762141
432272932,0.335,6.039,4.2537,0.0,0.0357,0.0159,0.07804894248762141
432272938,1.1076,2.5534,3.0057,0.0027,0.0073,0.0114,0.1336693370934263
432272939,0.688,4.6811,3.1853,0.0,0.0201,0.0104,0.11853991327830876
432272940,4.3232,7.8922,5.5759,0.0581,0.0975,0.0447,0.11634512054520679
432272941,0.4218,4.1886,2.9708,0.0,0.0211,0.0107,0.11527791973048969
432272952,1.0032,1.417,2.1255,0.0124,0.0158,0.0158,0.22039234176969208
432272953,3.1297,4.0818,3.5087,0.0631,0.0831,0.0449,0.22039234176969208
432272954,0.4556,0.8942,1.6339,0.0,0.0008,0.0054,0.224325293611701
432272958,0.5877,1.0512,1.6127,0.0,0.0011,0.0055,0.22039234176969208
432272962,0.3226,2.4946,1.9415,0.0,0.0102,0.0069,0.17695501477362918
432272964,9.0078,11.4518,9.4216,0.1856,0.2484,0.1121,0.0815963233535219
432272974,2.9217,3.9583,3.3221,0.0759,0.108,0.0518,0.22039234176969208
432272979,0.4965,1.571,1.8976,0.0,0.0035,0.0067,0.18208192715442573
432272981,0.1019,2.1529,1.4537,0.0,0.0096,0.0055,0.22039234176969208
432272982,0.8792,1.4349,2.0504,0.0033,0.0045,0.0083,0.22039234176969208
432272983,2.8602,3.8087,3.2799,0.0586,0.0754,0.0415,0.22039234176969208
432272984,0.5053,0.8596,1.6875,0.0,0.0002,0.0055,0.22039234176969208
432272988,0.5438,2.306,2.2968,0.0,0.0066,0.0082,0.1495779344429456
432272991,0.7001,2.8964,2.8991,0.0,0.0098,0.0097,0.12691981982432735
432272998,1.283,1.8281,2.5637,0.0006,0.0008,0.0077,0.16978395275546265
432273000,0.3597,1.7871,1.8435,0.0,0.0071,0.0065,0.18751471302418415
432273001,0.0017,2.55,2.4514,0.0,0.0175,0.0096,0.12308658085690038
432273002,0.2946,1.5798,2.0061,0.0,0.0066,0.0073,0.16752101074657041
432273005,0.3007,3.1465,4.22,0.0,0.0145,0.0176,0.07804894248762141
432273010,1.4771,8.3352,6.152,0.0002,0.0286,0.021,0.05983849013957345
432273011,0.2403,10.0689,5.3896,0.0,0.0544,0.0207,0.06012478543760053
432273012,5.8612,14.2254,9.2194,0.1014,0.1954,0.0843,0.05790830079919458
432273016,0.6482,1.0469,1.8169,0.0,0.0,0.006,0.20262892686416292
432273018,1.2313,1.8361,2.1991,0.0,0.0001,0.006,0.20262892686416292
432273021,0.8771,1.7953,2.1752,0.0014,0.0041,0.0073,0.20262892686416292
432273023,0.3896,1.5399,1.7576,0.0,0.006,0.0061,0.19941430995731257
432273036,0.4845,2.5516,2.9965,0.0,0.0088,0.0108,0.11423011752805243
432273037,1.1893,2.9556,3.442,0.0,0.004,0.0108,0.11423011752805243
432273086,4.7,5.2482,3.8401,0.0473,0.0541,0.02,0.1963000700655754
432273088,2.8849,3.6683,2.8715,0.0524,0.066,0.0277,0.18751471302418415
432273089,3.3601,4.2187,3.0575,0.099,0.1249,0.0435,0.18208192715442573
432273091,2.7632,3.2766,2.6551,0.1296,0.1602,0.0517,0.2059488517353309
432273092,2.7621,3.2757,2.6526,0.1173,0.1454,0.0469,0.2059488517353309
432273129,19.4423,20.0615,16.4839,0.1691,0.1831,0.133,0.08003728818317192
432273131,20.2696,20.3509,17.2478,0.0802,0.0802,0.0947,0.08548150399146558
432273132,17.7273,18.4094,14.9913,0.2303,0.2479,0.1627,0.08548150399146558
432273133,14.8712,16.1051,12.7948,0.2242,0.2553,0.14,0.08548150399146558
432273134,19.8155,19.889,16.8829,0.0784,0.0784,0.0927,0.08666044549832956
432273135,17.4213,18.0655,14.6971,0.2201,0.237,0.1557,0.08666044549832956
432273136,15.0285,16.3002,13.1836,0.1462,0.172,0.0975,0.08666044549832956
432273137,19.8017,19.8805,16.8701,0.0783,0.0783,0.0926,0.08666044549832956
432273138,17.0761,17.8341,14.5733,0.1953,0.2081,0.1347,0.08606693785815557
432273139,19.7314,19.7945,16.8183,0.078,0.078,0.0924,0.08606693785815557
432273140,19.7276,19.7917,16.8271,0.078,0.078,0.0924,0.08606693785815557
432273141,19.7317,19.8016,16.8681,0.078,0.078,0.0924,0.08606693785815557
432273142,14.3852,15.579,12.3425,0.1896,0.2192,0.119,0.08606693785815557
432273146,3.5545,3.8244,3.3901,0.0269,0.0299,0.019,0.23262772230212783
432273148,6.3573,6.3583,5.7931,0.0251,0.0251,0.031,0.2059488517353309
432273149,5.7995,5.8018,5.3844,0.0229,0.0229,0.0287,0.2093793437612272
432273156,3.7364,4.1222,3.4572,0.0483,0.0568,0.015,0.18208192715442573
432273159,7.2523,7.9185,5.9335,0.0527,0.0627,0.0249,0.14781870195462177
432273160,6.6154,7.312,5.8931,0.1171,0.1375,0.0787,0.17449830252036147
432273161,7.1374,7.8552,6.2058,0.119,0.1406,0.0806,0.17449830252036147
432273164,9.3573,9.6555,8.0289,0.1084,0.1174,0.0752,0.14442151192814084
432273165,9.3183,9.5452,8.0288,0.0707,0.0748,0.0565,0.14610036423614817
432273166,5.369,6.1398,4.749,0.0327,0.0434,0.013,0.15322506464696445
432273167,7.9394,8.0776,7.0307,0.0423,0.0433,0.041,0.15904183716398032
432273168,3.0179,3.3676,3.1876,0.0574,0.0657,0.0344,0.20262892686416292
432273170,8.1031,8.202,7.1021,0.0361,0.0368,0.0397,0.17449830252036147
432273171,5.6587,6.3685,4.8726,0.0359,0.0448,0.0179,0.16108014280507627
432273173,7.7389,7.8104,6.8331,0.0353,0.0353,0.0382,0.17449830252036147
432273174,5.2976,5.8716,4.7833,0.0496,0.0586,0.0302,0.17449830252036147
432273176,11.4898,11.5403,9.7808,0.0458,0.0461,0.0537,0.1495779344429456
432273177,16.778,18.0412,14.4358,0.1758,0.1965,0.1211,0.08433420746488306
432273179,17.0481,17.1166,14.4281,0.0674,0.0674,0.0792,0.10471236017896915
432273180,13.9895,14.8731,11.8913,0.1317,0.1497,0.0952,0.10471236017896915
432273181,16.8811,16.93,14.3409,0.0667,0.0667,0.0785,0.10471236017896915
432273182,13.5687,14.4566,11.3026,0.1491,0.1686,0.0995,0.10471236017896915
432273183,16.7778,16.8445,14.3033,0.0663,0.0663,0.0781,0.10471236017896915
432273184,13.3209,14.0333,11.2147,0.1518,0.1693,0.0949,0.10471236017896915
432273185,16.2165,16.2673,13.7815,0.0641,0.0641,0.0754,0.10926437976474195
