detection_id,B,G,R,nB,nG,nR,Compactness
432790418,27.7548,28.6341,28.5983,0.909,0.9361,0.7721,0.08266986501266944
432790419,17.6973,17.9942,19.0761,0.0817,0.0868,0.0839,0.07059533429497317
432790421,19.0712,20.1961,20.0839,0.8023,0.8401,0.6443,0.09519422993221213
432790422,17.9902,18.3397,18.4338,0.0965,0.1003,0.0851,0.08490398027194407
432790423,42.835,42.6297,37.864,0.2901,0.2883,0.2675,0.07756719641593564
432790425,23.9369,24.5621,23.4413,0.0809,0.0898,0.0752,0.07804894248762141
432790426,32.1133,32.0165,29.1401,0.198,0.1974,0.1891,0.08212958633865283
432790427,22.295,23.9535,23.6168,1.1525,1.2153,0.9347,0.08548150399146558
432790428,23.005,22.8574,21.5253,0.1978,0.1947,0.1578,0.08787235948346774
432790431,1.2681,1.3876,2.4311,0.0263,0.0301,0.0268,0.2129260181386661
432790432,14.1338,14.3576,13.6646,0.9678,0.9898,0.7324,0.09816868357674101
432790440,8.3113,8.3654,7.9837,0.5545,0.5612,0.4121,0.1653175867489029
432790441,0.0608,0.0801,2.2357,0.0,0.0,0.0239,0.15322506464696445
432790446,9.8579,9.8652,9.2436,0.629,0.6326,0.4616,0.15705446369492315
432790447,5.4615,5.5416,6.9445,0.2771,0.2797,0.2575,0.15511613727099602
432790450,5.214,5.2712,6.8069,0.3035,0.3096,0.2883,0.15322506464696445
432790451,0.1023,0.1834,2.4084,0.0,0.0,0.0269,0.15511613727099602
432790452,9.3031,9.3173,8.8251,0.6918,0.7017,0.5079,0.15511613727099602
432790453,5.3478,5.5716,6.9962,0.1224,0.1277,0.115,0.15322506464696445
432790455,9.353,9.4431,8.9095,0.5706,0.5802,0.4185,0.15322506464696445
432790458,9.1892,9.1853,8.7184,0.5317,0.5374,0.3862,0.15511613727099602
432790461,9.2141,9.1964,8.7286,0.4997,0.5017,0.3623,0.15705446369492315
432790463,9.0491,9.1862,8.5548,0.8125,0.8296,0.5858,0.15322506464696445
432790465,8.3241,8.3973,7.97,0.7904,0.8046,0.5762,0.15705446369492315
432790468,8.1397,8.2244,7.7903,0.6646,0.6696,0.4844,0.16317136358672749
432790469,8.1402,8.2163,7.7934,0.702,0.7072,0.5112,0.16317136358672749
432790470,8.1036,8.193,7.7559,0.7746,0.7844,0.5607,0.16317136358672749
432790472,8.8054,8.895,8.4031,0.6694,0.6779,0.496,0.15904183716398032
432790474,9.0547,9.1907,8.4208,0.7807,0.797,0.5567,0.15904183716398032
432790475,8.8744,9.0446,8.3799,0.6613,0.6771,0.481,0.15904183716398032
432790480,8.8487,9.1079,8.4702,0.5837,0.6029,0.4274,0.15705446369492315
432790482,7.7707,8.0094,7.605,0.4737,0.4911,0.3476,0.16317136358672749
432790483,7.3054,7.539,7.0132,0.2154,0.2258,0.1517,0.15904183716398032
432790484,8.4854,8.6837,8.1648,0.4335,0.4404,0.3192,0.15904183716398032
432790485,6.3906,6.5485,6.2726,0.1812,0.1876,0.1267,0.1653175867489029
432790486,7.3616,7.6068,7.2566,0.3435,0.3488,0.2574,0.1653175867489029
432790489,5.7816,5.8846,5.9346,0.1264,0.127,0.0949,0.15705446369492315
432790494,7.5125,7.794,7.4031,0.2937,0.3026,0.2174,0.15904183716398032
432790496,7.3354,7.604,7.1945,0.408,0.4167,0.2971,0.16317136358672749
432790497,6.6394,6.7206,8.0113,0.0952,0.0961,0.0916,0.16108014280507627
432790501,7.3397,7.5197,7.2419,0.4867,0.4955,0.3585,0.16317136358672749
432790502,7.2998,7.477,7.1969,0.3827,0.3856,0.2817,0.16317136358672749
432790503,7.6734,7.7787,7.4005,0.6649,0.6718,0.4799,0.1653175867489029
432790504,7.6857,7.7916,7.4049,0.6529,0.6607,0.4718,0.1653175867489029
432790505,7.3055,7.4549,7.13,0.3108,0.3113,0.2271,0.1653175867489029
432790506,7.328,7.4341,7.1598,0.3712,0.3722,0.2709,0.1653175867489029
432790507,7.7838,7.8585,7.493,0.4908,0.4944,0.3555,0.1653175867489029
432790508,1.375,1.6188,4.1549,0.0124,0.0137,0.0188,0.16752101074657041
432790509,7.5781,7.6702,7.3116,0.6812,0.6925,0.4915,0.16752101074657041
432790512,0.8156,1.1181,3.831,0.0006,0.0007,0.0083,0.1653175867489029
432790513,6.7981,6.9425,6.7606,0.0635,0.0646,0.0522,0.16978395275546265
432790516,6.6644,6.823,7.7976,0.3026,0.3143,0.2296,0.10471236017896915
432790517,6.868,7.0641,6.7641,0.5196,0.5431,0.38,0.17449830252036147
432790518,7.1966,7.4279,7.029,0.5577,0.5839,0.4053,0.1721088567938853
432790519,2.0947,2.5978,5.6498,0.0417,0.0509,0.0817,0.16978395275546265
432790523,1.7872,2.1465,4.79,0.017,0.0182,0.0266,0.1721088567938853
432790524,6.8967,7.0522,6.8243,0.5823,0.5984,0.4206,0.1721088567938853
432790526,6.8501,7.0309,6.8277,0.5231,0.5401,0.3818,0.1721088567938853
432790528,6.839,7.0123,6.812,0.5293,0.5461,0.3852,0.1721088567938853
432790532,12.0265,12.247,11.2974,0.8359,0.8581,0.6388,0.1351063003197879
432790536,2.4652,2.5047,3.7513,0.227,0.2312,0.165,0.15322506464696445
432790543,8.0185,8.2092,8.4555,0.3836,0.3902,0.2835,0.12318763468639518
432790554,2.2614,2.3579,4.4891,0.0504,0.0524,0.0719,0.18751471302418415
432790555,6.4484,6.5312,6.4292,0.3986,0.4024,0.2899,0.17449830252036147
432790558,5.6952,5.9122,6.5818,0.0002,0.0011,0.0105,0.15511613727099602
432790559,1.0849,1.8157,5.5784,0.005,0.0085,0.022,0.14442151192814084
432790560,13.1695,13.7949,13.2557,0.4696,0.4818,0.3514,0.11966865507387159
432790564,4.3785,4.4826,4.9793,0.3955,0.4047,0.293,0.18208192715442573
432790565,4.0081,4.0587,4.8832,0.2759,0.2763,0.2119,0.1653175867489029
432790566,4.2342,4.2921,5.1245,0.3712,0.3744,0.2858,0.15904183716398032
432790569,0.018,0.141,2.2094,0.0,0.0,0.0091,0.2093793437612272
432790570,0.0376,0.2176,3.0513,0.0,0.0,0.0127,0.16317136358672749
432790571,0.1848,0.5348,6.2135,0.0,0.0,0.0374,0.09665858053229819
432790578,3.2075,3.2973,5.0871,0.0327,0.0355,0.0582,0.1653175867489029
432790591,3.9761,3.8338,5.5426,0.1358,0.1317,0.1184,0.13226261511265314
432790594,2.5506,2.4342,3.6332,0.0538,0.0516,0.0453,0.18208192715442573
432790609,28.2658,27.9278,24.9902,0.3146,0.3078,0.2379,0.08849111644335216
432790612,13.5509,13.5609,13.4719,0.0982,0.0983,0.0946,0.1038470904936626
432790613,8.4637,8.2947,9.1274,0.0943,0.0905,0.0718,0.11853991327830876
432790667,2.97,3.0238,4.3083,0.0585,0.0601,0.0565,0.16108014280507627
432790692,6.4178,6.9975,9.8939,0.0847,0.0886,0.0808,0.07263552511680024
432790696,4.5317,4.7811,8.5692,0.1491,0.1592,0.2121,0.09040079679516942
432790724,1.226,1.232,2.2551,0.0169,0.017,0.0161,0.224325293611701
432790725,5.7672,5.575,7.7661,0.0383,0.0376,0.0414,0.09665858053229819
432790740,1.0486,1.2398,2.9885,0.0012,0.0015,0.0082,0.2093793437612272
